Row Labels,Number of schools,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
CO8,1,100,0,0,0,0,Yes
EX3,2,100,0,0,0,0,Yes
EX35,1,100,0,0,0,0,Yes
NE18,1,100,0,0,0,0,Yes
RH3,1,100,0,0,0,0,Yes
RM20,1,100,0,0,0,0,Yes
RH7,4,75,0,0,0,0,Yes
WR7,4,75,0,0,0,0,Yes
BH5,3,67,0,0,0,0,Yes
EX10,6,67,0,0,0,0,Yes
EX7,6,67,0,0,0,0,Yes
HU14,3,67,0,0,0,0,Yes
PE16,3,67,0,0,0,0,Yes
TN19,3,67,0,0,0,0,Yes
TN39,6,67,0,0,0,0,Yes
SN11,12,58,0,0,0,0,Yes
CB7,9,56,0,0,0,0,Yes
HX7,11,55,0,0,0,0,Yes
CA27,2,50,0,0,0,0,Yes
CM24,4,50,0,0,0,0,Yes
CM5,6,50,0,0,0,0,Yes
CV33,4,50,0,0,0,0,Yes
EX19,4,50,0,0,0,0,Yes
GU18,2,50,0,0,0,0,Yes
HP8,2,50,0,0,0,0,Yes
HU10,6,50,0,0,0,0,Yes
HU18,4,50,0,0,0,0,Yes
NE71,2,50,0,0,0,0,Yes
RM19,2,50,0,0,0,0,Yes
SG15,2,50,0,0,0,0,Yes
SS14,10,50,0,0,0,0,Yes
TN34,6,50,0,0,0,0,Yes
TN35,8,50,0,0,0,0,Yes
TN36,2,50,0,0,0,0,Yes
TN7,2,50,0,0,0,0,Yes
TQ11,2,50,0,0,0,0,Yes
TQ6,4,50,0,0,0,0,Yes
TW18,8,50,0,0,0,0,Yes
B91,17,47,0,0,0,0,Yes
HX3,22,45,0,0,0,0,Yes
B62,7,43,0,0,0,0,Yes
CO13,5,40,0,0,0,0,Yes
HX4,5,40,0,0,0,0,Yes
KT10,10,40,0,0,0,0,Yes
SP9,5,40,0,0,0,0,Yes
IP21,8,38,0,0,0,0,Yes
MK19,8,38,0,0,0,0,Yes
SG11,8,38,0,0,0,0,Yes
B75,11,36,0,0,0,0,Yes
HX2,20,35,0,0,0,0,Yes
B25,3,33,0,0,0,0,Yes
B47,3,33,0,0,0,0,Yes
B64,6,33,0,0,0,0,Yes
BH10,6,33,0,0,0,0,Yes
CM0,6,33,0,0,0,0,Yes
DH5,12,33,0,0,0,0,Yes
DN19,3,33,0,0,0,0,Yes
DN39,3,33,0,0,0,0,Yes
DT7,3,33,0,0,0,0,Yes
EX24,3,33,0,0,0,0,Yes
GU25,3,33,0,0,0,0,Yes
HU17,18,33,0,0,0,0,Yes
HU19,3,33,0,0,0,0,Yes
HX5,6,33,0,0,0,0,Yes
HX6,15,33,0,0,0,0,Yes
M38,6,33,0,0,0,0,Yes
NE13,6,33,0,0,0,0,Yes
NE21,6,33,0,0,0,0,Yes
SY9,3,33,0,0,0,0,Yes
YO43,6,33,0,0,0,0,Yes
CV7,16,31,0,0,0,0,Yes
SR4,16,31,0,0,0,0,Yes
AL9,7,29,0,0,0,0,Yes
BH11,7,29,0,0,0,0,Yes
CO2,17,29,0,0,0,0,Yes
HP10,7,29,0,0,0,0,Yes
RG19,7,29,0,0,0,0,Yes
TQ14,7,29,0,0,0,0,Yes
BD13,11,27,0,0,0,0,Yes
FY8,15,27,0,0,0,0,Yes
HD6,15,27,0,0,0,0,Yes
PO1,11,27,0,0,0,0,Yes
RG18,11,27,0,0,0,0,Yes
NG8,27,26,0,0,0,0,Yes
BH18,4,25,0,0,0,0,Yes
BN25,8,25,0,0,0,0,Yes
GU17,4,25,0,0,0,0,Yes
KT18,8,25,0,0,0,0,Yes
M4,4,25,0,0,0,0,Yes
NE2,8,25,0,0,0,0,Yes
NE7,4,25,0,0,0,0,Yes
NG1,4,25,0,0,0,0,Yes
NR15,12,25,0,0,0,0,Yes
SG14,12,25,0,0,0,0,Yes
WR13,8,25,0,0,0,0,Yes
YO14,4,25,0,0,0,0,Yes
DY5,13,23,0,0,0,0,Yes
HG2,13,23,0,0,0,0,Yes
BA13,9,22,0,0,0,0,Yes
GU52,9,22,0,0,0,0,Yes
NR18,9,22,0,0,0,0,Yes
TQ7,9,22,0,0,0,0,Yes
M22,14,21,0,0,0,0,Yes
NG7,19,21,0,0,0,0,Yes
SG1,19,21,0,0,0,0,Yes
B32,15,20,0,0,0,0,Yes
CM21,5,20,0,0,0,0,Yes
DN37,10,20,0,0,0,0,Yes
GU9,15,20,0,0,0,0,Yes
HU16,5,20,0,0,0,0,Yes
IG7,10,20,0,0,0,0,Yes
IP5,5,20,0,0,0,0,Yes
NR16,10,20,0,0,0,0,Yes
RG14,20,20,0,0,0,0,Yes
RG31,15,20,0,0,0,0,Yes
WD5,5,20,0,0,0,0,Yes
WR1,5,20,0,0,0,0,Yes
YO16,10,20,0,0,0,0,Yes
BN3,21,19,0,0,0,0,Yes
B9,11,18,0,0,0,0,Yes
BD18,11,18,0,0,0,0,Yes
SR6,11,18,0,0,0,0,Yes
B61,12,17,0,0,0,0,Yes
EN11,12,17,0,0,0,0,Yes
GU4,6,17,0,0,0,0,Yes
IP2,12,17,0,0,0,0,Yes
IP23,6,17,0,0,0,0,Yes
NE26,6,17,0,0,0,0,Yes
YO62,12,17,0,0,0,0,Yes
NE4,19,16,0,0,0,0,Yes
B63,13,15,0,0,0,0,Yes
DN35,13,15,0,0,0,0,Yes
DY1,13,15,0,0,0,0,Yes
NR7,13,15,0,0,0,0,Yes
PO6,13,15,0,0,0,0,Yes
SG12,20,15,0,0,0,0,Yes
B34,7,14,0,0,0,0,Yes
HP27,7,14,0,0,0,0,Yes
L26,7,14,0,0,0,0,Yes
L6,7,14,0,0,0,0,Yes
RG23,7,14,0,0,0,0,Yes
SM2,7,14,0,0,0,0,Yes
SO14,7,14,0,0,0,0,Yes
SS13,7,14,0,0,0,0,Yes
TS21,7,14,0,0,0,0,Yes
B38,8,13,0,0,0,0,Yes
CV11,15,13,0,0,0,0,Yes
DL9,8,13,0,0,0,0,Yes
HP7,8,13,0,0,0,0,Yes
IP17,8,13,0,0,0,0,Yes
IP25,8,13,0,0,0,0,Yes
LS24,8,13,0,0,0,0,Yes
M25,15,13,0,0,0,0,Yes
NE23,15,13,0,0,0,0,Yes
NE37,8,13,0,0,0,0,Yes
OL14,8,13,0,0,0,0,Yes
SG9,8,13,0,0,0,0,Yes
WD17,8,13,0,0,0,0,Yes
WR4,8,13,0,0,0,0,Yes
BD3,17,12,0,0,0,0,Yes
B42,9,11,0,0,0,0,Yes
B44,18,11,0,0,0,0,Yes
B8,18,11,0,0,0,0,Yes
BB18,9,11,0,0,0,0,Yes
BB9,27,11,0,0,0,0,Yes
DL12,9,11,0,0,0,0,Yes
HU15,9,11,0,0,0,0,Yes
NE22,9,11,0,0,0,0,Yes
NR17,9,11,0,0,0,0,Yes
NR35,9,11,0,0,0,0,Yes
B17,10,10,0,0,0,0,Yes
DH8,20,10,0,0,0,0,Yes
