Row Labels,Number of schools,% schools booked that booked Bikeability,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
CB10,6,100,32,0,0,
EX21,6,100,23,0,0,
CO1,4,100,60,0,0,
EX37,4,100,17,0,0,
PL8,4,100,59,0,0,
RG25,4,100,33,0,0,
BA20,3,100,72,0,0,
CA17,3,100,6,17,0,
EX11,3,100,85,0,0,
EX12,3,100,41,0,0,
ST20,3,100,192,0,0,
EX3,2,100,0,0,0,Yes
CO14,2,100,32,0,0,
GL9,2,100,9,0,0,
TA13,2,100,18,0,0,
PL34,1,100,9,0,10,
LS2,1,100,60,0,9,
CO8,1,100,0,0,0,Yes
EX35,1,100,0,0,0,Yes
NE18,1,100,0,0,0,Yes
RH3,1,100,0,0,0,Yes
RM20,1,100,0,0,0,Yes
B50,1,100,30,0,0,
BH3,1,100,30,0,0,
BN5,1,100,31,0,0,
CA19,1,100,9,0,0,
CA21,1,100,6,0,0,
LA17,1,100,12,0,0,
LA20,1,100,25,0,0,
NE49,1,100,17,0,0,
NP25,1,100,4,0,0,
NR24,1,100,0,36,0,
PE5,1,100,22,0,0,
PL29,1,100,11,0,0,
PL35,1,100,10,0,0,
TA15,1,100,24,0,0,
CB23,16,94,627,22,0,
PL9,10,90,306,0,177,
EX14,10,90,105,0,7,
HD8,19,89,381,24,158,
SN13,7,86,18,0,0,
HD5,12,83,296,10,0,
BS36,6,83,31,0,0,
CA16,6,83,41,0,0,
CB3,6,83,23,0,0,
FY1,6,83,59,0,0,
NN29,6,83,73,0,0,
CB11,11,82,58,56,29,
SN8,15,80,169,0,0,
PL12,10,80,186,0,36,
RM18,5,80,7,0,34,
EX33,5,80,14,0,0,
HD4,14,79,274,45,32,
WF15,9,78,102,0,89,
PL15,17,76,178,0,162,
EX16,20,75,85,24,0,
PL14,16,75,241,16,145,
CB22,12,75,287,0,0,
FY2,8,75,21,0,32,
TN21,8,75,120,0,24,
EX22,8,75,39,0,10,
SN16,8,75,80,0,0,
SP3,8,75,8,0,0,
RH7,4,75,0,0,0,Yes
WR7,4,75,0,0,0,Yes
B94,4,75,14,0,0,
EN10,4,75,28,0,0,
IP29,4,75,59,0,0,
SG16,4,75,37,0,0,
WR12,4,75,27,0,0,
EX5,15,73,133,0,3,
BN7,11,73,50,0,0,
SN15,17,71,73,0,0,
PR26,7,71,97,0,16,
PL20,7,71,18,0,11,
CM19,7,71,13,0,0,
GL17,7,71,34,0,0,
GU12,7,71,133,0,0,
SS12,7,71,14,0,0,
TQ5,7,71,63,0,0,
TR19,7,71,41,0,0,
TR3,7,71,81,0,0,
GL7,27,70,168,0,0,
HU4,10,70,300,20,130,
GL54,16,69,109,0,0,
TN22,16,69,75,0,0,
PL7,13,69,128,5,202,
NN11,19,68,146,0,0,
PR6,21,67,335,0,140,
SO51,15,67,292,2,121,
TN23,15,67,377,61,94,
BN8,12,67,151,0,0,
M14,12,67,75,0,0,
TR18,9,67,46,0,29,
CA13,9,67,104,0,0,
CM16,9,67,105,18,0,
GL12,9,67,61,0,0,
PE15,9,67,139,0,0,
SK22,9,67,76,0,0,
TN33,9,67,74,0,0,
EX10,6,67,0,0,0,Yes
EX7,6,67,0,0,0,Yes
TN39,6,67,0,0,0,Yes
B95,6,67,61,0,0,
CA12,6,67,108,0,0,
CB25,6,67,75,0,0,
DY14,6,67,13,0,0,
PE26,6,67,90,0,0,
TA10,6,67,110,0,0,
TN37,6,67,42,0,0,
PL18,3,67,24,0,36,
BH5,3,67,0,0,0,Yes
HU14,3,67,0,0,0,Yes
PE16,3,67,0,0,0,Yes
TN19,3,67,0,0,0,Yes
BN24,3,67,12,0,0,
TA12,3,67,54,0,0,
TA14,3,67,30,0,0,
TF12,3,67,27,18,0,
TR10,3,67,24,0,0,
PE28,22,64,150,0,0,
MK44,14,64,162,0,15,
SN14,14,64,80,18,0,
DE5,11,64,155,0,52,
EX6,11,64,63,0,0,
GL10,11,64,42,0,0,
RG10,11,64,201,24,0,
SS17,11,64,153,0,0,
TA4,11,64,208,0,0,
WF17,27,63,200,0,141,
EX39,16,63,159,0,2,
LA8,8,63,36,0,0,
TN31,8,63,44,0,0,
DE7,26,62,478,33,165,
LU7,26,62,586,35,90,
PE19,21,62,219,0,0,
CT3,13,62,205,0,0,
S41,18,61,246,25,59,
CM20,10,60,21,0,0,
EX13,10,60,22,0,0,
GL11,10,60,66,0,0,
GL19,10,60,39,0,0,
