Row Labels,Number of schools,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
AL1,22,23,0,0,
AL10,13,88,18,0,
AL2,7,28,0,0,
AL3,18,260,0,0,
AL4,13,156,0,0,
AL5,21,222,0,0,
AL6,6,45,19,0,
AL7,13,35,0,0,
AL8,9,92,0,0,
AL9,7,0,0,0,Yes
B1,3,0,0,0,
B10,14,0,0,0,
B11,19,0,0,0,Yes
B12,17,98,0,32,
B13,22,0,0,0,Yes
B14,20,103,16,12,
B15,18,0,0,0,Yes
B16,7,0,0,0,
B17,10,0,0,0,Yes
B18,10,0,0,0,
B19,16,0,0,0,
B20,13,0,0,0,Yes
B21,16,0,0,0,Yes
B23,22,0,0,0,Yes
B24,10,96,0,23,
B25,3,0,0,0,Yes
B26,12,0,0,0,
B27,9,0,0,0,
B28,10,29,0,4,
B29,20,333,8,42,
B30,13,146,0,0,
B31,21,88,0,0,
B32,15,0,0,0,Yes
B33,16,0,0,0,Yes
B34,7,0,0,0,Yes
B35,7,0,0,0,
B36,19,28,0,0,
B37,14,180,0,0,
B38,8,0,0,0,Yes
B4,1,0,0,0,
B42,9,0,0,0,Yes
B43,10,0,0,0,
B44,18,0,0,0,Yes
B45,17,171,0,10,
B46,7,93,0,0,
B47,3,0,0,0,Yes
B48,2,0,0,0,
B49,10,18,0,0,
B5,2,0,0,0,
B50,1,30,0,0,
B6,15,95,18,12,
B60,12,26,0,0,
B61,12,0,0,0,Yes
B62,7,0,0,0,Yes
B63,13,0,0,0,Yes
B64,6,0,0,0,Yes
B65,8,24,0,0,
B66,10,25,0,0,
B67,9,42,0,0,
B68,15,20,0,0,
B69,12,57,0,0,
B7,10,12,0,0,
B70,13,30,0,0,
B71,12,33,0,0,
B72,5,28,0,0,
B73,8,30,0,34,
B74,10,140,0,0,
B75,11,0,0,0,Yes
B76,8,19,0,23,
B77,24,112,19,31,
B78,10,0,0,0,
B79,16,266,0,54,
B8,18,0,0,0,Yes
B80,5,0,0,0,
B9,11,0,0,0,Yes
B90,19,190,0,0,
B91,17,0,0,0,Yes
B92,14,68,0,0,
B93,7,374,0,0,
B94,4,14,0,0,
B95,6,61,0,0,
B96,3,0,0,0,
B97,11,0,0,0,
B98,22,0,0,0,Yes
BA1,17,29,0,0,
BA10,4,6,0,0,
BA11,20,24,0,0,
BA12,17,68,0,0,
BA13,9,0,0,0,Yes
BA14,24,104,0,0,
BA15,5,12,0,0,
BA16,7,43,0,0,
BA2,35,24,0,0,
BA20,3,72,0,0,
