Row Labels,Number of schools,L1 and L2 (number of places delivered 2020/21),L3 (number of places delivered 2020/21 ), Plus (number of places delivered 2020/21),Average L1 and L2 places per school
AL1,26,23,0,0,0.9
AL10,15,88,18,0,5.9
AL2,10,28,0,0,2.8
AL3,27,260,0,0,9.6
AL4,16,156,0,0,9.8
AL5,28,222,0,0,7.9
AL6,8,45,19,0,5.6
AL7,15,35,0,0,2.3
AL8,12,92,0,0,7.7
AL9,9,0,0,0,0
B1,3,,,,0
B10,14,,,,0
B11,20,0,0,0,0
B12,17,98,0,32,5.8
B13,23,0,0,0,0
B14,22,103,16,12,4.7
B15,17,0,0,0,0
B16,7,,,,0
B17,11,0,0,0,0
B18,10,,,,0
B19,16,,,,0
B20,14,0,0,0,0
B21,17,0,0,0,0
B23,22,0,0,0,0
B24,13,96,0,23,7.4
B25,4,0,0,0,0
B26,11,,,,0
B27,8,,,,0
B28,13,29,0,4,2.2
B29,23,333,8,42,14.5
B30,15,146,0,0,9.7
B31,23,88,0,0,3.8
B32,17,0,0,0,0
B33,15,0,0,0,0
B34,7,0,0,0,0
B35,7,,,,0
B36,21,28,0,0,1.3
B37,17,180,0,0,10.6
B38,9,0,0,0,0
B4,1,,,,0
B42,9,0,0,0,0
B43,8,,,,0
B44,20,0,0,0,0
B45,22,171,0,10,7.8
B46,7,93,0,0,13.3
B47,3,0,0,0,0
B48,2,,,,0
B49,12,18,0,0,1.5
B5,2,,,,0
B50,2,30,0,0,15
B6,17,95,18,12,5.6
B60,12,26,0,0,2.2
B61,13,0,0,0,0
B62,10,0,0,0,0
B63,13,0,0,0,0
B64,8,0,0,0,0
B65,9,24,0,0,2.7
B66,11,25,0,0,2.3
B67,10,42,0,0,4.2
B68,18,20,0,0,1.1
B69,15,57,0,0,3.8
B7,12,12,0,0,1
B70,14,30,0,0,2.1
B71,14,33,0,0,2.4
B72,6,28,0,0,4.7
B73,9,30,0,34,3.3
B74,9,140,0,0,15.6
B75,12,0,0,0,0
B76,10,19,0,23,1.9
B77,28,112,19,31,4
B78,10,,,,0
B79,19,266,0,54,14
B8,19,0,0,0,0
B80,5,,,,0
B9,13,0,0,0,0
B90,22,190,0,0,8.6
B91,20,0,0,0,0
B92,20,68,0,0,3.4
B93,9,374,0,0,41.6
B94,6,14,0,0,2.3
B95,9,61,0,0,6.8
B96,3,,,,0
B97,10,,,,0
B98,22,0,0,0,0
BA1,16,29,0,0,1.8
BA10,5,6,0,0,1.2
BA11,22,24,0,0,1.1
BA12,21,68,0,0,3.2
BA13,10,0,0,0,0
BA14,33,104,0,0,3.2
BA15,6,12,0,0,2
BA16,10,43,0,0,4.3
BA2,37,24,0,0,0.6
BA20,6,72,0,0,12
BA21,16,42,0,0,2.6
BA22,13,48,0,0,3.7
BA3,29,150,0,0,5.2
BA4,13,42,0,0,3.2
BA5,19,117,0,0,6.2
BA6,12,64,0,0,5.3
BA7,3,,,,0
BA8,6,25,0,0,4.2
BA9,3,,,,0
BB1,32,117,0,30,3.7
BB10,30,327,71,192,10.9
BB11,23,358,25,87,15.6
BB12,40,787,99,216,19.7
BB18,10,0,0,0,0
BB2,42,422,33,32,10
BB3,20,135,0,0,6.8
BB4,37,60,0,0,1.6
BB5,42,219,30,90,5.2
BB6,8,79,7,0,9.9
BB7,25,43,0,179,1.7
BB8,17,32,0,0,1.9
BB9,29,0,0,0,0
BD1,1,,,,0
BD10,12,0,0,0,0
BD11,1,22,0,0,22
BD12,6,46,0,0,7.7
BD13,12,0,0,0,0
BD14,5,46,0,6,9.2
BD15,9,44,0,0,4.9
BD16,16,92,10,5,5.8
BD17,7,134,0,0,19.1
BD18,12,0,0,0,0
BD19,14,66,0,28,4.7
BD2,12,0,0,0,0
BD20,17,27,0,0,1.6
BD21,13,129,0,63,9.9
BD22,17,80,0,0,4.7
BD23,34,94,0,0,2.8
BD24,5,15,0,0,3
BD3,17,0,0,0,0
BD4,17,111,0,40,6.5
BD5,24,,,,0
BD6,11,25,0,0,2.3
BD7,8,,,,0
BD8,20,127,0,24,6.4
BD9,20,114,0,0,5.7
BH1,3,,,,0
BH10,8,0,0,0,0
BH11,9,0,0,0,0
BH12,16,12,0,0,0.8
BH13,1,,,,0
BH14,7,48,0,0,6.9
BH15,15,10,0,0,0.7
BH16,6,26,0,0,4.3
BH17,13,23,0,0,1.8
BH18,5,0,0,0,0
BH19,6,7,9,0,1.2
BH2,3,,,,0
BH20,12,99,0,0,8.3
BH21,26,5,9,0,0.2
BH22,6,25,0,0,4.2
BH23,28,108,103,0,3.9
BH24,11,18,0,0,1.6
BH25,10,50,9,0,5
BH3,2,30,0,0,15
BH31,4,,,,0
BH4,1,,,,0
BH5,5,0,0,0,0
BH6,5,12,0,0,2.4
BH7,4,,,,0
BH8,9,,,,0
BH9,10,38,0,0,3.8
BL0,12,35,0,0,2.9
BL1,46,282,14,104,6.1
BL2,24,23,0,0,1
BL3,48,142,2,60,3
BL4,28,110,4,66,3.9
BL5,15,0,0,8,0
BL6,17,89,0,0,5.2
BL7,11,52,12,39,4.7
BL8,26,151,0,0,5.8
BL9,35,71,0,0,2
BN1,36,100,0,28,2.8
BN10,6,86,0,0,14.3
BN11,10,60,0,0,6
BN12,11,115,0,0,10.5
BN13,8,3,0,0,0.4
BN14,15,138,0,0,9.2
BN15,9,60,0,0,6.7
BN16,8,60,0,0,7.5
BN17,9,122,0,0,13.6
BN18,12,68,0,0,5.7
BN2,33,0,0,30,0
BN20,9,0,0,144,0
BN21,4,46,0,0,11.5
BN22,13,29,0,16,2.2
BN23,12,26,0,0,2.2
BN24,3,12,0,0,4
BN25,10,0,0,0,0
BN26,2,,,,0
BN27,12,48,0,0,4
BN3,23,0,0,0,0
BN41,12,65,0,48,5.4
BN42,2,,,,0
BN43,8,,,,0
BN44,4,,,,0
BN5,2,31,0,0,15.5
BN6,10,53,0,0,5.3
BN7,12,50,0,0,4.2
BN8,14,151,0,0,10.8
BN9,7,48,0,12,6.9
BR1,23,,,,0
BR2,18,,,,0
BR3,19,,,,0
BR4,8,,,,0
BR5,16,,,,0
BR6,19,,,,0
BR7,11,,,,0
BR8,11,36,0,0,3.3
BS1,6,12,0,0,2
BS10,12,0,0,0,0
BS11,15,78,0,0,5.2
BS13,16,86,0,0,5.4
BS14,11,,,,0
BS15,17,0,54,0,0
BS16,38,86,0,25,2.3
BS2,10,12,0,0,1.2
BS20,15,214,12,0,14.3
BS21,9,124,0,0,13.8
BS22,19,181,36,0,9.5
BS23,15,76,0,0,5.1
BS24,15,125,0,0,8.3
BS25,6,0,42,0,0
BS26,2,,,,0
BS27,4,,,,0
BS28,3,3,0,0,1
BS29,1,,,,0
BS3,13,0,0,0,0
BS30,20,54,73,25,2.7
BS31,11,24,0,0,2.2
BS32,16,114,0,25,7.1
BS34,14,48,0,0,3.4
BS35,20,110,0,25,5.5
BS36,9,31,0,0,3.4
BS37,24,33,41,0,1.4
BS39,8,49,0,0,6.1
BS4,22,38,0,0,1.7
BS40,12,65,0,0,5.4
BS41,3,,,,0
BS48,18,88,24,10,4.9
BS49,4,,,,0
BS5,18,0,0,0,0
BS6,17,125,0,0,7.4
BS7,19,42,0,0,2.2
BS8,8,,,,0
BS9,17,77,0,0,4.5
CA1,11,47,0,0,4.3
CA10,17,80,0,0,4.7
CA11,16,60,0,0,3.8
CA12,9,108,0,0,12
CA13,15,104,0,0,6.9
CA14,27,95,0,0,3.5
CA15,17,97,0,0,5.7
CA16,9,41,0,0,4.6
CA17,4,6,17,0,1.5
CA19,2,9,0,0,4.5
CA2,17,77,0,0,4.5
CA20,2,23,0,0,11.5
CA21,2,6,0,0,3
CA22,7,34,0,0,4.9
CA23,1,,,,0
CA24,1,,,,0
CA25,3,19,0,0,6.3
CA26,5,9,0,0,1.8
CA27,2,0,0,0,0
CA28,17,42,0,0,2.5
CA3,7,19,0,0,2.7
CA4,11,60,0,0,5.5
CA5,13,53,0,0,4.1
CA6,11,60,0,0,5.5
CA7,24,79,0,0,3.3
CA8,12,63,0,0,5.3
CA9,2,,,,0
CB1,29,204,23,0,7
CB10,8,32,0,0,4
CB11,16,58,56,29,3.6
CB2,22,224,7,0,10.2
CB21,16,96,0,0,6
CB22,17,287,0,0,16.9
CB23,25,627,22,0,25.1
CB24,24,302,0,0,12.6
CB25,9,75,0,0,8.3
CB3,10,23,0,0,2.3
CB4,18,64,0,0,3.6
CB5,4,18,0,0,4.5
CB6,23,188,0,0,8.2
CB7,13,0,0,0,0
CB8,21,117,0,0,5.6
CB9,17,12,0,0,0.7
CH1,15,38,0,0,2.5
CH2,19,162,84,0,8.5
CH3,17,132,0,0,7.8
CH4,11,0,0,0,0
CH41,14,10,0,0,0.7
CH42,7,12,0,0,1.7
CH43,16,75,0,0,4.7
CH44,8,34,0,0,4.3
CH45,8,,,,0
CH46,10,5,0,0,0.5
CH47,1,,,,0
CH48,8,,,,0
CH49,18,0,44,0,0
CH60,3,,,,0
CH61,8,26,0,0,3.3
CH62,13,183,0,0,14.1
CH63,14,66,0,0,4.7
