constituency_name,MP,Category,result,majority,con
Bury North,James Daly ,Backer,Con gain from Lab,105,21660
Kensington,Felicity Buchan,Probable supporter,Con gain from Lab,150,16768
Bolton North East,Mark Logan,Unclear,Con gain from Lab,378,19759
Moray,Douglas Ross,Opponent,Con hold,513,22112
High Peak,Robert Largan,Potential Rebel,Con gain from Lab,590,24844
Wimbledon,Stephen Hammond,Opponent,Con hold,628,20373
Carshalton and Wallington,Elliot Colburn,Opponent,Con gain from LD,629,20822
Heywood and Middleton,Chris Clarkson,Backer,Con gain from Lab,663,20453
Stoke-On-Trent Central,Jo Gideon,Unclear,Con gain from Lab Coop,670,14557
Gedling,Tom Randall,Potential Rebel,Con gain from Lab,679,22718
Blyth Valley,Ian Levy,Potential Rebel,Con gain from Lab,712,17440
West Aberdeenshire and Kincardine,Andrew Bowie,Opponent,Con hold,843,22752
Cheltenham,Alex Chalk,Potential Rebel,Con hold,981,28486
Winchester,Stephen Brine,Opponent,Con hold,985,28430
North West Durham,Richard Holden,Backer,Con gain from Lab,1144,19990
Bridgend,Jamie Wallis,Unclear,Con gain from Lab,1157,18193
Chipping Barnet,Theresa Villiers,Probable supporter,Con hold,1212,25745
Clwyd South,Simon Baynes,Backer,Con gain from Lab,1239,16222
Chingford and Woodford Green,Iain Duncan Smith,Potential Rebel,Con hold,1262,23481
Burnley,Antony Higginbotham,Potential Rebel,Con gain from Lab,1352,15720
Dewsbury,Mark Eastwood,Backer,Con gain from Lab,1561,26179
West Bromwich East,Nicola Richards,Probable supporter,Con gain from Lab,1593,16804
"Birmingham, Northfield",Gary Sambrook,Potential Rebel,Con gain from Lab,1640,19957
Wolverhampton South West,Stuart Anderson,Backer,Con gain from Lab,1661,19864
Dumfries and Galloway,Alister Jack,Backer,Con hold,1805,22678
Vale Of Clwyd,James Davies,Unclear,Con gain from Lab,1827,17270
Leigh,James Grundy,Backer,Con gain from Lab Coop,1965,21266
Ynys Mon,Virginia Crosbie,Potential Rebel,Con gain from Lab,1968,12959
Warrington South,Andy Carter,Unclear,Con gain from Lab,2010,28187
Aberconwy,Robin Millar,Potential Rebel,Con hold,2034,14687
Wrexham,Sarah Atherton,Unclear,Con gain from Lab,2131,15199
Keighley,Robbie Moore,Potential Rebel,Con gain from Lab,2218,25298
Cheadle,Mary Robinson,Potential Rebel,Con hold,2336,25694
Lewes,Maria Caulfield,Potential Rebel,Con hold,2457,26268
Derby North,Amanda Solloway,Backer,Con gain from Lab,2540,21259
Peterborough,Paul Bristow,Backer,Con gain from Lab,2580,22334
Esher and Walton,Dominic Raab,Backer,Con hold,2743,31132
South Cambridgeshire,Anthony Browne,Unclear,Con hold,2904,31015
Hyndburn,Sara Britcliffe,Backer,Con gain from Lab,2951,20565
Darlington,Peter Gibson,Backer,Con gain from Lab,3294,20901
Guildford,Angela Richardson,Opponent,Con hold,3337,26317
Lincoln,Karl McCartney,Probable supporter,Con gain from Lab,3514,24267
Pudsey,Stuart Andrew,Probable supporter,Con hold,3517,26453
Redcar,Jacob Young,Backer,Con gain from Lab Coop,3527,18811
Vale Of Glamorgan,Alun Cairns,Backer,Con hold,3562,27305
Don Valley,Nick Fletcher,Backer,Con gain from Lab,3630,19609
Blackpool South,Scott Benton,Backer,Con gain from Lab,3690,16247
"Dumfriesshire, Clydesdale and Tweeddale",David Mundell,Opponent,Con hold,3781,22611
West Bromwich West,Shaun Bailey,Backer,Con gain from Lab Coop,3799,17419
Stroud,Siobhan Baillie,Potential Rebel,Con gain from Lab Coop,3840,31582
Cities Of London and Westminster,Nickie Aiken,Potential Rebel,Con hold,3953,17049
Hastings and Rye,Sally-Ann Hart,Probable supporter,Con hold,4043,26896
Wolverhampton North East,Jane Stevenson,Backer,Con gain from Lab,4080,17722
Reading West,Alok Sharma,Backer,Con hold,4117,24393
Banff and Buchan,David Duguid,Potential Rebel,Con hold,4118,21182
Southport,Damien Moore,Potential Rebel,Con hold,4147,22914
Workington,Mark Jenkinson,Backer,Con gain from Lab,4176,20488
Wycombe,Steve Baker,Opponent,Con hold,4214,24766
Hendon,Matthew Offord,Unclear,Con hold,4230,26878
St Ives,Derek Thomas,Opponent,Con hold,4280,25365
Eastbourne,Caroline Ansell,Potential Rebel,Con gain from LD,4331,26951
Hazel Grove,William Wragg,Opponent,Con hold,4423,21592
Watford,Dean Russell,Backer,Con hold,4433,26421
"Southampton, Itchen",Royston Smith,Backer,Con hold,4498,23952
Sedgefield,Paul Howell,Backer,Con gain from Lab,4513,19609
Truro and Falmouth,Cherilyn Mackrory,Unclear,Con hold,4561,27237
Northampton South,Andrew Lewer,Unclear,Con hold,4697,20914
Norwich North,Chloe Smith,Backer,Con hold,4738,23397
Preseli Pembrokeshire,Stephen Crabb,Potential Rebel,Con hold,5062,21381
Colne Valley,Jason McCartney,Opponent,Con gain from Lab,5103,29482
"Berwickshire, Roxburgh and Selkirk",John Lamont,Opponent,Con hold,5148,25747
Stockton South,Matt Vickers,Probable supporter,Con gain from Lab,5260,27764
Bolsover,Mark Fletcher,Backer,Con gain from Lab,5299,21791
Broxtowe,Darren Henry,Unclear,Con hold,5331,26602
Ipswich,Tom Hunt,Unclear,Con gain from Lab,5479,24952
Northampton North,Michael Ellis,Backer,Con hold,5507,21031
Filton and Bradley Stoke,Jack Lopresti,Backer,Con hold,5646,26293
Ashfield,Lee Anderson,Potential Rebel,Con gain from Lab,5733,19231
Calder Valley,Craig Whittaker,Opponent,Con hold,5774,29981
Barrow and Furness,Simon Fell,Potential Rebel,Con gain from Lab Coop,5789,23876
Copeland,Trudy Harrison,Backer,Con hold,5842,22856
Altrincham and Sale West,Graham Brady,Unclear,Con hold,6139,26311
Pendle,Andrew Stephenson,Backer,Con hold,6186,24076
Shipley,Philip Davies,Potential Rebel,Con hold,6242,27437
Milton Keynes North,Ben Everitt,Unclear,Con hold,6255,30938
Stoke-On-Trent North,Jonathan Gullis,Backer,Con gain from Lab,6286,20974
Rother Valley,Alexander Stafford,Backer,Con gain from Lab,6318,21970
Morecambe and Lunesdale,David Morris,Backer,Con hold,6354,23925
Scunthorpe,Holly Mumby-Croft,Probable supporter,Con gain from Lab,6451,20306
Finchley and Golders Green,Mike Freer,Potential Rebel,Con hold,6562,24162
South Swindon,Robert Buckland,Potential Rebel,Con hold,6625,26536
East Devon,Simon Jupp,Unclear,Con hold,6708,32577
Clwyd West,David Jones,Potential Rebel,Con hold,6747,20403
Worcester,Robin Walker,Unclear,Con hold,6758,25856
Hitchin and Harpenden,Bim Afolami,Backer,Con hold,6895,27719
Milton Keynes South,Iain Stewart,Backer,Con hold,6944,32011
Brecon and Radnorshire,Fay Jones,Probable supporter,Con hold,7131,21958
Loughborough,Jane Hunt,Unclear,Con hold,7169,27954
Penistone and Stocksbridge,Miriam Cates,Backer,Con gain from Lab,7210,23688
Uxbridge and South Ruislip,Boris Johnson,Backer,Con hold,7210,25351
Great Grimsby,Lia Nici,Backer,Con gain from Lab,7331,18150
Wokingham,John Redwood,Probable supporter,Con hold,7383,30734
Newcastle-Under-Lyme,Aaron Bell,Opponent,Con gain from Lab,7446,23485
East Worthing and Shoreham,Tim Loughton,Opponent,Con hold,7474,27107
Rushcliffe,Ruth Edwards,Unclear,Con hold,7643,28765
Carmarthen West and South Pembrokeshire,Simon Hart,Backer,Con hold,7745,22183
Bishop Auckland,Dehenna Davison,Opponent,Con gain from Lab,7962,24067
Harrow East,Bob Blackman,Potential Rebel,Con hold,8170,26935
Carlisle,John Stevenson,Opponent,Con hold,8319,23659
