CCG,Uptake
NHS Oxfordshire CCG,93.5
NHS Berkshire West CCG,92.1
NHS Cheshire CCG,91.3
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",90.9
NHS North Yorkshire CCG,90.8
NHS Cambridgeshire and Peterborough CCG,90.6
NHS Somerset CCG,90.5
NHS Gloucestershire CCG,90.5
NHS Surrey Heartlands CCG,90
NHS West Sussex CCG,90
NHS Frimley CCG,89.8
NHS East Riding of Yorkshire CCG,89.8
"NHS Bristol, North Somerset and South Gloucestershire CCG",89.7
NHS Herts Valleys CCG,89.6
NHS Ipswich and East Suffolk CCG,89.3
NHS Buckinghamshire CCG,89.2
NHS Northumberland CCG,89.2
NHS East Leicestershire and Rutland CCG,89.2
NHS South East Staffordshire and Seisdon Peninsula CCG,89
"NHS Hampshire, Southampton and Isle of Wight CCG",89
NHS Norfolk and Waveney CCG,88.9
NHS Devon CCG,88.9
NHS North Cumbria CCG,88.8
NHS Stockport CCG,88.7
NHS Dorset CCG,88.6
NHS Mid Essex CCG,88.5
NHS North Tyneside CCG,88.4
NHS Herefordshire and Worcestershire CCG,88.3
NHS Stafford and Surrounds CCG,88.1
NHS Vale of York CCG,87.9
NHS Kernow CCG,87.8
NHS Warrington CCG,87.8
NHS Trafford CCG,87.8
NHS Bassetlaw CCG,87.5
NHS Rotherham CCG,87.5
NHS Fylde and Wyre CCG,87.5
NHS Derby and Derbyshire CCG,87.4
NHS Lincolnshire CCG,87.4
NHS Morecambe Bay CCG,87.3
NHS West Leicestershire CCG,87.2
NHS Castle Point and Rochford CCG,87.2
NHS Leeds CCG,87.2
"NHS Shropshire, Telford and Wrekin CCG",87
NHS Portsmouth CCG,87
NHS Sunderland CCG,86.9
NHS Cannock Chase CCG,86.9
NHS North East Essex CCG,86.9
NHS Northamptonshire CCG,86.8
NHS West Essex CCG,86.5
NHS County Durham CCG,86.5
NHS Blackpool CCG,86.4
NHS Wakefield CCG,86.4
"NHS Bedfordshire, Luton and Milton Keynes CCG",86.3
NHS East Staffordshire CCG,86.3
NHS West Lancashire CCG,86.2
NHS Greater Preston CCG,86.2
NHS North Staffordshire CCG,86.1
NHS St Helens CCG,86.1
NHS Chorley and South Ribble CCG,86.1
NHS West Suffolk CCG,86
NHS East and North Hertfordshire CCG,85.9
NHS Tees Valley CCG,85.8
NHS Basildon and Brentwood CCG,85.7
NHS Southport and Formby CCG,85.5
NHS Brighton and Hove CCG,85.5
NHS East Sussex CCG,85.3
NHS Coventry and Warwickshire CCG,85.3
NHS Kent and Medway CCG,85.3
NHS Wirral CCG,85.1
NHS Stoke on Trent CCG,84.9
NHS Leicester City CCG,84.9
NHS Tameside and Glossop CCG,84.9
NHS North Lincolnshire CCG,84.8
NHS Bury CCG,84.7
NHS Hull CCG,84.6
NHS Barnsley CCG,84.5
NHS Halton CCG,84.5
NHS Doncaster CCG,84.3
NHS South Tyneside CCG,84.3
NHS South West London CCG,84.2
NHS Bolton CCG,84
NHS Newcastle Gateshead CCG,83.8
NHS Nottingham and Nottinghamshire CCG,83.7
NHS Wigan Borough CCG,83.7
NHS North East Lincolnshire CCG,83.6
NHS Calderdale CCG,83.4
NHS South Sefton CCG,83.3
NHS Blackburn with Darwen CCG,83.3
NHS Sheffield CCG,83.2
NHS East Lancashire CCG,82.3
NHS Kirklees CCG,82.2
NHS Southend CCG,82.2
NHS Knowsley CCG,81.7
NHS Manchester CCG,81.7
NHS Bradford District and Craven CCG,81.5
NHS Oldham CCG,81.4
NHS South East London CCG,81
NHS North West London CCG,80.7
NHS Black Country and West Birmingham CCG,80.6
NHS Birmingham and Solihull CCG,80.5
NHS Salford CCG,80.5
"NHS Heywood, Middleton and Rochdale CCG",80.5
NHS Thurrock CCG,78.9
NHS Liverpool CCG,78.6
NHS North East London CCG,77.3
NHS North Central London CCG,75.6
