Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
AL1,1,22,,23,335,0,0,18,18,0,0,166
AL10,2,13,,88,106,18,0,15,15,10,8,87
AL2,1,7,,28,117,0,0,43,43,0,16,112
AL3,3,18,,260,313,0,0,50,50,33,16,275
AL4,2,13,,156,123,0,0,23,23,0,0,81
AL5,3,21,,222,404,0,0,33,33,0,0,348
AL6,0,6,,45,96,19,0,33,33,0,0,123
AL7,3,13,,35,98,0,0,15,15,23,0,161
AL8,1,9,,92,153,0,0,33,33,0,0,110
AL9,0,7,Yes,0,69,0,0,29,29,0,0,42
B1,0,3,,0,129,0,0,0,0,0,0,33
B10,1,14,,0,295,0,0,0,0,0,0,240
B11,1,19,Yes,0,216,0,0,5,5,0,0,181
B12,2,17,,98,352,0,32,12,12,0,0,75
B13,1,22,Yes,0,705,0,0,5,5,122,124,812
B14,5,20,,103,358,16,12,25,25,0,0,447
B15,1,18,Yes,0,85,0,0,6,6,12,25,193
B16,1,7,,0,24,0,0,0,0,0,0,46
B17,1,10,Yes,0,48,0,0,10,10,0,0,45
B18,0,10,,0,0,0,0,0,0,0,0,0
B19,1,16,,0,152,0,0,0,0,0,0,0
B20,1,13,Yes,0,161,0,0,8,8,0,0,143
B21,1,16,Yes,0,53,0,0,6,6,0,0,0
B23,1,22,Yes,0,199,0,0,9,9,0,0,172
B24,2,10,,96,98,0,23,30,30,0,0,70
B25,0,3,Yes,0,78,0,0,33,33,0,0,0
B26,3,12,,0,148,0,0,0,0,0,0,24
B27,0,9,,0,96,0,0,0,0,31,0,77
B28,1,10,,29,130,0,4,30,30,0,0,94
B29,2,20,,333,111,8,42,20,20,0,0,170
B30,6,13,,146,195,0,0,15,15,0,0,121
B31,2,21,,88,268,0,0,14,14,0,0,230
B32,0,15,Yes,0,131,0,0,20,20,0,0,330
B33,1,16,Yes,0,655,0,0,6,6,0,42,283
B34,3,7,Yes,0,276,0,0,14,14,0,0,90
B35,0,7,,0,0,0,0,0,0,0,0,36
B36,2,19,,28,168,0,0,16,16,0,0,248
B37,0,14,,180,576,0,0,43,43,0,0,623
B38,0,8,Yes,0,53,0,0,13,13,0,0,100
B4,0,1,,0,0,0,0,0,0,0,0,0
B42,0,9,Yes,0,0,0,0,11,11,0,0,30
B43,0,10,,0,154,0,0,0,0,0,0,129
B44,6,18,Yes,0,129,0,0,11,11,0,0,92
B45,1,17,,171,305,0,10,29,29,0,0,247
B46,1,7,,93,53,0,0,14,14,0,0,0
B47,0,3,Yes,0,47,0,0,33,33,0,0,30
B48,0,2,,0,0,0,0,0,0,0,0,0
B49,0,10,,18,38,0,0,30,30,0,0,67
B5,2,2,,0,0,0,0,0,0,0,0,0
B50,0,1,,30,36,0,0,100,100,0,0,35
B6,0,15,,95,40,18,12,13,13,0,0,0
B60,2,12,,26,144,0,0,25,25,0,0,156
B61,1,12,Yes,0,381,0,0,17,17,0,0,308
B62,0,7,Yes,0,145,0,0,43,43,0,0,109
B63,1,13,Yes,0,366,0,0,15,15,77,0,155
B64,0,6,Yes,0,54,0,0,33,33,0,0,32
B65,0,8,,24,57,0,0,13,13,0,0,44
B66,0,10,,25,44,0,0,10,10,0,0,29
B67,2,9,,42,68,0,0,22,22,0,0,92
B68,1,15,,20,225,0,0,20,20,0,0,93
B69,0,12,,57,209,0,0,25,25,0,0,204
