Node,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2007,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2008,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2009,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2010,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2011,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2012,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2013,Value of the National agrochemical market (Eur 000) - by sector ::: Value of the National agrochemical market (Eur 000) - by sector - 2014,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2007,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2008,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2009,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2010,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2011,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2012,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2013,Volume of active ingredient sold (000 kg) - by sector ::: Volume of active ingredient sold (000 kg) - by sector - 2014,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2007,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2008,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2009,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2010,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2011,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2012,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2013,Value of the National agrochemical market (Eur 000) - by crop ::: Value of the National agrochemical market (Eur 000) - by crop - 2014,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2007,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2008,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2009,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2010,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2011,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2012,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2013,Volume of active ingredient sold (000 kg) - by crop ::: Volume of active ingredient sold (000 kg) - by crop - 2014
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,71101,79786,83826,76055,78693,80045,93168,94462,2610,2658,2867,2636,2445,2165,2933,3126,71101,79786,83826,76055,78693,80045,93168,94462,2610,2658,2867,2636,2445,2165,2933,3126
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,71751,76146,70757,83134,82731,91275,121134,98360,4389,3862,4253,4525,4979,5515,5435,4981,71751,76146,70757,83134,82731,91275,121134,98360,4389,3862,4253,4525,4979,5515,5435,4981
Belgium,130000,141303,134499,119800,120789,123729,142240,136055,3162,3315,3076,2754,2928,2821,3386,3180,130000,141303,134499,119800,120789,123729,142240,136055,3162,3315,3076,2754,2928,2821,3386,3180
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,42529,45913,55507,65326,81000,89197,118735,140467,2749,2507,2239,2142,2339,2609,2847,3092,42529,45913,55507,65326,81000,89197,118735,140467,2749,2507,2239,2142,2339,2609,2847,3092
Croatia,59499,68685,61067,57013,56973,63364,67045,62282,2265,1856,1932,1435,1561,1486,1578,1660,59499,68685,61067,57013,56973,63364,67045,62282,2265,1856,1932,1435,1561,1486,1578,1660
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,185251,225368,204350,190569,208541,224103,246157,255524,4099,4278,3823,3607,3750,4010,4464,4233,185251,225368,204350,190569,208541,224103,246157,255524,4099,4278,3823,3607,3750,4010,4464,4233
Denmark,95948,104117,107473,91769,121434,121085,96897,115045,2488,2222,2161,2442,2104,2225,1969,2362,95948,104117,107473,91769,121434,121085,96897,115045,2488,2222,2161,2442,2104,2225,1969,2362
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
Finland,52643,57258,57154,51583,60343,53020,49558,45964,1199,1394,1450,1306,1198,1250,1239,1137,52643,57258,57154,51583,60343,53020,49558,45964,1199,1394,1450,1306,1198,1250,1239,1137
France,1942921,2204148,2179281,1849542,1915743,2062904,1978051,2030173,85850,84900,73690,52148,56636,60296,55613,56957,1942921,2204148,2179281,1849542,1915743,2062904,1978051,2030173,85850,84900,73690,52148,56636,60296,55613,56957
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1220560,1377388,1363165,1248618,1382383,1499048,1607238,1730424,29797,31303,28918,28673,25590,27225,26337,28160,1220560,1377388,1363165,1248618,1382383,1499048,1607238,1730424,29797,31303,28918,28673,25590,27225,26337,28160
Greece,184158,197026,194237,177794,177413,179729,185922,172578,8285,8855,8269,6325,8164,7722,7844,8320,184158,197026,194237,177794,177413,179729,185922,172578,8285,8855,8269,6325,8164,7722,7844,8320
Hungary,229174,276712,227681,229803,242970,273908,307485,331715,8095,7914,6270,5751,6435,6552,7093,7715,229174,276712,227681,229803,242970,273908,307485,331715,8095,7914,6270,5751,6435,6552,7093,7715
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
