ONS LA Code,Region/Local Authority,Number 
K02000001,UNITED KINGDOM,"15,781"
K03000001,GREAT BRITAIN,"15,351"
E92000001,ENGLAND,"13,609"
E12000001,NORTH EAST,904
E06000047,County Durham,214
E06000005,Darlington,27
E06000001,Hartlepool,12
E06000002,Middlesbrough,15
E06000057,Northumberland,162
E06000003,Redcar and Cleveland,23
E06000004,Stockton-on-Tees,52
E11000007,Tyne and Wear (Met County),399
E08000037,Gateshead,82
E08000021,Newcastle upon Tyne,80
E08000022,North Tyneside,76
E08000023,South Tyneside,55
E08000024,Sunderland,106
E12000002,NORTH WEST,"1,508"
E06000008,Blackburn with Darwen,25
E06000009,Blackpool,20
E06000049,Cheshire East,137
E06000050,Cheshire West and Chester,100
E06000006,Halton,24
E06000007,Warrington,88
E10000006,Cumbria,108
E07000026,Allerdale,22
E07000027,Barrow-in-Furness,15
E07000028,Carlisle,19
E07000029,Copeland,14
E07000030,Eden,10
E07000031,South Lakeland,28
E11000001,Greater Manchester (Met County),478
E08000001,Bolton,47
E08000002,Bury,41
E08000003,Manchester,43
E08000004,Oldham,35
E08000005,Rochdale,22
E08000006,Salford,40
E08000007,Stockport,76
E08000008,Tameside,36
E08000009,Trafford,71
E08000010,Wigan,67
E10000017,Lancashire,308
E07000117,Burnley,6
E07000118,Chorley,44
E07000119,Fylde,16
E07000120,Hyndburn,15
E07000121,Lancaster,36
E07000122,Pendle,14
E07000123,Preston,27
E07000124,Ribble Valley,19
E07000125,Rossendale,24
E07000126,South Ribble,40
E07000127,West Lancashire,30
E07000128,Wyre,37
E11000002,Merseyside (Met County),220
E08000011,Knowsley,21
E08000012,Liverpool,48
E08000014,Sefton,47
E08000013,St. Helens,38
E08000015,Wirral,66
E12000003,YORKSHIRE AND THE HUMBER,"1,164"
E06000011,East Riding of Yorkshire,111
E06000010,"Kingston upon Hull, City of",23
E06000012,North East Lincolnshire,27
E06000013,North Lincolnshire,28
E06000014,York,44
E10000023,North Yorkshire,151
E07000163,Craven,21
E07000164,Hambleton,22
E07000165,Harrogate,40
E07000166,Richmondshire,14
E07000167,Ryedale,17
E07000168,Scarborough,17
E07000169,Selby,20
E11000003,South Yorkshire (Met County),308
E08000016,Barnsley,52
E08000017,Doncaster,63
E08000018,Rotherham,63
E08000019,Sheffield,130
E11000006,West Yorkshire (Met County),472
E08000032,Bradford,94
E08000033,Calderdale,55
E08000034,Kirklees,97
E08000035,Leeds,169
E08000036,Wakefield,57
E12000004,EAST MIDLANDS,"1,304"
E06000015,Derby,48
E06000016,Leicester,36
E06000061,North Northamptonshire,96
E06000018,Nottingham,46
E06000017,Rutland,19
E06000062,West Northamptonshire,135
E10000007,Derbyshire,234
E07000032,Amber Valley,45
E07000033,Bolsover,13
E07000034,Chesterfield,28
E07000035,Derbyshire Dales,34
E07000036,Erewash,29
E07000037,High Peak,26
E07000038,North East Derbyshire,25
E07000039,South Derbyshire,34
E10000018,Leicestershire,234
E07000129,Blaby,33
E07000130,Charnwood,47
E07000131,Harborough,48
E07000132,Hinckley and Bosworth,54
E07000133,Melton,15
E07000134,North West Leicestershire,29
E07000135,Oadby and Wigston,8
