LA Name,Total Incidents,Highway Incidents,Footpath / Bridleway Incidents,Back Alleyway Incidents,Railway Incidents,Council Land Incidents,Agricultural Incidents,Private / Residential Incidents,Commercial / Industrial Incidents,Watercourse / Bank Incidents,Other (unidentified) Incidents
Adur,407,361,1,0,0,45,0,0,0,0,0
Allerdale,689,124,99,265,0,173,0,0,9,5,14
Amber Valley,223,215,1,0,0,7,0,0,0,0,0
Arun,1455,379,475,136,2,220,19,76,15,13,120
Ashfield,901,168,285,72,4,69,50,151,66,13,23
Ashford,1538,663,142,47,0,647,1,1,0,9,28
Aylesbury Vale,1056,864,77,5,0,20,1,3,4,1,81
Babergh,235,138,30,10,0,21,5,2,7,2,20
Barking and Dagenham,3794,25,2295,84,30,818,510,5,2,0,25
Barnet,3420,763,2082,134,0,340,6,0,0,0,95
Barnsley,3740,594,798,691,1,1418,0,214,5,11,8
Barrow-in-Furness,1986,0,0,1339,0,647,0,0,0,0,0
Basildon,3451,1178,46,306,0,1921,0,0,0,0,0
Basingstoke and Deane,4107,2373,344,274,0,745,63,264,21,8,15
Bassetlaw,1990,1924,34,0,0,24,0,6,1,0,1
Bath and North East Somerset,2169,646,265,48,2,812,26,13,10,4,343
Bedford,2137,1469,366,76,3,129,7,5,4,70,8
Bexley,2552,2088,135,68,2,150,0,55,35,6,13
Birmingham,21761,16481,3524,268,0,768,6,332,379,3,0
Blaby,676,439,78,5,0,28,10,49,25,14,28
Blackburn with Darwen,3763,591,38,2951,0,149,1,21,10,0,2
Blackpool,3319,602,0,2592,0,25,0,33,0,0,67
Bolsover,1494,792,132,99,0,96,5,116,6,6,242
Bolton,935,133,133,358,2,251,8,12,4,2,32
Boston,1245,489,296,59,1,111,1,16,19,92,161
"Bournemouth, Christchurch and Poole",1705,1169,0,0,0,0,0,0,0,0,536
Bracknell Forest,604,234,80,3,0,267,0,15,0,5,0
Bradford,16128,3560,6526,2855,58,1090,128,1199,412,11,289
Braintree,701,258,115,13,1,88,13,54,13,92,54
Breckland,984,425,109,10,0,395,14,14,4,4,9
Brent,34197,31567,684,10,0,14,6,12,7,0,1897
Brentwood,462,450,6,3,0,1,0,0,0,2,0
Brighton and Hove,2100,532,1216,105,0,54,0,193,0,0,0
"Bristol, City of",8655,7546,515,161,0,405,3,15,6,0,4
Broadland,438,373,15,1,0,46,0,1,2,0,0
Bromley,2821,2473,58,8,1,238,3,26,9,1,4
Bromsgrove,2128,947,85,6,0,900,28,93,8,17,44
Broxbourne,792,513,3,8,0,76,2,152,29,4,5
Broxtowe,257,57,107,5,0,41,1,20,1,3,22
Burnley,2831,454,412,1614,1,120,19,61,18,8,124
Bury,2677,975,463,1062,0,30,0,39,13,0,95
Calderdale,1856,462,623,234,10,171,9,121,43,14,169
Cambridge,1487,143,590,44,0,586,1,42,10,0,71
Camden,34465,2450,896,0,0,3518,1,0,10,0,27590
Cannock Chase,406,95,134,46,0,127,0,0,0,4,0
Canterbury,1533,1126,0,0,0,318,0,0,0,0,89
Carlisle,1030,446,77,226,0,134,9,58,26,18,36
Castle Point,933,929,0,0,0,4,0,0,0,0,0
Central Bedfordshire,786,440,53,19,0,228,4,14,19,6,3
Charnwood,924,641,75,10,1,95,16,58,7,13,8
Chelmsford,140,87,13,1,0,10,0,8,18,1,2
Cheltenham,246,64,76,27,2,38,2,16,11,6,4
Cherwell,684,190,222,54,0,64,16,37,18,5,78
Cheshire East,2746,1503,24,1159,3,49,0,1,0,0,7
Cheshire West and Chester,3722,1382,723,805,17,246,65,21,5,10,448
Chesterfield,293,24,70,1,2,142,0,48,0,6,0
Chichester,1011,751,132,3,0,37,9,8,4,16,51
Chiltern,354,236,88,2,0,15,0,0,1,0,12
Chorley,894,202,247,168,1,97,15,22,14,34,94
City of London,1804,211,1397,29,1,15,0,4,33,0,114
Colchester,1649,945,59,27,0,618,0,0,0,0,0
Copeland,266,104,44,29,0,77,0,5,7,0,0
Corby,2061,0,0,0,0,0,0,0,0,0,2061
Cornwall,3657,1632,483,261,2,924,28,3,12,65,247
Cotswold,528,422,50,7,0,11,7,10,9,1,11
County Durham,6125,620,474,1436,0,2918,326,261,28,14,48
Coventry,6955,6536,0,164,0,240,2,4,3,5,1
Craven,134,95,11,10,0,1,0,5,8,1,3
Crawley,1049,62,38,26,86,818,0,10,1,1,7
Croydon,25532,3101,15235,494,20,4045,52,942,198,0,1445
Dacorum,1259,270,103,31,0,847,1,0,4,0,3
Darlington,2838,297,345,1348,0,482,5,5,10,10,336
Dartford,2700,1412,47,333,0,300,216,359,32,1,0
Daventry,1220,514,161,10,17,330,33,26,10,2,117
Derby,5728,5353,203,4,0,153,1,12,2,0,0
Derbyshire Dales,274,246,13,0,0,7,0,0,0,3,5
Doncaster,1373,373,214,357,3,333,18,11,0,1,63
Dorset,1870,1127,332,62,1,207,42,39,10,16,34
Dover,942,478,72,62,0,150,49,73,36,12,10
Dudley,1224,483,550,76,0,94,17,3,0,0,1
Ealing,13115,11965,91,345,0,223,0,491,0,0,0
East Cambridgeshire,608,608,0,0,0,0,0,0,0,0,0
East Devon,584,498,31,13,0,29,2,4,1,4,2
East Hampshire,558,391,69,14,2,55,6,11,3,6,1
East Hertfordshire,1013,505,93,5,0,363,6,8,7,5,21
East Lindsey,732,626,50,10,0,26,3,3,0,6,8
East Northamptonshire,737,695,32,1,0,1,0,5,2,1,0
East Riding of Yorkshire,1442,774,143,481,3,7,5,10,3,6,10
East Staffordshire,578,152,138,12,0,195,2,34,6,6,33
East Suffolk,1594,468,284,492,1,149,31,39,38,10,82
Eastbourne,526,113,61,21,0,330,0,1,0,0,0
Eastleigh,596,171,18,106,0,127,0,129,6,2,37
Eden,326,326,0,0,0,0,0,0,0,0,0
Elmbridge,1592,1282,68,72,3,74,0,86,1,3,3
Enfield,4979,4634,49,26,1,194,1,57,3,0,14
Epping Forest,2602,1142,151,31,1,1051,20,51,10,11,134
Epsom and Ewell,855,6,102,50,0,562,0,60,4,0,71
Erewash,291,121,55,7,0,98,1,2,0,7,0
Exeter,823,192,184,165,0,96,3,2,6,4,171
Fareham,307,104,37,5,0,156,3,0,0,1,1
Fenland,1522,906,348,129,0,107,4,2,0,10,16
Folkestone and Hythe,1360,1014,155,44,0,67,7,12,13,4,44
Forest of Dean,1190,593,0,0,0,348,0,0,0,0,249
Fylde  ,570,195,109,179,0,12,9,38,19,9,0
Gateshead,7804,190,216,4241,8,2546,8,53,22,5,515
Gedling  ,1359,1043,107,50,0,127,7,8,3,11,3
Gloucester,1591,1474,2,25,0,68,4,3,1,8,6
Gosport  ,389,193,11,16,0,131,0,26,8,0,4
Gravesham  ,2278,668,916,610,0,32,1,2,1,3,45
Great Yarmouth  ,1491,127,386,804,0,146,13,7,1,6,1
Greenwich,11795,664,4570,835,0,0,0,0,0,0,5726
Guildford  ,1366,684,82,11,0,572,9,3,1,0,4
Hackney,12190,1651,4923,371,0,4539,0,543,160,3,0
Halton  ,458,64,83,247,0,63,0,1,0,0,0
Hambleton  ,358,314,9,0,0,5,5,6,1,13,5
Hammersmith and Fulham,13322,407,4862,23,1,125,0,70,16,0,7818
Harborough  ,484,420,32,10,0,12,5,0,1,0,4
Haringey,22972,22964,0,3,0,0,0,0,5,0,0
Harlow  ,2443,14,34,33,0,2312,0,18,5,2,25
Harrogate  ,588,409,23,60,2,74,6,7,4,1,2
Harrow,11151,10102,78,228,0,533,27,40,2,0,141
Hart  ,425,373,11,0,0,19,4,9,1,8,0
Hartlepool  ,1586,37,253,547,0,359,5,197,100,6,82
Hastings  ,1147,1111,27,2,0,4,0,1,0,0,2
Havant  ,1140,757,66,22,0,280,0,2,4,0,9
Havering,3380,2209,195,126,0,586,21,153,22,16,52
"Herefordshire, County of",685,104,42,19,0,201,73,108,43,11,84
Hertsmere  ,1240,612,45,40,1,453,10,60,7,5,7
High Peak  ,302,218,14,20,0,41,0,6,0,3,0
Hillingdon,10434,821,188,73,2,255,10,146,43,15,8881
Hinckley and Bosworth  ,791,358,207,9,1,72,8,19,4,11,102
Horsham  ,1066,451,153,13,0,209,34,64,12,15,115
