Local Authority,Total Assesments,total owed a prevention or relief duty,threatened with homelessness within 56 days, Homeless - Relief Duty Ower ,Not homeless nor threatened with homelessness within 56 days - no duty owed,Number of households in area,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s)
Adur,53,52,17,35,1,28, 0.60 , 1.24 
Allerdale,122,119,34,85,3,44, 0.77 , 1.93 
Amber Valley,90,89,62,27,1,57, 1.09 , 0.47 
Arun,204,183,105,78,21,73, 1.43 , 1.07 
Ashfield,75,74,30,44,1,57, 0.53 , 0.77 
Ashford,153,153,75,78,0,55, 1.36 , 1.41 
Babergh,59,59,44,15,0,41, 1.07 , 0.37 
Barking & Dagenham,340,331,219,112,9,78, 2.80 , 1.43 
Barnet,532,514,241,273,18,152, 1.59 , 1.80 
Barnsley,218,216,105,111,2,111, 0.95 , 1.00 
Barrow-in-Furness,64,64,32,32,0,31, 1.02 , 1.02 
Basildon,170,167,34,133,3,77, 0.44 , 1.72 
Basingstoke & Deane,80,78,51,27,2,74, 0.69 , 0.36 
Bassetlaw,60,58,26,32,2,51, 0.51 , 0.63 
Bath & North East Somerset,87,85,45,40,2,80, 0.56 , 0.50 
Bedford,266,262,100,162,4,72, 1.39 , 2.26 
Bexley,154,153,53,100,1,100, 0.53 , 1.00 
Birmingham,"1,404","1,386",380,"1,006",18,426, 0.89 , 2.36 
Blaby,101,101,66,35,0,44, 1.50 , 0.79 
Blackburn with Darwen,253,240,200,40,13,57, 3.48 , 0.70 
Blackpool,315,311,119,192,4,63, 1.89 , 3.05 
Bolsover,47,47,29,18,0,36, 0.80 , 0.50 
Bolton,517,486,178,308,31,121, 1.47 , 2.54 
Boston,69,66,37,29,3,29, 1.26 , 0.98 
"Bournemouth, Christchurch and Poole",562,556,243,313,6,175, 1.39 , 1.79 
Bracknell Forest,178,153,110,43,25,51, 2.17 , 0.85 
Bradford,699,665,448,217,34,205, 2.18 , 1.06 
Braintree,125,121,83,38,4,65, 1.28 , 0.58 
Breckland,172,171,60,111,1,61, 0.99 , 1.83 
Brent,..,..,..,..,..,117, .. , .. 
Brentwood,27,27,9,18,0,31, 0.29 , 0.57 
Brighton & Hove,263,256,45,211,7,127, 0.36 , 1.66 
Bristol,682,619,100,519,63,197, 0.51 , 2.64 
Broadland,60,58,23,35,2,57, 0.40 , 0.61 
Bromley,219,216,64,152,3,141, 0.45 , 1.08 
Bromsgrove,56,55,28,27,1,42, 0.67 , 0.64 
Broxbourne,120,118,76,42,2,39, 1.93 , 1.07 
Broxtowe,66,64,36,28,2,49, 0.73 , 0.57 
Buckinghamshire,449,410,246,164,39,218, 1.13 , 0.75 
