Authority_name,Housing Association 2020,Local Authority 2020,Other Public Sector 2020,Private Sector 2020,Net addition 2012/2013,Net Addition 2013/2014,Net Addition 2014/15,Net Addition 2015/16,Net Addition 2016/17,Net Addition 2017/18,Net Addition 2018/19,Net Addition 2019/20,Net Addition 2020/21
Adur,1101,2542,0,24878,151,92,97,31,64,114,113,13,209
Allerdale,8860,2,8,39144,196,199,301,382,250,480,337,256,300
Amber Valley,7276,27,0,51275,204,269,271,431,563,654,594,458,509
Arun,3547,3380,0,68805,482,367,612,905,618,713,609,512,691
Ashfield,2081,6666,2,47746,434,454,425,559,544,397,300,173,265
Ashford,2646,5028,0,47427,284,137,405,1022,696,591,878,708,1099
Babergh,1997,3423,0,36117,933,990,1423,1191,1323,1414,1758,1715,527
Barking and Dagenham,5226,16352,0,54992,219,291,172,157,226,331,579,293,1048
Barnet,9140,10397,0,135399,506,731,514,732,596,413,906,741,2250
Barnsley,4048,18330,0,90054,1374,1113,1324,1458,1799,2208,2209,1990,590
Barrow-in-Furness,957,2555,0,30107,657,749,620,706,850,1009,988,1052,88
Basildon,5901,11173,29,61505,44,73,,87,65,96,122,103,317
Basingstoke and Deane,14298,0,125,63097,645,119,678,816,412,341,340,576,1241
Bassetlaw,1463,6711,0,44701,303,533,424,471,555,828,1200,1574,776
Bath and North East Somerset,11786,37,0,71432,226,245,236,338,462,551,434,694,764
Bedford,12315,0,460,63910,550,548,631,809,871,1245,1040,1167,1199
Bexley,13634,222,0,84743,654,997,828,964,1255,1350,1359,1026,632
Birmingham,51959,60673,0,332644,418,528,810,-132,764,277,486,208,3481
Blaby,3651,0,0,40308,1372,1598,1809,2839,1751,3160,4187,3740,292
Blackburn with Darwen,11576,0,12,50002,294,305,409,733,743,588,522,427,484
Blackpool,2340,4726,0,63456,197,226,215,95,139,279,485,303,161
Bolsover,1163,5042,0,30388,132,-53,,250,-146,276,368,335,446
Bolton,25454,0,0,99453,120,136,253,326,293,251,291,439,547
Boston,5690,0,90,24681,,328,469,512,437,483,544,463,294
"Bournemouth, Christchurch and Poole",9225,9830,0,166407,64,174,109,180,351,394,429,324,790
Bracknell Forest,8162,77,324,43356,639,394,964,723,581,635,659,1703,996
Bradford,31872,371,0,185127,918,719,1417,1167,1405,1042,1272,1688,522
Braintree,10751,8,144,55593,395,314,376,336,437,416,755,1010,846
Breckland,8597,10,0,53687,721,874,1134,,1488,1621,1614,884,551
Brent,18191,8231,0,96459,177,182,409,523,291,491,534,587,2404
Brentwood,1006,2481,0,30270,328,425,491,617,793,530,753,2433,168
Brighton and Hove,6653,11573,14,110299,662,734,1559,1051,1364,694,1741,395,782
"Bristol, City of",12533,26945,500,161962,214,105,159,111,150,213,211,558,1621
Broadland,5603,11,144,53767,374,436,581,687,353,444,380,1326,499
Bromley,18973,0,0,121196,878,1287,1454,1539,1994,1640,1638,663,272
Bromsgrove,4534,0,10,37364,182,368,434,772,700,679,640,485,151
Broxbourne,5239,498,11,35418,692,149,411,700,858,554,708,264,202
Broxtowe,1313,4438,192,44261,130,181,214,477,297,513,202,150,255
Buckinghamshire,29280,31,979,197769,185,98,179,177,254,299,459,192,1980
Burnley,6233,39,0,34973,69,149,73,101,285,314,215,2274,234
Bury,4910,7883,0,71501,1691,1560,2101,1824,2914,2550,3253,165,214
Calderdale,13908,0,0,81925,14,157,22,208,201,335,251,200,263
Cambridge,5310,7105,104,43152,274,266,543,335,368,275,389,347,420
Camden,11689,23226,0,71668,495,327,564,329,376,292,555,464,509
Cannock Chase,2168,5123,0,37402,484,1298,715,884,1178,1152,877,985,319
Canterbury,2579,5115,30,60973,564,454,439,965,1208,945,827,930,438
Carlisle,7719,16,38,46514,166,260,255,-6,372,625,234,536,471
Castle Point,602,1512,0,36788,525,537,333,,417,1139,430,663,171
Central Bedfordshire,11155,5272,546,106996,216,190,419,502,541,505,592,74,2135
Charnwood,3687,5548,6,67145,115,170,207,118,114,163,203,2622,1080
Chelmsford,10521,86,24,67264,966,1264,1522,1626,1773,2103,2102,805,829
Cheltenham,2483,4466,0,49624,503,602,723,831,903,1070,1032,832,384
Cherwell,8596,200,325,58513,253,471,826,792,1002,1008,1256,471,1192
Cheshire East,21122,24,122,160028,274,413,287,397,297,493,783,1159,2275
Cheshire West and Chester,18492,5458,262,137711,342,410,946,1425,1102,1387,1489,3131,1335
Chesterfield,1500,8968,70,39460,649,,1239,1573,1763,2298,2935,1849,276
Chichester,8256,92,283,49534,673,970,1571,1769,2020,2546,2154,304,530
Chorley,7057,75,27,45098,153,155,184,206,130,110,212,542,306
City of London,242,646,0,6211,298,229,461,580,564,690,635,95,206
Colchester,5415,5876,23,71213,310,159,115,174,234,286,353,640,741
Copeland,5985,1,0,27612,638,582,723,606,517,661,573,297,107
Corby,1176,4615,0,24422,71,148,153,109,195,100,187,785,418
Cornwall,22125,10310,0,251076,35,437,226,77,7,138,55,165,2664
Cotswold,6126,1,268,38855,617,716,731,933,912,1048,1175,371,378
County Durham,8184,12751,50,90242,,,129,128,154,132,117,3037,1343
Coventry,24710,120,21,119499,483,333,390,369,375,597,632,312,589
Craven,2478,21,1,26316,2278,2029,2702,2597,3074,3427,3109,1628,188
Crawley,2603,8072,0,35936,,396,463,599,754,911,806,2241,568
