LAD21NM,map
Hartlepool,23
Middlesbrough,23
Redcar and Cleveland,23
Stockton-on-Tees,23
Darlington,23
Halton,23
Warrington,23
Blackburn with Darwen,23
Blackpool,23
"Kingston upon Hull, City of",23
East Riding of Yorkshire,23
North East Lincolnshire,23
North Lincolnshire,23
York,23
Derby,23
Leicester,23
Rutland,23
Nottingham,23
"Herefordshire, County of",23
Telford and Wrekin,23
Stoke-on-Trent,23
Bath and North East Somerset,23
"Bristol, City of",23
North Somerset,23
South Gloucestershire,23
Plymouth,23
Torbay,23
Swindon,23
Peterborough,23
Luton,23
Southend-on-Sea,23
Thurrock,23
Medway,23
Bracknell Forest,23
West Berkshire,23
Reading,23
Slough,23
Windsor and Maidenhead,23
Wokingham,23
Milton Keynes,23
Brighton and Hove,23
Portsmouth,23
Southampton,23
Isle of Wight,23
County Durham,23
Cheshire East,23
Cheshire West and Chester,23
Shropshire,23
Cornwall,23
Isles of Scilly,23
Wiltshire,23
Bedford,23
Central Bedfordshire,23
Northumberland,23
"Bournemouth, Christchurch and Poole",23
Dorset,23
Buckinghamshire,23
North Northamptonshire,23
West Northamptonshire,23
Cambridge,23
East Cambridgeshire,23
Fenland,23
Huntingdonshire,23
South Cambridgeshire,23
Allerdale,23
Barrow-in-Furness,23
Carlisle,23
Copeland,23
Eden,23
South Lakeland,23
Amber Valley,23
Bolsover,23
Chesterfield,23
Derbyshire Dales,23
Erewash,23
High Peak,23
North East Derbyshire,23
South Derbyshire,23
East Devon,23
Exeter,23
Mid Devon,23
North Devon,23
South Hams,23
Teignbridge,23
Torridge,23
West Devon,23
Eastbourne,23
Hastings,23
Lewes,23
Rother,23
Wealden,23
Basildon,23
Braintree,23
Brentwood,23
Castle Point,23
Chelmsford,23
Colchester,23
Epping Forest,23
Harlow,23
Maldon,23
Rochford,23
Tendring,23
Uttlesford,23
Cheltenham,23
Cotswold,23
Forest of Dean,23
Gloucester,23
Stroud,23
Tewkesbury,23
Basingstoke and Deane,23
East Hampshire,23
Eastleigh,23
Fareham,23
Gosport,23
Hart,23
Havant,23
New Forest,23
Rushmoor,23
Test Valley,23
Winchester,23
Broxbourne,23
Dacorum,23
Hertsmere,23
North Hertfordshire,23
Three Rivers,23
Watford,23
Ashford,23
Canterbury,23
Dartford,23
Dover,23
Gravesham,23
Maidstone,23
Sevenoaks,23
Folkestone and Hythe,23
Swale,23
Thanet,23
Tonbridge and Malling,23
Tunbridge Wells,23
Burnley,23
Chorley,23
Fylde,23
Hyndburn,23
Lancaster,23
Pendle,23
Preston,23
Ribble Valley,23
Rossendale,23
South Ribble,23
West Lancashire,23
Wyre,23
Blaby,23
Charnwood,23
Harborough,23
Hinckley and Bosworth,23
Melton,23
North West Leicestershire,23
Oadby and Wigston,23
Boston,23
East Lindsey,23
Lincoln,23
North Kesteven,23
South Holland,23
South Kesteven,23
West Lindsey,23
Breckland,23
Broadland,23
Great Yarmouth,23
King's Lynn and West Norfolk,23
North Norfolk,23
Norwich,23
South Norfolk,23
Craven,23
Hambleton,23
Harrogate,23
Richmondshire,23
Ryedale,23
Scarborough,23
Selby,23
Ashfield,23
Bassetlaw,23
Broxtowe,23
Gedling,23
Mansfield,23
Newark and Sherwood,23
Rushcliffe,23
Cherwell,23
Oxford,23
South Oxfordshire,23
