,Appts per head
South East London,0.36
North Central London,0.36
South West London,0.39
North East London,0.39
Surrey Heartlands,0.41
Hertfordshire and West Essex,0.41
Mid and South Essex,0.41
"Bedfordshire, Luton and Milton Keynes",0.41
Greater Manchester,0.41
North West London,0.42
Staffordshire and Stoke-on-Trent,0.42
"Buckinghamshire, Oxfordshire and Berkshire West",0.43
Coventry and Warwickshire,0.43
"Bristol, North Somerset and South Gloucestershire",0.43
Black Country,0.43
Frimley,0.44
Kent and Medway,0.44
Sussex,0.45
Hampshire and the Isle of Wight,0.45
Northamptonshire,0.45
Lancashire and South Cumbria,0.45
Cheshire and Merseyside,0.45
Birmingham and Solihull,0.45
"Shropshire, Telford and Wrekin",0.46
Nottingham and Nottinghamshire,0.46
Cambridgeshire and Peterborough,0.47
Suffolk and North East Essex,0.47
Humber and North Yorkshire,0.47
Dorset,0.48
Somerset,0.48
South Yorkshire,0.48
"Leicester, Leicestershire and Rutland",0.49
Lincolnshire,0.49
Derby and Derbyshire,0.49
"Bath and North East Somerset, Swindon and Wiltshire",0.5
North East and North Cumbria,0.5
Gloucestershire,0.51
West Yorkshire,0.51
Norfolk and Waveney,0.53
Herefordshire and Worcestershire,0.54
Devon,0.55
Cornwall and the Isles of Scilly,0.57
