Node,MSP,Number of sites,"Local Sites (Supercentre SC, Superstore SS, Supermarket SM, Asda Living AL, Depots)",AOTM(s),PFS(s),Cafe(s),Pharmacy(s),Post Office(s),Average basket spend per customer,Average customers per week,Average transactions per week,Local ASDA Rewards Users,Kids Eat for 1 meals sold (since July 2022),Winter Warmer meals sold (since November 2022),Local colleagues,Apprentices supported (since 2017),Value of ASDA Foundation Grants to grassroot groups (since 2020),Number of ASDA Foundation Grants distributed to local groups (since 2020),Fight Hunger meals via in-store donations (since 2021),Store space donations (since 2020),Colleague volunteering days (since 2020),Amount raised for charities (since 2020),Value of goods donated (since 2020),Meals donated via back of house (since 2018),Full-time to Part-time split,Colleagues serving 1 year +,Colleagues serving 5 years +,Colleagues serving 10 years +,Colleagues serving 20 years +,Community Champion,Community Champion Email (@asda.co.uk),Green Token Giving Groups (Q1 2023) 1,Green Token Giving Groups (Q1 2023) 2,Green Token Giving Groups (Q1 2023) 3
Aberdeen Central,Kevin Stewart,1,Aberdeen Beach,,,Aberdeen Beach,,,31.04,18000,29400,19,5392,1211,192,19,17781,35,14390,37,103,3429,7163,34760,36% / 64%,84,48,29,3,Shanna Hepburn,Community_AberdeenBeach,,,
Aberdeen Donside,Jackie Dunbar,2,Dyce; Middleton Park,,Dyce; Middleton Park,Dyce,Middleton Park,,31.04,24300,50200,27,,,401,18,41325,72,10151,66,463,8826,15237,45269,29% / 71%,88,57,39,17,Fiona Cumming; Jan Craig,Community_Dyce; Community_MiddletonPark,1st Ellon Girls Brigade; Aberdeen Action On Disability,Cairncry Community Centre Foodbank; Clan Cancer Support,Kinellar Community Association; Aberdeen Foyer
Aberdeen South and North Kincardine,Audrey Nicoll,1,Bridge of Dee,,Bridge of Dee,Bridge of Dee,,,31.04,24800,43800,22,4463,1770,307,19,22719,34,,21,108,6030,6163,13109,35% / 65%,79,51,39,16,Margaux Lashbrook,Community_BridgeofDee,Aberdeen Independent Multiple Sclerosis Scio,Culters & District Mens Shed,Ditch Debt With Dignity
Aberdeenshire West,Alexander Burnett,2,Huntly; Portlethen,,Huntly; Portlethen,Huntly; Portlethen,,,31.04,22000,42800,25,3607,2026,469,23,42368,70,30572,26,85,5639,11403,47049,27% / 73%,88,44,28,7,Michelle Gunn,Community_Huntly,,,
Almond Valley,Angela Constance,1,Livingston,Livingston,,Livingston,,,31.04,24500,45100,20,7130,2955,398,18,18405,34,37591,39,105,5452,6386,58795,44% / 56%,79,53,41,14,Abigale Lorraine,Community_Livingston,Livingston Athletic Club,The Rock Trust,The Rosebery Centre For Dementia Care
Angus North and Mearns,Mairi Gougeon,2,Arbroath; Forfar,,Arbroath; Forfar,Forfar,,,31.04,17700,36200,21,,,249,23,13922,25,25512,,,3481,,64553,14% / 86%,83,45,20,2,Shiona Mitchell,Community_Forfar,Forfar Open Garden,Angus Up-Cycling Project,Forfar And District Mens Shed
Ayr,Siobhian Brown,1,Ayr,,Ayr,Ayr,,,31.04,16600,30300,22,5768,1436,295,13,22413,34,32951,48,207,6828,7519,32083,39% / 61%,81,50,40,10,Karen Fulton,Community_Ayr,Ayr Boswell Football Club,Girlguiding Ayrshire South Campsite,1st Alloway Rainbows
Banffshire and Buchan Coast,Karen Adam,2,Fraserburgh; Peterhead,,Fraserburgh; Peterhead,Fraserburgh; Peterhead,,,31.04,16700,34700,26,,,262,23,18500,39,,126,76,5432,12124,44990,29% / 71%,89,50,20,6,Rebecca Ritchie; Carolyn Taylor,Community_Peterhead; Community_Fraserburgh,Dales Park School Breakfast Club; Invercairn Boys Football Club,Peterhead Sea Cadets; Fraserburgh Rugby Football Club,Stuartfield Pre-School Group; Shirleys Space
"Caithness, Sutherland and Ross",Maree Todd,1,Tain,,Tain,Tain,,,31.04,5900,12600,21,4790,1310,148,13,13921,25,11895,29,22,6140,6516,21605,29% / 71%,81,34,2,1,Sean Macivor,Community_Tain,Invergordon Naval Museum And Heritage Centre,South Lodge Primary School,Fearn Amenities Association
"Carrick, Cumnock and Doon Valley",Elena Whitham,2,Girvan; Cumnock,,,,,,31.04,10400,25400,21,,,146,3,2000,2,,,,,,5679,19% / 81%,74,40,32,4,,,,,
Clackmannanshire and Dunblane,Keith Brown,1,Alloa,,Alloa,Alloa,,,31.04,9900,20200,22,3145,1842,186,14,10256,22,603,6,4,5620,5712,12010,28% / 72%,77,38,24,2,Kiera Lang,Community_Alloa,Wee County Veterans And Supporters Group,Tilly Ladies Appeal,Alloa Saints Football Club
Clydebank and Milngavie,Marie McNair,1,Clydebank,,,Clydebank,,,31.04,19100,40100,23,,,258,11,26243,45,7398,50,69,6643,7032,46507,35% / 65%,82,56,46,21,Maryanne Scott,Community_Clydebank,The Big Disability Group,St Marys Primary School Duntocher,Clydebank Asbestos Group
