Local authority,Uptake
Barking and Dagenham,64.8
Barnet,66.4
Barnsley,68.3
Bath and North East Somerset,71.5
Bedford,67.9
Bexley,60.9
Birmingham,65.2
Blackburn with Darwen,71.1
Blackpool,71.4
Bolton,73.7
"Bournemouth, Christchurch and Poole",69.9
Bracknell Forest,73.6
Bradford,74
Brent,69.9
Brighton and Hove,62.4
"Bristol, City of",68.9
Bromley,63.5
Buckinghamshire,70.5
Bury,62.3
Calderdale,75.3
Cambridgeshire,74.3
Camden,62.4
Central Bedfordshire,69.1
Cheshire East,72.5
Cheshire West and Chester,73.2
City of London,67.2
Cornwall,65.3
County Durham,71.6
Coventry,69.7
Croydon,63.4
Cumbria,69.8
Darlington,73.9
Derby,72.6
Derbyshire,71.6
Devon,70.2
Doncaster,68.2
Dorset,69.5
Dudley,69.1
Ealing,63.3
East Riding of Yorkshire,66.4
East Sussex,67.7
Enfield,65.8
Essex,64.8
Gateshead,71.4
Gloucestershire,70.6
Greenwich,62.7
Hackney,59.8
Halton,67.2
Hammersmith and Fulham,52.3
Hampshire,72.1
Haringey,58.5
Harrow,68.2
Hartlepool,62.2
Havering,67.9
"Herefordshire, County of",67.3
Hertfordshire,69.7
Hillingdon,68.6
Hounslow,65.8
Isle of Wight,70.3
Isles of Scilly,78.6
Islington,62.9
Kensington and Chelsea,47.1
Kent,67
"Kingston upon Hull, City of",69.1
Kingston upon Thames,65.6
Kirklees,75.1
Knowsley,76.8
Lambeth,60.2
Lancashire,69.1
Leeds,73
Leicester,65.4
Leicestershire,71.3
Lewisham,72.2
Lincolnshire,70.6
Liverpool,69.2
Luton,66
Manchester,65.8
Medway,65.6
Merton,64
Middlesbrough,68.1
Milton Keynes,67.4
Newcastle upon Tyne,72.8
Newham,67.8
Norfolk,70
North East Lincolnshire,63
North Lincolnshire,63
North Somerset,67.6
North Tyneside,68.9
North Yorkshire,73.1
Northamptonshire,65.6
Northumberland,71.7
Nottingham,69.4
Nottinghamshire,73.6
Oldham,69.9
Oxfordshire,72.1
Peterborough,69.5
Plymouth,65.6
Portsmouth,75.9
Reading,70.7
Redbridge,65.3
Redcar and Cleveland,70.3
Richmond upon Thames,62.5
Rochdale,68
Rotherham,71.9
Rutland,70.2
Salford,65.3
Sandwell,64.4
Sefton,71.8
Sheffield,71.3
Shropshire,70.9
Slough,66
Solihull,70.9
Somerset,66.3
South Gloucestershire,72.8
South Tyneside,72.6
Southampton,69
Southend-on-Sea,57
Southwark,56
St. Helens,72.3
Staffordshire,66.9
Stockport,72.4
Stockton-on-Tees,71.6
Stoke-on-Trent,63.9
Suffolk,73.1
Sunderland,69.6
Surrey,67.1
Sutton,71.2
Swindon,67.2
Tameside,67.1
Telford and Wrekin,64.3
Thurrock,60.5
Torbay,68.2
Tower Hamlets,69.1
Trafford,74.7
Wakefield,74.4
Walsall,64.5
Waltham Forest,60.6
Wandsworth,62.4
Warrington,68.5
Warwickshire,69.5
West Berkshire,75.1
West Sussex,69.8
Westminster,51.4
Wigan,68.4
Wiltshire,71.4
Windsor and Maidenhead,71.9
Wirral,71.9
Wokingham,72.5
Wolverhampton,64.1
Worcestershire,72.3
York,70
