Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
AL9,Yes,69,0,42,0,7,0,29,0,0
B11,Yes,216,0,181,0,19,0,5,0,0
B13,Yes,705,124,812,122,22,0,5,0,0
B15,Yes,85,25,193,12,18,0,6,0,0
B17,Yes,48,0,45,0,10,0,10,0,0
B20,Yes,161,0,143,0,13,0,8,0,0
B21,Yes,53,0,0,0,16,0,6,0,0
B23,Yes,199,0,172,0,22,0,9,0,0
B25,Yes,78,0,0,0,3,0,33,0,0
B32,Yes,131,0,330,0,15,0,20,0,0
B33,Yes,655,42,283,0,16,0,6,0,0
B34,Yes,276,0,90,0,7,0,14,0,0
B38,Yes,53,0,100,0,8,0,13,0,0
B42,Yes,0,0,30,0,9,0,11,0,0
B44,Yes,129,0,92,0,18,0,11,0,0
B47,Yes,47,0,30,0,3,0,33,0,0
B61,Yes,381,0,308,0,12,0,17,0,0
B62,Yes,145,0,109,0,7,0,43,0,0
B63,Yes,366,0,155,77,13,0,15,0,0
B64,Yes,54,0,32,0,6,0,33,0,0
B75,Yes,149,0,0,0,11,0,36,0,0
B8,Yes,417,0,283,0,18,0,11,0,0
B9,Yes,439,0,104,0,11,0,18,0,0
B91,Yes,757,88,842,26,17,0,47,0,0
B98,Yes,77,0,103,0,22,0,9,0,0
BA13,Yes,81,0,29,0,9,0,22,0,0
BB18,Yes,400,0,364,11,9,0,11,0,0
BB9,Yes,924,0,752,0,27,0,11,0,0
BD10,Yes,12,0,10,0,11,0,9,0,0
BD13,Yes,96,0,218,0,11,0,27,0,0
BD18,Yes,18,0,33,0,11,0,18,0,0
BD2,Yes,124,0,124,0,12,0,8,0,0
BD3,Yes,492,0,368,0,17,0,12,0,0
BH10,Yes,46,0,9,3,6,0,33,0,0
BH11,Yes,24,0,33,0,7,0,29,0,0
BH18,Yes,35,15,58,3,4,0,25,0,0
BH5,Yes,55,0,52,0,3,0,67,0,0
BN25,Yes,90,10,56,7,8,0,25,0,0
BN3,Yes,292,0,622,0,21,0,19,0,0
BS10,Yes,66,0,9,0,11,0,9,0,0
BS3,Yes,151,0,206,0,12,0,8,0,0
BS5,Yes,49,0,102,0,17,0,6,0,0
CA27,Yes,21,0,16,0,2,0,50,0,0
CB7,Yes,331,0,289,0,9,0,56,0,0
CH4,Yes,82,0,65,0,11,0,9,0,0
CM0,Yes,94,0,58,0,6,0,33,0,0
CM21,Yes,95,0,22,0,5,0,20,0,0
CM24,Yes,54,0,0,0,4,0,50,0,0
CM5,Yes,39,0,11,0,6,0,50,0,0
CO13,Yes,66,0,54,0,5,0,40,0,0
CO2,Yes,147,0,96,0,17,0,29,0,0
CO8,Yes,27,0,0,0,1,0,100,0,0
CV11,Yes,204,21,0,28,15,0,13,0,0
CV12,Yes,16,0,0,0,12,0,8,0,0
CV33,Yes,161,0,0,0,4,0,50,0,0
CV7,Yes,492,0,450,0,16,0,31,0,0
DH5,Yes,102,0,83,0,12,0,33,0,0
DH8,Yes,53,0,0,0,20,0,10,0,0
