Row Labels,L1 and L2 places attended - 2019/20,L3 places attended - 2019/20,Levels 1 and 2 Places Attended (2018/19),Level 3 Places Attended (2018/19)
GL7,251,43,272,55
BB5,212,74,109,0
HD8,356,0,0,0
PR7,721,62,72,0
WF17,374,6,0,0
DE7,310,50,0,0
LU7,1027,133,26,0
BB12,189,35,530,0
CB23,548,18,648,26
DE55,352,0,0,0
EX16,447,17,288,0
NG16,237,0,162,4
PR4,564,36,351,0
ST5,675,165,741,102
TQ12,429,190,432,212
BL1,413,6,464,0
GL2,424,35,381,106
PE28,449,0,584,0
PR2,580,30,638,0
PR6,454,0,24,0
CM3,564,0,350,0
DE13,416,27,437,106
NN11,271,0,239,0
PE19,477,15,553,9
PL15,86,44,0,0
PL5,406,44,0,0
PR1,518,36,410,0
PR5,444,36,0,0
MK45,333,0,0,0
NE3,367,11,627,9
NN6,410,0,382,0
NN7,361,0,508,0
PL14,55,0,0,0
SN15,161,0,116,0
SN8,167,0,202,0
WA7,260,18,277,6
BA14,119,0,221,0
BL9,199,0,174,0
CB1,514,36,621,137
DE56,229,0,0,0
EX5,320,0,294,4
GL54,121,16,108,36
HD4,195,40,0,0
LE15,233,69,255,74
NN14,400,0,198,0
PE2,181,0,225,8
S41,443,87,0,0
SP4,169,0,151,0
ST17,854,76,923,92
TN22,216,0,288,0
BB10,353,64,536,22
BB4,804,40,929,18
BB7,202,0,0,0
BL3,325,6,307,0
BS16,667,15,549,0
CM2,308,24,292,0
EX39,282,18,305,0
HD5,430,0,0,0
HX3,384,0,372,0
MK42,239,11,198,17
PE7,649,0,478,0
SO51,293,4,0,0
TN23,426,95,0,0
AL3,313,33,275,16
BH23,440,116,228,53
BL8,309,0,120,0
CB11,205,58,33,0
CB22,327,0,290,0
CM1,424,0,248,11
EX14,226,30,187,0
EX2,173,48,272,100
FY4,242,14,175,0
GL4,291,64,290,15
GL5,192,0,181,0
LA14,328,0,339,0
LE4,689,0,730,0
LN6,500,34,531,0
MK44,64,0,135,0
NG5,307,2,121,0
NG9,499,15,71,0
NN12,233,0,240,0
