Local authority,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Adur,0,0,0,,,0,,,0,,0,
Allerdale,,,,,,0,,,,8,,0
Amber Valley,,,,6,6,,,,6,,,
Arun,25,10,26,18,13,15,19,17,18,28,15,17
Ashfield,,,,12,,8,9,5,5,5,,6
Ashford,,7,,,5,5,8,11,20,25,0,0
Babergh,,0,,,0,,7,,0,,6,
Barking and Dagenham,,13,8,0,,20,5,0,9,14,10,
Barnet,7,14,20,24,14,21,22,21,24,24,6,13
Barnsley,,,5,0,,9,,0,17,,10,7
Barrow in Furness,,5,,,0,,,0,0,,0,0
Basildon,9,9,6,,0,13,17,24,12,5,,
Basingstoke and Deane,,,8,5,8,20,26,15,8,5,0,
Bassetlaw,,,,17,18,23,10,13,16,13,,17
Bath and North East Somerset,9,,22,33,27,22,25,34,20,17,13,14
Bedford,12,17,19,26,25,51,59,76,51,30,6,
Bexley,8,,5,,7,6,11,16,5,9,16,7
Birmingham,9,7,8,14,20,36,55,57,91,52,17,31
Blaby,0,0,,0,0,0,0,0,,0,0,
Blackburn with Darwen,,,,0,0,,,,15,21,18,11
Blackpool,,5,,,,5,11,13,12,15,10,14
Bolsover,,,,,,,7,5,,,,0
Bolton,,,,,,8,8,17,21,11,8,10
Boston,9,9,7,5,,7,5,15,22,19,8,6
"Bournemouth, Christchurch and Poole",21,26,35,24,40,65,60,66,45,72,25,29
Bracknell Forest,,,,,,5,10,6,19,22,,
Bradford,23,30,26,12,10,16,10,15,24,13,5,18
Braintree,,8,,,,,,0,5,5,0,5
Breckland,8,5,7,,6,,,,5,16,8,8
Brent,,7,11,6,11,55,24,29,30,25,12,17
Brentwood,,0,,0,0,0,,0,,0,0,0
Brighton and Hove,14,37,43,50,41,78,144,178,64,88,27,37
"Bristol, City of",8,8,9,41,41,97,74,86,82,98,50,68
Broadland,0,,,,,,0,,,,,
Bromley,,7,,5,,,,5,6,8,,
Bromsgrove,7,,,,,,,,0,,,0
Broxbourne,,10,,6,,0,,,0,,,
Broxtowe,,,,0,0,0,,,,,,
Buckinghamshire,25,24,7,29,29,27,44,36,39,36,5,
Burnley,,,,,,,,,,8,,6
Bury,,9,,10,0,9,,10,,,7,
Calderdale,,,,5,,,6,6,5,5,6,
Cambridge,6,12,20,9,10,18,40,26,27,33,16,14
Camden,11,7,5,,5,15,17,127,141,65,42,97
Cannock Chase,0,,,,5,,,5,,,8,
Canterbury,,22,20,22,38,47,50,36,33,39,24,18
Carlisle,,,,6,0,0,,,,5,,0
Castle Point,,,,,0,0,0,0,0,0,,
Central Bedfordshire,5,5,11,13,18,10,19,13,17,13,6,
Charnwood,,,,,,,,0,,,5,
Chelmsford,10,9,8,11,10,12,14,17,14,15,9,13
Cheltenham,,,6,,0,,11,9,,9,6,8
Cherwell,0,0,,14,14,21,17,9,11,11,10,6
"Cheshire, East",0,,,,12,0,,21,10,8,6,
"Cheshire, West and Chester",,,,0,5,5,7,18,17,14,,8
Chesterfield,6,,,9,8,0,10,12,18,13,9,5
Chichester,15,15,26,19,14,17,19,10,16,31,,
Chorley,,0,0,,0,,0,0,,,,5
City of London,20,18,21,35,50,48,50,36,67,41,23,20
Colchester,10,24,25,35,,9,20,20,13,10,,
Copeland,,,0,0,,,0,,0,,0,0
Cornwall,65,80,50,77,40,65,99,68,53,24,29,28
Cotswold,7,5,,,,,6,,5,7,5,
County Durham,,,11,,13,,12,13,12,,11,11
Coventry,5,8,12,26,6,9,13,8,25,23,8,12
Craven,,,0,,,,,,,,,
Crawley,16,11,17,17,21,33,15,17,28,33,11,8
Croydon,,18,22,25,30,51,68,31,15,6,15,11
Dacorum,7,,7,9,7,,6,7,14,10,7,5
Darlington,,0,,,,,5,,,0,,
Dartford,0,15,16,12,19,10,9,9,12,13,,6
Derby,,21,24,47,26,10,21,37,26,14,6,11
Derbyshire Dales,0,,,,,,,,,,,
Doncaster,5,,,9,9,9,13,8,27,24,13,20
Dorset,10,13,13,10,8,20,16,25,35,18,16,13
Dover,8,14,5,5,,9,9,13,20,9,7,5
Dudley,,,,6,6,,,11,5,,,
Ealing,5,15,11,15,17,31,27,62,33,20,25,23
East Cambridgeshire,,,,,,,,,,,0,
East Devon,,8,5,,6,8,5,6,5,,13,8
East Hampshire,,,,,,,,,,,,
East Hertfordshire,7,,,,5,5,9,,9,15,6,5
East Lindsey,7,10,,,,6,7,9,18,8,,
East Riding of Yorkshire,11,15,11,8,9,16,13,10,8,19,11,7
East Staffordshire,,,7,,,7,6,16,11,5,0,0
East Suffolk,6,7,10,8,5,10,26,11,22,13,10,15
Eastbourne,6,,11,6,11,10,19,41,6,16,14,10
Eastleigh,,,,,,0,0,0,0,,0,
Eden,0,0,,0,0,,0,,0,0,,0
Elmbridge,,,,,,7,,8,11,9,5,5
Enfield,5,,,5,8,7,6,9,78,24,19,21
Epping Forest,0,0,0,,,,,,,,,
Epsom and Ewell,,,,,7,6,,,6,5,,
Erewash,,,,,5,,,,9,11,6,0
Exeter,21,29,30,23,34,27,41,35,17,31,37,14
Fareham,6,,,8,8,6,18,10,19,10,,7
Fenland,11,7,8,10,7,6,7,9,23,11,5,9
Folkestone and Hythe,9,12,5,,,13,9,16,18,10,12,8
Forest of Dean,,,,0,0,,0,,,,0,0
Fylde,6,0,,,6,,5,,,7,6,
Gateshead,,,10,0,0,,,8,10,0,0,
Gedling,,,0,0,0,0,0,0,0,0,0,0
Gloucester,14,8,11,11,17,13,23,15,6,17,11,7
Gosport,,,,6,,,6,9,0,,,
Gravesham,,8,10,8,,6,12,9,21,13,11,5
Great Yarmouth,,10,6,7,12,9,7,,10,21,18,9
Greenwich,,6,5,,16,14,8,8,7,16,11,9
Guildford,6,,10,8,10,14,13,13,16,16,10,8
Hackney,8,14,7,12,12,20,17,18,23,14,18,11
Halton,0,0,0,,,,,,5,8,,0
Hambleton,,0,,0,0,0,0,0,0,0,0,
Hammersmith and Fulham,15,8,8,10,8,5,6,5,12,,,
Harborough,0,0,0,0,0,,,0,0,,,
Haringey,8,8,6,5,,22,29,43,32,33,8,10
Harlow,7,9,9,8,19,15,20,24,9,,,0
Harrogate,14,5,8,,6,7,8,6,7,6,6,
Harrow,,,,,,6,10,10,13,10,6,
Hart,0,,,,,,0,,0,0,,
Hartlepool,,0,,0,,,,,,,8,
Hastings,,5,,15,12,16,26,40,48,21,16,23
Havant,5,,,0,,10,8,10,5,0,5,
Havering,,,,,8,10,24,22,,8,,
"Herefordshire, County of",42,14,26,23,12,12,21,11,18,29,16,12
Hertsmere,0,0,,,,10,7,6,,7,11,
High Peak,,,,,,,,,,,,
Hillingdon,9,15,20,38,45,36,28,36,70,106,11,9
Hinckley and Bosworth,0,,,,,,,0,,,,5
Horsham,6,,,5,,,6,7,11,11,5,7
Hounslow,8,45,12,17,32,27,34,22,18,8,6,
Huntingdonshire,,,,,,,,,5,,8,7
Hyndburn,,,,,,,,6,7,6,,
Ipswich,13,7,7,5,8,16,27,21,11,7,9,
Isle of Wight,,9,,9,,,16,9,24,11,,5
Isles of Scilly,0,0,0,0,0,0,,0,0,0,0,0
Islington,,5,10,19,21,9,11,27,43,51,20,13
Kensington and Chelsea,32,19,27,23,34,24,14,20,20,19,21,11
King's Lynn and West Norfolk,8,5,6,,,5,42,9,5,,11,
"Kingston upon Hull, City of",7,15,10,13,10,23,15,28,26,18,19,11
Kingston upon Thames,5,5,6,11,11,14,23,27,23,20,14,28
Kirklees,5,11,9,,,6,5,8,13,16,,5
Knowsley,,,,,0,,,0,0,0,0,0
Lambeth,13,18,21,21,18,27,17,34,50,43,20,29
Lancaster,,,,5,6,8,8,,,6,,
Leeds,6,11,11,13,15,13,20,28,33,40,35,25
Leicester,19,50,11,11,19,22,36,31,31,22,12,8
Lewes,,,0,0,0,9,,,9,,8,11
Lewisham,13,18,43,16,11,9,16,22,5,16,12,7
Lichfield,,0,,,,,,,5,5,,
Lincoln,8,9,5,11,8,14,12,28,26,27,8,14
Liverpool,,9,6,6,8,15,21,33,15,17,10,20
Luton,,,25,22,33,53,76,87,47,43,15,7
Maidstone,27,19,19,14,25,38,35,41,9,,,
Maldon,,,0,0,,,,,0,,,
Malvern Hills,,,6,,,,,,,7,,6
Manchester,7,15,27,24,43,70,78,94,123,91,68,43
Mansfield,7,7,9,5,8,8,27,15,17,22,7,10
Medway,7,12,17,6,,14,14,44,19,12,,11
Melton,0,0,,,0,0,0,0,0,0,,
Mendip,16,21,19,16,20,20,16,19,14,13,17,10
Merton,6,,9,9,9,6,11,5,23,15,13,5
Mid Devon,0,5,,,,7,,,,,,5
Mid Suffolk,0,0,,0,0,,,,0,,,
Mid Sussex,,5,6,6,11,6,7,8,10,8,,6
Middlesbrough,20,5,7,6,5,5,,6,11,9,8,
Milton Keynes,6,8,6,8,14,29,38,48,41,35,18,18
Mole Valley,0,0,,,,,,0,,8,0,
New Forest,,,,,9,,,7,8,22,17,6
Newark and Sherwood,,5,5,,5,10,6,,5,,6,7
NewcastleunderLyme,,,,,,7,0,5,,6,9,7
Newcastle upon Tyne,,6,9,6,7,8,5,10,15,21,13,9
Newham,7,10,55,22,16,28,41,76,79,64,6,17
North Devon,12,16,11,7,11,28,16,20,12,24,12,7
North East Derbyshire,0,,5,0,,,,,,0,0,0
North East Lincolnshire,,,9,6,7,6,13,22,13,11,7,10
North Hertfordshire,8,,,0,,5,,5,10,7,,
North Kesteven,0,0,0,0,0,0,,,,,,0
North Lincolnshire,7,16,15,9,6,6,11,14,9,10,9,6
North Norfolk,,0,,5,,,,5,9,10,7,
North Northamptonshire,10,14,16,31,23,25,18,36,62,36,22,12
North Somerset,,,,,7,6,8,7,11,6,10,19
North Tyneside,8,8,,0,0,,,,,8,,
North Warwickshire,,,,,0,5,6,0,,0,0,0
North West Leicestershire,,,,0,0,0,,0,,,,
Northumberland,6,5,,,6,5,0,,0,15,6,
Norwich,,6,6,5,13,13,34,30,21,18,21,10
Nottingham,,10,7,9,9,14,35,43,34,30,31,23
Nuneaton and Bedworth,,,,,6,,,5,22,8,6,
Oadby and Wigston,,0,,,,,,,,,0,
Oldham,,0,,,0,,,,,,,
Oxford,11,8,12,19,26,39,33,61,45,43,19,24
Pendle,,,,,,0,,0,0,0,0,0
Peterborough,21,17,12,11,17,15,21,31,29,37,9,36
Plymouth,9,18,10,9,13,12,20,26,23,19,16,23
Portsmouth,5,11,11,7,8,15,37,42,19,26,29,24
Preston,,8,,5,8,8,17,19,23,14,13,6
Reading,6,5,,8,12,16,22,31,25,28,19,22
Redbridge,20,17,14,17,19,43,60,65,26,16,24,15
Redcar and Cleveland,,,,,0,,0,0,0,0,,0
Redditch,,,,,,0,5,,7,,11,
Reigate and Banstead,,5,6,6,7,,,,,,,
Ribble Valley,0,0,,,,,,0,0,0,,0
Richmond upon Thames,6,8,8,15,10,11,19,19,14,14,7,
Richmondshire,0,0,,0,0,0,0,0,,0,,0
Rochdale,5,5,8,6,17,,12,8,,5,8,6
Rochford,0,0,,,0,0,0,11,,,,
Rossendale,,,,,,0,,0,0,0,0,
Rother,6,5,5,5,0,5,,,8,,,
Rotherham,0,,5,5,,,6,,5,10,6,
Rugby,12,,19,6,,19,0,6,32,12,5,
Runnymede,,8,6,,13,,5,,,,,
Rushcliffe,,5,0,,0,,0,9,,,,
Rushmoor,0,,,7,11,15,9,5,8,6,9,
Rutland,,,0,0,0,0,,,0,,,
Ryedale,,,0,0,0,,,,,,,
Salford,,11,10,7,14,16,26,49,26,10,8,8
Sandwell,,15,14,,,,11,10,14,10,,
Scarborough,,5,,7,5,5,8,,8,10,11,15
Sedgemoor,,9,5,,,6,,7,,25,9,11
Sefton,,6,7,9,11,,,9,11,,,0
Selby,,,,,0,0,0,0,,5,,0
Sevenoaks,0,,,,0,6,,,7,,6,
Sheffield,8,11,11,17,10,11,15,20,26,29,24,18
Shropshire,10,13,10,12,10,7,13,13,21,16,23,21
