Constistuency,Female,Male
Aberdeen Central,80.76,75.75
Aberdeen Donside,80.75,76.93
Aberdeen South and North Kincardine,82.58,78.41
Aberdeenshire East,83.16,80.00
Aberdeenshire West,83.95,80.75
Airdrie and Shotts,79.69,74.79
Almond Valley,80.65,77.59
Angus North and Mearns,82.34,78.50
Angus South,81.55,78.57
Argyll and Bute,81.59,77.18
Ayr,81.05,77.77
Banffshire and Buchan Coast,81.03,76.96
"Caithness, Sutherland and Ross",82.29,77.94
"Carrick, Cumnock and Doon Valley",80.30,75.98
Clackmannanshire and Dunblane,81.44,77.96
Clydebank and Milngavie,81.25,77.00
Clydesdale,81.24,78.60
Coatbridge and Chryston,79.45,75.52
Cowdenbeath,79.75,77.36
Cumbernauld and Kilsyth,81.09,76.99
Cunninghame North,80.77,77.04
Cunninghame South,78.81,75.56
Dumbarton,80.61,77.05
Dumfriesshire,81.89,78.08
Dundee City East,80.33,74.24
Dundee City West,78.12,73.66
Dunfermline,82.11,78.26
East Kilbride,81.55,77.36
East Lothian,82.55,78.81
Eastwood,84.29,82.15
Edinburgh Central,83.34,78.48
Edinburgh Eastern,79.98,75.14
Edinburgh Northern and Leith,80.12,76.58
Edinburgh Pentlands,83.19,79.14
Edinburgh Southern,83.85,79.67
Edinburgh Western,84.12,80.00
Na h-Eileanan an Iar,82.75,77.44
"Ettrick, Roxburgh and Berwickshire",81.87,78.72
Falkirk East,80.94,78.20
Falkirk West,79.67,76.07
Galloway and West Dumfries,81.62,77.74
Glasgow Anniesland,79.01,74.26
Glasgow Cathcart,81.25,75.69
Glasgow Kelvin,79.97,74.34
Glasgow Maryhill and Springburn,77.24,71.51
Glasgow Pollok,77.81,71.95
Glasgow Shettleston,78.60,72.98
Glasgow Southside,78.21,74.04
Greenock and Inverclyde,79.22,74.65
"Hamilton, Larkhall and Stonehouse",79.74,75.48
Inverness and Nairn,81.96,77.27
Kilmarnock and Irvine Valley,80.41,76.22
Kirkcaldy,79.85,74.89
Linlithgow,80.91,77.97
Mid Fife and Glenrothes,80.49,76.29
Midlothian North and Musselburgh,81.22,77.80
"Midlothian South, Tweeddale and Lauderdale",82.73,78.87
Moray,81.84,78.71
Motherwell and Wishaw,79.11,74.51
North East Fife,83.05,79.63
Orkney Islands,82.07,79.09
Paisley,79.29,75.04
Perthshire North,82.48,77.80
Perthshire South and Kinross-shire,83.13,80.51
Renfrewshire North and West,81.46,77.25
Renfrewshire South,81.45,76.23
Rutherglen,79.49,75.47
Shetland Islands,83.37,79.48
"Skye, Lochaber and Badenoch",82.90,78.20
Stirling,82.57,78.09
Uddingston and Bellshill,79.78,75.53
Glasgow Provan,77.81,72.18
Strathkelvin and Bearsden,82.75,80.03
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
