Local authority,Uptake
Barking and Dagenham,47.9
Barnet,50.4
Barnsley,63.3
Bath and North East Somerset,65
Bedford,60.5
Bexley,55.4
Birmingham,51
Blackburn with Darwen,52.7
Blackpool,54.6
Bolton,56.5
Bournemouth Christchurch and Poole,59.2
Bracknell Forest,62.9
Bradford,55.2
Brent,49.2
Brighton and Hove,56.7
Bristol City of,58.5
Bromley,57.3
Buckinghamshire,60.6
Bury,57.6
Calderdale,60.6
Cambridgeshire,61.8
Camden,51.4
Central Bedfordshire,64.4
Cheshire East,64.2
Cheshire West and Chester,61.8
City of London,46.2
Cornwall,55.7
County Durham,65.7
Coventry,56.8
Croydon,49.8
Cumbria,66.8
Darlington,65.3
Derby,58.6
Derbyshire,65.9
Devon,63.8
Doncaster,59.9
Dorset,67.2
Dudley,59.2
Ealing,51.4
East Riding of Yorkshire,63.2
East Sussex,60.7
Enfield,46.8
Essex,57.4
Gateshead,63.7
Gloucestershire,64.4
Greenwich,51.3
Hackney,46.2
Halton,56.6
Hammersmith and Fulham,43.9
Hampshire,67.1
Haringey,45.6
Harrow,52.2
Hartlepool,59.6
Havering,51.7
Herefordshire County of,62.2
Hertfordshire,61.8
Hillingdon,56
Hounslow,53.2
Isle of Wight,60.7
Isles of Scilly,55.7
Islington,50.5
Kensington and Chelsea,49.7
Kent,59.3
Kingston Upon Hull City of,57.1
Kingston upon Thames,59.2
Kirklees,59.3
Knowsley,54.6
Lambeth,48.5
Lancashire,58.7
Leeds,61.9
Leicester,52.5
Leicestershire,62.9
Lewisham,48.9
Lincolnshire,63
Liverpool,52.1
Luton,50.4
Manchester,53.6
Medway,57
Merton,54.3
Middlesbrough,58.9
Milton Keynes,62.8
Newcastle upon Tyne,62.6
Newham,48.4
Norfolk,62.1
North East Lincolnshire,60.5
North Lincolnshire,60.4
North Somerset,65.9
North Tyneside,63.9
North Yorkshire,67.7
Northamptonshire,58.6
Northumberland,67.2
Nottingham,56.3
Nottinghamshire,64.2
Oldham,56.6
Oxfordshire,64.6
Peterborough,51.5
Plymouth,59.5
Portsmouth,63.5
Reading,59.7
Redbridge,54.1
Redcar and Cleveland,63.8
Richmond Upon Thames,52.9
Rochdale,60.5
Rotherham,60.4
Rutland,62.9
Salford,56.2
Sandwell,49.8
Sefton,59
Sheffield,61.8
Shropshire,67.6
Slough,53.3
Solihull,61.6
Somerset,62.2
South Gloucestershire,62.7
South Tyneside,61.9
Southampton,59.8
Southend-on-Sea,53.5
Southwark,51.6
St. Helens,58
Staffordshire,60.1
Stockport,70.9
Stockton-on-Tees,62
Stoke-on-Trent,57.6
Suffolk,63.1
Sunderland,59.7
Surrey,61.5
Sutton,59.2
Swindon,64.2
Tameside,57.7
Telford and Wrekin,62
Thurrock,51.4
Torbay,59.5
Tower Hamlets,52.4
Trafford,62.7
Wakefield,61.4
Walsall,57.5
Waltham Forest,47.4
Wandsworth,53.2
Warrington,57.6
Warwickshire,63.6
West Berkshire,67.2
West Sussex,64.1
Westminster,47.7
Wigan,58.9
Wiltshire,64.4
Windsor and Maidenhead,62.8
Wirral,60.6
Wokingham,60.2
Wolverhampton,52
Worcestershire,63.9
York,62.6
