Local authority,Uptake
Stockport,70.9
North Yorkshire,67.7
Shropshire,67.6
Dorset,67.2
West Berkshire,67.2
Northumberland,67.2
Hampshire,67.1
Cumbria,66.8
Derbyshire,65.9
North Somerset,65.9
County Durham,65.7
Darlington,65.3
Bath And North East Somerset,65
Oxfordshire,64.6
Gloucestershire,64.4
Central Bedfordshire,64.4
Wiltshire,64.4
Nottinghamshire,64.2
Cheshire East,64.2
Swindon,64.2
West Sussex,64.1
North Tyneside,63.9
Worcestershire,63.9
Redcar And Cleveland,63.8
Devon,63.8
Gateshead,63.7
Warwickshire,63.6
Portsmouth,63.5
Barnsley,63.3
East Riding Of Yorkshire,63.2
Suffolk,63.1
Lincolnshire,63
Bracknell Forest,62.9
Leicestershire and Rutland,62.9
Milton Keynes,62.8
Windsor And Maidenhead,62.8
South Gloucestershire,62.7
Trafford,62.7
Newcastle Upon Tyne,62.6
York,62.6
Somerset,62.2
"Herefordshire, County Of",62.2
Norfolk,62.1
Stockton-On-Tees,62
Telford And Wrekin,62
South Tyneside,61.9
Leeds,61.9
Cambridgeshire,61.8
Sheffield,61.8
Hertfordshire,61.8
Cheshire West And Chester,61.8
Solihull,61.6
Surrey,61.5
Wakefield,61.4
East Sussex,60.7
Isle Of Wight,60.7
Wirral,60.6
Buckinghamshire,60.6
Calderdale,60.6
Bedford,60.5
North East Lincolnshire,60.5
Rochdale,60.5
Rotherham,60.4
North Lincolnshire,60.4
Wokingham,60.2
Staffordshire,60.1
Doncaster,59.9
Southampton,59.8
Reading,59.7
Sunderland,59.7
Hartlepool,59.6
Plymouth,59.5
Torbay,59.5
Kirklees,59.3
Kent,59.3
Kingston Upon Thames,59.2
Dudley,59.2
Sutton,59.2
"Bournemouth, Poole And Christchurch",59.2
Sefton,59
Middlesbrough,58.9
Wigan,58.9
Lancashire,58.7
Derby,58.6
Northamptonshire,58.6
"Bristol, City Of",58.5
St. Helens,58
Tameside,57.7
Stoke-On-Trent,57.6
Bury,57.6
Warrington,57.6
Walsall,57.5
Essex,57.4
Bromley,57.3
"Kingston Upon Hull, City Of",57.1
Medway,57
Coventry,56.8
Brighton And Hove,56.7
Oldham,56.6
Halton,56.6
Bolton,56.5
Nottingham,56.3
Salford,56.2
Hillingdon,56
Kernow (Cornwall and Isles of Scilly),55.7
Bexley,55.4
Bradford,55.2
Blackpool,54.6
Knowsley,54.6
Merton,54.3
Redbridge,54.1
Manchester,53.6
Southend-On-Sea,53.5
Slough,53.3
Wandsworth,53.2
Hounslow,53.2
Richmond Upon Thames,52.9
Blackburn With Darwen,52.7
Leicester,52.5
Tower Hamlets,52.4
Harrow,52.2
Liverpool,52.1
Wolverhampton,52
Havering,51.7
Southwark,51.6
Peterborough,51.5
Camden,51.4
Ealing,51.4
Thurrock,51.4
Greenwich,51.3
Birmingham,51
Islington,50.5
Luton,50.4
Barnet,50.4
Sandwell,49.8
Croydon,49.8
Kensington And Chelsea,49.7
Brent,49.2
Lewisham,48.9
Lambeth,48.5
Newham,48.4
Barking And Dagenham,47.9
Westminster,47.7
Waltham Forest,47.4
Enfield,46.8
City and Hackney,46.2
Haringey,45.6
Hammersmith And Fulham,43.9
