Local authority,Uptake
Barking and Dagenham,62.7
Barnet,59.3
Barnsley,61.2
Bath and North East Somerset,65.9
Bedford,63.1
Bexley,52
Birmingham,54.1
Blackburn with Darwen,61.6
Blackpool,60
Bolton,61.2
"Bournemouth, Christchurch and Poole",61.1
Bracknell Forest,69.8
Bradford,57.9
Brent,64.1
Brighton and Hove,53.9
"Bristol, City of",60.4
Bromley,58.8
Buckinghamshire,64.9
Bury,49.7
Calderdale,64.6
Cambridgeshire,62.9
Camden,51.7
Central Bedfordshire,66.4
Cheshire East,64.2
Cheshire West and Chester,64.6
Cornwall,58.9
Isles of Scilly,58.9
County Durham,62.4
Coventry,63.3
Croydon,57.3
Cumbria,62.4
Darlington,69.9
Derby,62.4
Derbyshire,62.9
Devon,61.9
Doncaster,55.9
Dorset,61.8
Dudley,62.7
Ealing,63
East Riding of Yorkshire,59.7
East Sussex,61.4
Enfield,61.4
Essex,57.4
Gateshead,61.9
Gloucestershire,63.6
Greenwich,51.8
Hackney,43.8
City of London,43.8
Halton,53
Hammersmith and Fulham,49
Hampshire,64.8
Haringey,57.8
Harrow,62.7
Hartlepool,50.8
Havering,63.5
"Herefordshire, County of",57.4
Hertfordshire,64.8
Hillingdon,64.3
Hounslow,68.1
Isle of Wight,56.9
Islington,55.9
Kensington and Chelsea,40.3
Kent,60.9
"Kingston upon Hull, City of",56.1
Kingston upon Thames,62.9
Kirklees,65.6
Knowsley,62.9
Lambeth,51.3
Lancashire,61.6
Leeds,66.2
Leicester,52.3
Leicestershire,62.8
Lewisham,50.6
Lincolnshire,58.2
Liverpool,58.9
Luton,58.1
Manchester,56.9
Medway,61.7
Merton,55.4
Middlesbrough,60.2
Milton Keynes,65.5
Newcastle upon Tyne,65
Newham,59.8
Norfolk,56.7
North East Lincolnshire,53.7
North Lincolnshire,56.7
North Somerset,65.6
North Tyneside,63.4
North Yorkshire,68.3
Northamptonshire,57.1
Northumberland,65.7
Nottingham,60.1
Nottinghamshire,63.2
Oldham,60.1
Oxfordshire,65
Peterborough,53.4
Plymouth,59.6
Portsmouth,68.6
Reading,57.7
Redbridge,58.6
Redcar and Cleveland,66.9
Richmond upon Thames,61
Rochdale,65.9
Rotherham,58
Rutland,50.6
Salford,46.5
Sandwell,48.9
Sefton,60.4
Sheffield,59.1
Shropshire,63.7
Slough,62.7
Solihull,63.4
Somerset,64.2
South Gloucestershire,66.6
South Tyneside,64.3
Southampton,62.4
Southend-on-Sea,48.6
Southwark,48.4
St. Helens,59.3
Staffordshire,59.9
Stockport,67.8
Stockton-on-Tees,60.9
Stoke-on-Trent,63
Suffolk,66.5
Sunderland,61
Surrey,62.4
Sutton,61.9
Swindon,56.9
Tameside,58.9
Telford and Wrekin,61.8
Thurrock,56.3
Torbay,57.1
Tower Hamlets,50.4
Trafford,60.5
Wakefield,60.2
Walsall,63.2
Waltham Forest,56.9
Wandsworth,55.5
Warrington,59.7
Warwickshire,63.8
West Berkshire,70.2
West Sussex,62.6
Westminster,47.6
Wigan,57.6
Wiltshire,62
Windsor and Maidenhead,65.3
Wirral,63.9
Wokingham,61.1
Wolverhampton,56.9
Worcestershire,66.1
York,54.4
