Node,Total Sales ::: 2011,Total Sales ::: 2012,Total Sales ::: 2013,Total Sales ::: 2014,Total Sales ::: Total Sales - 2015,Total Sales ::: Total Sales - 2016,Total Sales ::: Total Sales - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2195.7,2218.15,2182.36,2095.72,2161.32,2113.01,2131.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2948.3,2943.8,2960.4,3051.4,3092.7,3104.3,3143.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,1403.4,1432.1,1409.8,1401.9,1447.8,1492.1,1543.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,2328.6,2225.1,2155.6,2117.1,2239.2,2275.5,2324.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1026.3,1007.8,1039.9,1112.1,1126.5,1151.2,1137.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,180.3,175.7,177.4,174,170.4,168.4,165.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,730.1,706.7,701.3,673.1,661.7,667.7,665.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,14800.1,14800.6,14899.5,15060.8,15458.5,15534.8,15960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,28753.3,28771.1,28333.2,28331.3,28809.4,28638.2,28434.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1957.2,2057.6,1929.1,1891.9,1897.7,1873.7,1970.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
