CCG,Uptake
NHS Barnsley CCG,68.5
NHS Basildon and Brentwood CCG,64
NHS Bassetlaw CCG,79
NHS Bath and North East Somerset Swindon and Wiltshire CCG,75.4
NHS Bedfordshire Luton and Milton Keynes CCG,64.5
NHS Berkshire West CCG,73.9
NHS Birmingham and Solihull CCG,48.5
NHS Black Country and West Birmingham CCG,56.7
NHS Blackburn with Darwen CCG,61.6
NHS Blackpool CCG,60.6
NHS Bolton CCG,56.8
NHS Bradford District and Craven CCG,70.2
NHS Brighton and Hove CCG,67.7
NHS Bristol North Somerset and South Gloucestershire CCG,72.7
NHS Buckinghamshire CCG,73.2
NHS Bury CCG,67.5
NHS Calderdale CCG,77
NHS Cambridgeshire and Peterborough CCG,64
NHS Cannock Chase CCG,81
NHS Castle Point and Rochford CCG,67
NHS Cheshire CCG,58.4
NHS Chorley and South Ribble CCG,46.1
NHS County Durham CCG,75.1
NHS Coventry and Warwickshire CCG,64.6
NHS Derby and Derbyshire CCG,77.1
NHS Devon CCG,72.9
NHS Doncaster CCG,75.1
NHS Dorset CCG,74.6
NHS East and North Hertfordshire CCG,71
NHS East Lancashire CCG,55.3
NHS East Leicestershire and Rutland CCG,73.9
NHS East Riding of Yorkshire CCG,82.8
NHS East Staffordshire CCG,59.5
NHS East Sussex CCG,68.6
NHS Frimley CCG,61.8
NHS Fylde and Wyre CCG,66.7
NHS Gloucestershire CCG,69.3
NHS Greater Preston CCG,42.6
NHS Halton CCG,68.8
NHS Hampshire Southampton and Isle of Wight CCG,71.1
NHS Herefordshire and Worcestershire CCG,63.5
NHS Herts Valleys CCG,69.3
NHS Heywood Middleton and Rochdale CCG,66
NHS Hull CCG,73.4
NHS Ipswich and East Suffolk CCG,75.1
NHS Kent and Medway CCG,66.9
NHS Kernow CCG,29.9
NHS Kirklees CCG,72.5
NHS Knowsley CCG,73.7
NHS Leeds CCG,73.7
NHS Leicester City CCG,53.4
NHS Lincolnshire CCG,60
NHS Liverpool CCG,62.3
NHS Manchester CCG,58.7
NHS Mid Essex CCG,77.7
NHS Morecambe Bay CCG,77.2
NHS Newcastle Gateshead CCG,74.8
NHS Norfolk and Waveney CCG,77.6
NHS North Central London CCG,35
NHS North Cumbria CCG,72.7
NHS North East Essex CCG,64.9
NHS North East Lincolnshire CCG,73.9
NHS North East London CCG,38.5
NHS North Lincolnshire CCG,64.6
NHS North Staffordshire CCG,71.3
NHS North Tyneside CCG,84.4
NHS North West London CCG,42.7
NHS North Yorkshire CCG,84.4
NHS Northamptonshire CCG,59.4
NHS Northumberland CCG,72.5
NHS Nottingham and Nottinghamshire CCG,70.2
NHS Oldham CCG,52.8
NHS Oxfordshire CCG,74.4
NHS Portsmouth CCG,76.9
NHS Rotherham CCG,62.8
NHS Salford CCG,61.2
NHS Sheffield CCG,73.1
NHS Shropshire Telford and Wrekin CCG,80.5
NHS Somerset CCG,73.2
NHS South East London CCG,53.6
NHS South East Staffordshire and Seisdon Peninsula CCG,61.3
NHS South Sefton CCG,69.6
NHS South Tyneside CCG,76
NHS South West London CCG,54.9
NHS Southend CCG,71
NHS Southport and Formby CCG,89.8
NHS St Helens CCG,72.9
NHS Stafford and Surrounds CCG,73.3
NHS Stockport CCG,78.7
NHS Stoke on Trent CCG,64.5
NHS Sunderland CCG,68.8
NHS Surrey Heartlands CCG,73
NHS Tameside and Glossop CCG,57.4
NHS Tees Valley CCG,72.8
NHS Thurrock CCG,56.3
NHS Trafford CCG,78.6
NHS Vale of York CCG,89.5
NHS Wakefield CCG,83.9
NHS Warrington CCG,46.8
NHS West Essex CCG,56.9
NHS West Lancashire CCG,68.1
NHS West Leicestershire CCG,70.7
NHS West Suffolk CCG,76.7
NHS West Sussex CCG,79
NHS Wigan Borough CCG,60.3
NHS Wirral CCG,74.9
