Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
AL1,AL1,Total,14999,9550,4316,5234,112,19100,2205,1583,622,4410,2969,2805,26,104,34,5938
AL10,AL10,Total,12662,5041,2019,3022,219,10082,4212,3039,1173,8424,3027,2882,21,87,37,6054
AL2,AL2,Total,9456,7194,3358,3836,75,14388,989,657,332,1978,1097,1003,15,47,32,2194
AL3,AL3,Total,11419,8105,3787,4318,35,16210,1745,1207,538,3490,1394,1293,20,61,20,2788
AL4,AL4,Total,10787,8256,3899,4357,29,16512,1340,921,419,2680,1051,937,40,59,15,2102
AL5,AL5,Total,11584,9261,4704,4557,16,18522,862,663,199,1724,1342,1241,32,56,13,2684
AL6,AL6,Total,4523,3688,2030,1658,6,7376,436,334,102,872,339,310,13,12,4,678
AL7,AL7,Total,14144,7247,2681,4566,122,14494,5291,3866,1425,10582,1328,1232,21,57,18,2656
AL8,AL8,Total,5610,3783,2003,1780,35,7566,1279,998,281,2558,448,424,1,18,5,896
AL9,AL9,Total,4197,3189,1727,1462,5,6378,346,292,54,692,556,489,28,23,16,1112
B1,B1,Total,4240,846,272,574,112,1692,1018,497,521,2036,2201,2144,9,33,15,4402
B10,B10,Total,7051,3741,1981,1760,26,7482,1580,738,842,3160,1528,1421,5,65,37,3056
B11,B11,Total,12753,7045,3549,3496,83,14090,2462,1332,1130,4924,2879,2691,11,128,49,5758
B12,B12,Total,6719,2249,1181,1068,85,4498,2712,1222,1490,5424,1520,1434,3,56,27,3040
B13,B13,Total,15080,8169,4001,4168,57,16338,3311,1681,1630,6622,3307,3123,6,134,44,6614
B14,B14,Total,18200,11036,4928,6108,316,22072,4394,3554,840,8788,2156,1989,17,132,18,4312
B15,B15,Total,6369,2627,1417,1210,60,5254,1903,336,1567,3806,1629,1506,20,41,62,3258
B16,B16,Total,10358,3139,1455,1684,68,6278,2718,1690,1028,5436,4243,4113,8,76,46,8486
B17,B17,Total,10949,6239,3226,3013,83,12478,1482,844,638,2964,2960,2822,15,102,21,5920
B18,B18,Total,6232,1922,857,1065,35,3844,2409,1504,905,4818,1698,1607,5,60,26,3396
B19,B19,Total,6488,1739,785,954,50,3478,3719,2382,1337,7438,793,739,1,24,29,1586
B2,B2,Total,445,27,9,18,1,54,66,9,57,132,347,341,0,1,5,694
B20,B20,Total,11050,6039,3168,2871,72,12078,2397,583,1814,4794,2326,2221,9,71,25,4652
B21,B21,Total,9854,4827,2660,2167,66,9654,2433,713,1720,4866,2284,2085,11,118,70,4568
B23,B23,Total,18648,9596,3922,5674,372,19192,4682,3142,1540,9364,3689,3487,14,160,28,7378
B24,B24,Total,11934,6930,2984,3946,109,13860,2503,1499,1004,5006,2189,2060,7,112,10,4378
B25,B25,Total,6006,3317,1356,1961,48,6634,1498,1220,278,2996,1040,965,3,58,14,2080
B26,B26,Total,13559,9848,4583,5265,55,19696,1951,1719,232,3902,1528,1372,9,134,13,3056
B27,B27,Total,9913,5280,2142,3138,115,10560,2347,1797,550,4694,1983,1859,5,95,24,3966
B28,B28,Total,10917,8314,4056,4258,50,16628,898,695,203,1796,1507,1387,7,96,17,3014
B29,B29,Total,15042,6821,3478,3343,108,13642,3483,2132,1351,6966,4397,4142,24,162,69,8794
B3,B3,Total,1605,333,84,249,25,666,151,17,134,302,1083,1034,7,31,11,2166
B30,B30,Total,12545,7518,3131,4387,218,15036,2598,814,1784,5196,2082,1892,35,121,34,4164
B31,B31,Total,22977,13699,6177,7522,563,27398,5969,3935,2034,11938,2438,2227,16,168,27,4876
B32,B32,Total,16313,8979,4172,4807,114,17958,5208,4679,529,10416,1683,1545,10,109,19,3366
B33,B33,Total,13741,6860,2920,3940,101,13720,4732,3812,920,9464,1806,1657,4,126,19,3612
B34,B34,Total,8186,4276,2072,2204,213,8552,2790,2189,601,5580,709,642,3,52,12,1418
B35,B35,Total,4247,1568,722,846,20,3136,2368,207,2161,4736,229,208,2,13,6,458
B36,B36,Total,13711,8620,4240,4380,131,17240,3750,2973,777,7500,1071,978,5,76,12,2142
B37,B37,Total,15300,7859,3445,4414,127,15718,5965,5171,794,11930,1240,1141,5,80,14,2480
B38,B38,Total,9001,5074,2327,2747,57,10148,3023,2644,379,6046,697,625,8,59,5,1394
B4,B4,Total,620,64,26,38,1,128,146,24,122,292,392,357,9,7,19,784
B42,B42,Total,9323,6983,3118,3865,36,13966,619,358,261,1238,1586,1463,2,101,20,3172
B43,B43,Total,11639,9565,5174,4391,42,19130,874,656,218,1748,1049,966,7,69,7,2098
B44,B44,Total,14977,9380,4139,5241,63,18760,3328,2901,427,6656,1983,1812,8,154,9,3966
B45,B45,Total,12773,8530,3866,4664,93,17060,2843,2384,459,5686,1132,1033,9,82,8,2264
B46,B46,Total,5152,3953,1912,2041,27,7906,449,299,150,898,651,587,9,45,10,1302
B47,B47,Total,4016,3384,1898,1486,17,6768,363,125,238,726,214,185,1,28,0,428
B48,B48,Total,2391,1920,1030,890,15,3840,211,72,139,422,209,179,6,15,9,418
B49,B49,Total,4488,3170,1771,1399,40,6340,653,67,586,1306,556,492,23,31,10,1112
B5,B5,Total,5026,1318,630,688,47,2636,1521,863,658,3042,2015,1942,8,40,25,4030
B50,B50,Total,2171,1655,768,887,51,3310,234,26,208,468,211,195,1,8,7,422
B6,B6,Total,5934,2611,1324,1287,22,5222,2090,1253,837,4180,1025,970,3,35,17,2050
B60,B60,Total,11680,8944,4236,4708,101,17888,1446,429,1017,2892,1079,1004,16,48,11,2158
B61,B61,Total,9701,7123,3365,3758,62,14246,1420,394,1026,2840,979,868,19,83,9,1958
B62,B62,Total,10206,8157,4378,3779,38,16314,1034,739,295,2068,857,771,5,72,9,1714
B63,B63,Total,15527,11030,5539,5491,61,22060,2651,2109,542,5302,1547,1418,6,112,11,3094
B64,B64,Total,6964,3889,1784,2105,68,7778,1952,1620,332,3904,918,855,10,43,10,1836
B65,B65,Total,9795,5955,2705,3250,43,11910,2685,2307,378,5370,920,821,11,73,15,1840
B66,B66,Total,7336,2999,1329,1670,58,5998,2483,1606,877,4966,1583,1502,1,61,19,3166
B67,B67,Total,11642,6746,3155,3591,45,13492,2446,1979,467,4892,2150,2018,4,103,25,4300
B68,B68,Total,12267,8080,3942,4138,74,16160,2525,2198,327,5050,1346,1230,6,89,21,2692
B69,B69,Total,11467,6802,2931,3871,44,13604,2838,2411,427,5676,1576,1472,8,80,16,3152
B7,B7,Total,3443,584,257,327,40,1168,2484,1880,604,4968,245,222,1,12,10,490
B70,B70,Total,10695,5005,2646,2359,84,10010,3840,2840,1000,7680,1488,1372,13,82,21,2976
B71,B71,Total,12512,6955,3460,3495,58,13910,3751,3263,488,7502,1478,1376,16,65,21,2956
B72,B72,Total,3902,3190,1661,1529,10,6380,164,141,23,328,496,460,2,29,5,992
B73,B73,Total,9604,7472,3776,3696,61,14944,698,384,314,1396,1287,1206,9,68,4,2574
B74,B74,Total,13468,11637,6485,5152,27,23274,577,208,369,1154,1118,1023,9,80,6,2236
B75,B75,Total,10981,8565,4268,4297,55,17130,1281,1053,228,2562,965,874,18,68,5,1930
B76,B76,Total,9184,7398,3514,3884,60,14796,734,171,563,1468,895,815,16,52,12,1790
B77,B77,Total,22873,16057,6064,9993,110,32114,4269,3081,1188,8538,2256,2037,12,189,18,4512
B78,B78,Total,9982,7192,3337,3855,57,14384,1564,835,729,3128,1063,959,16,78,10,2126
B79,B79,Total,9640,6373,3273,3100,43,12746,1817,1339,478,3634,1278,1154,17,88,19,2556
B8,B8,Total,11885,6235,3237,2998,59,12470,3079,1678,1401,6158,2213,2058,6,111,38,4426
B80,B80,Total,2983,2142,1114,1028,34,4284,424,47,377,848,325,277,7,32,9,650
B9,B9,Total,7507,3420,1525,1895,81,6840,2199,1462,737,4398,1612,1493,3,81,35,3224
