Node,Number of adverts by constituency ::: Adverts for Dogs (2017),Number of adverts by constituency ::: Adverts for Cats (2017),Number of adverts by constituency ::: Adverts for Rabbits (2017),"Total number of adverts for dogs, cats and rabbits by constituency",Peak month(s) for adverts (all species)
Aberdeen Central,400,127,71,598,July
Aberdeen Donside,323,116,27,466,November
Aberdeen South and North Kincardine,164,59,27,250,January
Aberdeenshire East,507,171,68,746,May
Aberdeenshire West,311,141,60,512,July
Airdrie and Shotts,679,279,99,1057,June
Almond Valley,655,424,205,1284,May
Angus North and Mearns,391,116,32,539,July
Angus South,310,97,77,484,July
Argyll and Bute,104,22,24,150,May
Ayr,407,115,24,546,September
Banffshire and Buchan Coast,532,186,76,794,July
"Caithness, Sutherland and Ross",210,67,7,284,March
"Carrick, Cumnock and Doon Valley",704,209,69,982,July
Clackmannanshire and Dunblane,327,156,26,509,July
Clydebank and Milngavie,237,86,28,351,June
Clydesdale,955,297,194,1446,June
Coatbridge and Chryston,325,185,43,553,June
Cowdenbeath,594,156,53,803,May and October
Cumbernauld and Kilsyth,244,222,38,504,August
Cunninghame North,295,114,32,441,August
Cunninghame South,509,106,30,645,October
Dumbarton,258,77,53,388,June
Dumfriesshire,502,135,44,681,August
Dundee City East,276,108,28,412,June
Dundee City West,563,268,118,949,September
Dunfermline,350,194,81,625,June
East Kilbride,219,133,27,379,March
East Lothian,353,146,89,588,February & May
Eastwood,97,120,75,292,October
Edinburgh Central,216,203,27,446,February and November
Edinburgh Eastern,424,231,42,697,June
Edinburgh Northern and Leith,395,320,52,767,July
Edinburgh Pentlands,205,150,52,407,March and August
Edinburgh Southern,221,133,35,389,October
Edinburgh Western,272,246,42,560,May
"Ettrick, Roxburgh and Berwickshire",367,119,23,509,August
Falkirk East,357,217,52,626,June
Falkirk West,430,276,74,780,May
Galloway and West Dumfries,206,45,4,255,December
Glasgow Anniesland,295,115,35,445,January
Glasgow Cathcart,155,97,8,260,November
Glasgow Kelvin,863,355,55,1273,June
Glasgow Maryhill and Springburn,202,75,41,318,September
Glasgow Pollok,259,182,20,461,July and August
Glasgow Provan,235,93,21,349,November
Glasgow Shettleston,277,123,13,413,June
Glasgow Southside,207,176,21,404,July
Greenock and Inverclyde,162,67,20,249,January and September
"Hamilton, Larkhall and Stonehouse",611,250,53,914,August
Inverness and Nairn,328,141,33,502,July
Kilmarnock and Irvine Valley,686,197,55,938,July
Kirkcaldy,458,316,58,832,June
Linlithgow,519,377,129,1025,May
Mid Fife and Glenrothes,354,235,68,657,September
Midlothian North and Musselburgh,414,214,58,686,October
"Midlothian South, Tweeddale and Lauderdale",374,148,90,612,June
Moray,382,95,37,514,April
Motherwell and Wishaw,637,229,198,1064,July
Na h-Eileanan an Iar,4,0,0,4,N/A
North East Fife,271,158,53,482,October
Orkney Islands,4,0,0,4,N/A
Paisley,351,198,30,579,August
Perthshire North,315,183,14,512,June
Perthshire South and Kinrossshire,271,350,34,655,October
Renfrewshire North and West,190,81,53,324,June
Renfrewshire South,409,151,29,589,March
Rutherglen,263,171,30,464,May and August
Shetland Islands,1,0,0,1,December
"Skye, Lochaber and Badenoch",223,59,19,301,August
Stirling,340,157,29,526,November
Strathkelvin and Bearsden,184,67,18,269,May
Uddingston and Bellshill,408,251,18,677,August
