Node,Licensed premises ::: Pet Animals Act 1951,Licensed premises ::: Breeding and Sale of Dogs Act 1973,Licensed premises ::: Pet Shops and Dog Breeders,Pet shop licence fee,Number of investigations regarding welfare by local authorities,Number of investigations into unlicensed premises by local authorities,Evidence suspicious activity selling puppies or kittens,Annual spend on dog warden service ::: 2013,Annual spend on dog warden service ::: 2014,Annual spend on dog warden service ::: 2015,Percentage increase or decrease in spend,Number of times the dog warden service was called out in 2015,Most prevalent issue for local authority dog warden service in 2015,Is the dog warden service 24 hour?
Aberdeen City,6,0,6,£144.00,7,1,Puppies,70308,72506,67396,-4,1776,dog fouling,No - service is set times in the day
Aberdeenshire,5,12,17,£116.00,1,,Puppies,175099,178835,186609,7,765,dangerous dogs,Yes - out of hours number after working hours
Adur,9,0,9,£150.00,0,0,NO,105918,111287,93503,-12,826,dog fouling,No - service is set times in the day
Allerdale,4,2,6,£107.10,4,2,NO,65000,65000,65000,0,42,stray dogs,Yes - phone line only
Amber Valley,9,3,12,£90.00,3,2,NO,138089,104092,100938,-27,272,stray dogs,Yes - phone line only
Angus,10,13,23,£83.00,2,1,Puppies,40897,41374,41836,2,541,stray dogs,No - service is set times in the day
Argyll and Bute,5,1,6,£77.60,0,0,NO,,,,,,stray dogs,No - service is set times in the day
Arun,13,3,16,£150.00,5,1,NO,38392,39424,41841,9,371,stray dogs,Yes - out of hours number after working hours
Ashfield,7,2,9,£188.00,10,1,Kittens,40000,27000,22000,-45,280,stray dogs,No - service is set times in the day
Ashford,7,6,13,£555.00,2,2,Puppies,34814,33630,32361,-7,145,stray dogs / lost dogs,No - service is set times in the day
Aylesbury Vale,8,2,10,£230.00,0,0,NO,63239,62997,48308,-24,133,stray dogs,No - service is set times in the day
Babergh,5,0,5,£121.00,0,0,NO,5474,4575,5180,-5,52,stray dogs,Yes - phone line only
Barking & Dagenham,7,0,7,£326.10,0,0,Puppies,,,,,,,
