Node,No delivery due to covid,L1 and L2 places attended - 2019/20,Number of instructors,Level 3 Places Attended (2018/19),Levels 1 and 2 Places Attended (2018/19),Level 3 places attended - 2019/20,Number of schools,Level 3 Places Attended (2020/21),% schools that booked Bikeability,Plus Places Attended (2020/21),Levels 1 and 2 places attended (2020/21)
BH8,,0,1,0,0,0,9,0,0,0,0
BN18,,0,1,0,0,0,9,0,33,0,68
BS27,,0,1,0,0,0,4,0,0,0,0
DA7,,0,1,0,0,0,6,0,0,0,0
DA8,,0,1,0,0,0,9,0,0,0,0
DA9,,0,1,0,0,0,11,0,0,0,0
DA15,,0,1,0,0,0,9,0,0,0,0
DA17,,0,1,0,0,0,14,0,0,0,0
DN41,,0,1,0,0,0,21,0,0,0,0
DT8,,0,1,0,0,0,2,0,0,0,0
E12,,0,1,0,0,0,13,0,0,0,0
E14,,0,1,0,0,0,12,0,0,0,0
E15,,0,1,0,0,0,16,0,0,0,0
E20,,0,1,0,0,0,4,0,0,0,0
EC1N,,0,1,0,0,0,15,0,0,0,0
EC1Y,,0,1,0,0,0,3,0,0,0,0
EN2,,0,1,0,0,0,17,0,0,0,0
EN4,,0,1,0,0,0,9,0,0,0,0
EN6,,0,1,0,0,0,14,0,0,0,0
EN7,,0,1,0,0,0,12,0,0,0,0
HA9,,0,1,0,0,0,14,0,0,0,0
HD4,,0,1,0,0,0,16,0,0,0,0
IP11,,0,1,0,0,0,5,0,0,0,0
KT7,,0,1,0,0,0,19,0,0,0,0
KT11,YES,0,1,0,0,0,10,0,10,0,0
L14,,0,1,0,0,0,14,0,0,0,0
L17,,0,1,0,0,0,7,0,0,0,0
LE2,,0,1,0,0,0,3,0,0,0,0
ME14,,0,1,0,0,0,2,0,0,0,0
N2,,0,1,0,0,0,14,0,0,0,0
N7,,0,1,0,0,0,10,0,0,0,0
N20,,0,1,0,0,0,13,0,0,0,0
NE12,,0,1,0,0,0,11,0,0,0,0
NR7,YES,0,1,0,0,0,13,0,15,0,0
NR17,YES,0,1,0,0,0,9,0,11,0,0
NR23,,0,1,0,0,0,11,6,36,24,12
NR30,,0,1,0,0,0,10,0,0,0,0
NW6,,0,1,0,0,0,12,0,17,30,48
PL1,,0,1,0,0,0,9,0,11,0,18
PL12,,0,1,0,0,0,6,0,0,0,0
RM6,,0,1,0,0,0,12,0,0,0,0
S21,,0,1,0,0,0,14,0,0,0,0
SE4,,0,1,0,0,0,8,0,0,0,0
SE24,,0,1,0,0,0,10,0,0,0,0
SE26,,0,1,0,0,0,19,0,0,0,0
SG13,,0,1,0,0,0,10,0,0,0,0
SG17,,0,1,0,0,0,11,0,0,0,0
SP4,,0,1,0,0,0,4,0,0,0,0
SW1P,,0,1,0,0,0,24,0,0,0,0
SW2,,0,1,0,0,0,26,0,0,0,0
SW3,,0,1,0,0,0,24,0,0,0,0
SW5,,0,1,0,0,0,31,0,0,0,0
SW8,,0,1,0,0,0,10,0,0,0,0
SY14,,0,1,0,0,0,17,0,0,0,0
SY16,,0,1,0,0,0,25,0,0,0,0
TF11,,0,1,0,0,0,9,0,0,0,0
TS22,,0,1,0,0,0,5,0,20,0,53
TW3,,0,1,0,0,0,12,0,0,0,0
TW7,,0,1,0,0,0,15,0,0,0,0
W1D,,0,1,0,0,0,12,0,0,0,0
W1K,,0,1,0,0,0,5,0,0,0,0
W3,,0,1,0,0,0,10,0,0,0,0
W14,,0,1,0,0,0,15,0,0,0,0
WA1,,0,1,0,0,0,1,0,0,0,0
WA2,,0,1,0,0,0,11,0,0,0,0
WA4,,0,1,0,0,0,12,0,0,0,0
TS11,,8,1,0,0,0,4,0,25,0,20
L39,,9,1,0,0,0,3,0,0,0,0
IP14,,12,1,0,0,0,5,6,60,0,95
NR24,,13,1,0,0,0,13,0,15,0,24
PL32,,14,1,0,0,0,3,0,0,0,0
BH16,,15,1,0,0,0,6,0,50,0,26
CV12,YES,16,1,0,0,0,12,0,8,0,0
L6,YES,17,1,0,0,0,7,0,14,0,0
PE12,,19,1,0,0,0,6,0,33,0,20
TS5,,22,1,0,0,0,9,0,0,0,0
TS29,,24,1,0,0,0,8,0,0,0,0
PL23,,25,1,0,0,0,5,0,60,57,113
TR5,,29,1,0,0,0,7,0,43,0,24
TR4,,33,1,0,0,0,7,0,0,0,0
