Node,datafield 1,abc
Albania,1,1
Andorra,10,12
Armenia,11,13
Austria,12,14
Azerbaijan,13,15
Belarus,14,16
Belgium,15,17
Bosnia and Herzegovina,16,18
Bulgaria,17,19
Croatia,18,20
Cyprus,19,21
Czech Republic,20,22
Denmark,21,23
Estonia,22,24
Faroe Islands,23,25
Finland,24,26
France,25,27
Georgia,26,28
Germany,27,29
Greece,28,30
Hungary,29,31
Iceland,30,32
Ireland,31,33
Italy,32,34
Kazakhstan,33,35
Kosovo,34,36
Latvia,35,37
Liechtenstein,36,38
Lithuania,37,39
Luxembourg,38,40
Macedonia,39,41
Malta,40,42
Moldova,41,43
Monaco,42,44
Montenegro,43,45
Netherlands,44,46
Norway,45,47
Poland,46,48
Portugal,47,49
Romania,48,50
Russia,49,51
San Marino,50,52
Serbia,51,53
Slovakia,52,54
Slovenia,53,55
Spain,54,56
Sweden,55,57
Switzerland,56,58
Turkey,57,59
Ukraine,58,60
United Kingdom,59,61
Vatican City,1,1
