Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)"
AL1,26,23
AL2,88,18
AL3,5.9,10
AL4,0,0
AL5,27,260
AL6,0,9.6
AL7,156,0
AL8,9.8,28
AL9,0,0
AL10,0,0.9
B1,8,45
B4,0,0
B5,2.2,23
B6,15,146
B7,0,1.3
B8,171,0
B9,0,0
B10,0,5.6
B11,35,0
B12,2.3,12
B13,0,0
B14,9,0
B15,0,0
B16,,
B17,0,14
B18,,
B19,20,0
B20,0,0
B21,98,0
B23,5.8,23
B24,0,0
B25,22,103
B26,12,4.7
B27,0,0
B28,0,7
B29,,
B30,11,0
B31,0,0
B32,,
B33,0,16
B34,,
B35,14,0
B36,0,0
B37,0,0
B38,0,22
B42,13,96
B43,23,7.4
B44,0,0
B45,0,11
B46,,
B47,8,
B48,,0
B49,29,0
B50,8,42
B60,0,9.7
B61,88,0
B62,3.8,17
B63,0,0
B64,15,0
B65,0,0
B66,0,0
B67,0,7
B68,,
B69,21,28
B70,180,0
B71,10.6,9
B72,0,0
B73,1,
B74,,0
B75,0,0
B76,0,8
B77,,
B78,20,0
B79,0,0
B80,7.8,7
B90,3,0
B91,0,0
B92,,
B93,0,12
B94,0,0
B95,2,
B96,,0
B97,30,0
B98,15,17
BA1,18,12
BA2,0,0
BA3,0,2.3
BA4,42,0
BA5,4.2,18
BA6,0,0
BA7,15,57
BA8,0,3.8
BA9,12,0
BA10,12,26
BA11,0,2.2
BA12,0,0
BA13,0,10
BA14,0,0
BA15,13,0
BA16,0,0
BA20,0,9
BA21,0,0
BA22,11,25
BB1,1,14
BB2,4.7,9
BB3,0,34
BB4,9,140
BB5,0,15.6
BB6,0,0
BB7,0,10
BB8,0,23
BB9,28,112
BB10,0,0
BB11,14,33
BB12,0,2.4
BB18,28,0
BD1,31,4
BD2,0,0
BD3,2.3,9
BD4,0,0
BD5,3,
BD6,,0
BD7,,
BD8,0,22
BD9,0,0
BD10,,
BD11,0,19
BD12,0,54
BD13,19,0
BD14,0,0
BD15,,
BD16,0,13
BD17,0,0
BD18,22,190
BD19,0,8.6
BD20,0,20
BD21,0,0
BD22,9,374
BD23,0,41.6
BD24,14,0
BH1,16,29
BH2,0,2
BH3,2.6,13
BH4,29,150
BH5,0,5.2
BH6,42,0
BH7,3.2,19
BH8,0,0
BH9,12,64
BH10,0,1.8
BH11,6,0
BH12,1.2,22
BH13,0,0
BH14,21,68
BH15,0,3.2
BH16,0,0
BH17,0,33
BH18,0,0
BH19,6,12
BH20,43,0
BH21,4.3,37
BH22,0,0
BH23,6,72
BH24,0,12
BH25,42,0
BH31,0,0
