Node,sdasdasdas,terwq,hfgdfsda
"NHS Barnsley CCG",1,1,1
"NHS Basildon and Brentwood CCG",4,4,4
"NHS Bassetlaw CCG",3,3,3
"NHS Blackburn with Darwen CCG",2,2,2
"NHS Blackpool CCG",4,4,4
"NHS Bolton CCG",2,2,2
"NHS Brighton and Hove CCG",5,5,5
"NHS Bury CCG",6,6,6
"NHS Calderdale CCG",5,5,5
"NHS Cambridgeshire and Peterborough CCG",56,56,56
"NHS Cannock Chase CCG",75,75,75
"NHS Castle Point and Rochford CCG",4,4,4
"NHS Chorley and South Ribble CCG",3,3,3
"NHS Doncaster CCG",78,78,78
"NHS Dorset CCG",24,24,24
"NHS East and North Hertfordshire CCG",1,1,1
"NHS East Lancashire CCG",4,4,4
"NHS East Leicestershire and Rutland CCG",3,3,3
"NHS East Riding of Yorkshire CCG",2,2,2
"NHS East Staffordshire CCG",4,4,4
"NHS Gloucestershire CCG",2,2,2
"NHS Halton CCG",5,5,5
"NHS Herts Valleys CCG",6,6,6
"NHS Heywood, Middleton and Rochdale CCG",5,5,5
"NHS Hull CCG",56,56,56
"NHS Ipswich and East Suffolk CCG",75,75,75
"NHS Kernow CCG",4,4,4
"NHS Knowsley CCG",3,3,3
"NHS Leicester City CCG",78,78,78
"NHS Liverpool CCG",24,24,24
"NHS Mid Essex CCG",1,1,1
"NHS North East Essex CCG",4,4,4
"NHS North East Lincolnshire CCG",3,3,3
"NHS North Lincolnshire CCG",2,2,2
"NHS North Staffordshire CCG",4,4,4
"NHS North Tyneside CCG",2,2,2
"NHS Northumberland CCG",5,5,5
"NHS Oldham CCG",6,6,6
"NHS Oxfordshire CCG",5,5,5
"NHS Portsmouth CCG",56,56,56
"NHS Rotherham CCG",75,75,75
"NHS Salford CCG",4,4,4
"NHS Sheffield CCG",3,3,3
"NHS Somerset CCG",78,78,78
"NHS South East Staffordshire and Seisdon Peninsula CCG",24,24,24
"NHS South Sefton CCG",1,1,1
"NHS South Tyneside CCG",4,4,4
"NHS Southend CCG",3,3,3
"NHS Southport and Formby CCG",2,2,2
"NHS St Helens CCG",4,4,4
"NHS Stafford and Surrounds CCG",2,2,2
"NHS Stockport CCG",5,5,5
"NHS Stoke on Trent CCG",6,6,6
"NHS Sunderland CCG",5,5,5
"NHS Tameside and Glossop CCG",56,56,56
"NHS Thurrock CCG",75,75,75
"NHS Trafford CCG",4,4,4
"NHS Vale of York CCG",3,3,3
"NHS Wakefield CCG",78,78,78
"NHS Warrington CCG",24,24,24
"NHS West Essex CCG",1,1,1
"NHS West Lancashire CCG",4,4,4
"NHS West Leicestershire CCG",3,3,3
"NHS West Suffolk CCG",2,2,2
"NHS Wigan Borough CCG",4,4,4
"NHS Wirral CCG",2,2,2
"NHS Newcastle Gateshead CCG",5,5,5
"NHS North Cumbria CCG",6,6,6
"NHS Manchester CCG",5,5,5
"NHS Birmingham and Solihull CCG",56,56,56
"NHS Berkshire West CCG",75,75,75
"NHS Bristol, North Somerset and South Gloucestershire CCG",4,4,4
"NHS Buckinghamshire CCG",3,3,3
"NHS Leeds CCG",78,78,78
"NHS Fylde and Wyre CCG",24,24,24
"NHS Greater Preston CCG",1,1,1
"NHS Morecambe Bay CCG",4,4,4
"NHS Derby and Derbyshire CCG",3,3,3
"NHS Devon CCG",2,2,2
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",4,4,4
"NHS Bradford District and Craven CCG",2,2,2
"NHS Cheshire CCG",5,5,5
"NHS County Durham CCG",6,6,6
"NHS East Sussex CCG",5,5,5
"NHS Herefordshire and Worcestershire CCG",56,56,56
"NHS Kent and Medway CCG",75,75,75
"NHS Lincolnshire CCG",4,4,4
"NHS Norfolk and Waveney CCG",3,3,3
"NHS North Central London CCG",78,78,78
"NHS North Yorkshire CCG",24,24,24
"NHS Northamptonshire CCG",1,1,1
"NHS Nottingham and Nottinghamshire CCG",4,4,4
"NHS South East London CCG",3,3,3
"NHS South West London CCG",2,2,2
"NHS Surrey Heartlands CCG",4,4,4
"NHS Tees Valley CCG",2,2,2
"NHS West Sussex CCG",5,5,5
"NHS Bedfordshire, Luton and Milton Keynes CCG",6,6,6
"NHS Black Country and West Birmingham CCG",5,5,5
"NHS Coventry and Warwickshire CCG",56,56,56
"NHS Frimley CCG",75,75,75
"NHS Hampshire, Southampton and Isle of Wight CCG",4,4,4
"NHS Kirklees CCG",3,3,3
"NHS North East London CCG",78,78,78
"NHS North West London CCG",24,24,24
"NHS Shropshire, Telford and Wrekin CCG",24,24,24
