Node,DF1,Df2,df1
Albania,2,2,2
Andorra,1,1,1
Armenia,3,3,3
Austria,4,4,4
Azerbaijan,2,2,2
Belarus,3,3,3
Belgium,4,4,4
Bosnia and Herzegovina,2,2,2
Bulgaria,2,2,2
Croatia,44,44,44
Cyprus,53,53,53
Czech Republic,3,3,3
Denmark,2,2,2
Estonia,32,32,32
Faroe Islands,32,32,32
Finland,4,4,4
France,12,12,12
Georgia,2,2,2
Germany,1,1,1
Greece,3,3,3
Hungary,4,4,4
Iceland,2,2,2
Ireland,3,3,3
Italy,4,4,4
Kazakhstan,2,2,2
Kosovo,2,2,2
Latvia,44,44,44
Liechtenstein,53,53,53
Lithuania,3,3,3
Luxembourg,2,2,2
Macedonia,32,32,32
Malta,32,32,32
Moldova,4,4,4
Monaco,12,12,12
Montenegro,2,2,2
Netherlands,1,1,1
Norway,3,3,3
Poland,4,4,4
Portugal,2,2,2
Romania,3,3,3
Russia,4,4,4
San Marino,2,2,2
Serbia,2,2,2
Slovakia,44,44,44
Slovenia,53,53,53
fd,3,3,3
Sweden,2,2,2
Switzerland,32,32,32
Turkey,32,32,32
Ukraine,4,4,4
fdf,12,12,12
Vatican City,,,
df,,,
fd,,,
fd,,,
f,,,
fd,,,
fd,,,
