Node,fxczddfsf
"Northumberland, Tyne and Wear",3
"West, North and East Cumbria",34
"Durham, Darlington and Tees, Hambleton, Richmondshire and Whitby",43
Lancashire and South Cumbria,432
West Yorkshire,432
"Coast, Humber and Vale",432
Greater Manchester,3
Cheshire and Merseyside,34
South Yorkshire and Bassetlaw,43
Staffordshire,432
Shropshire and Telford and Wrekin,432
Derbyshire,432
Lincolnshire,3
Nottinghamshire,34
"Leicester, Leicestershire and Rutland",43
Black Country and West Birmingham,432
Birmingham and Solihull,432
Coventry and Warwickshire,432
Herefordshire and Worcestershire,3
Northamptonshire,34
Cambridgeshire and Peterborough,43
Norfolk and Waveney,432
Suffolk and North East Essex,432
"Milton Keynes, Bedfordshire and Luton",432
Hertfordshire and West Essex,3
Mid and South Essex,34
North West London,43
North Central London,432
North East London,432
South East London,432
South West London,3
Kent & Medway,34
Sussex and East Surrey,43
Frimley Health,432
Surrey Heartlands,432
Cornwall and the Isles of Scilly,432
Devon,3
Somerset,34
"Bristol, North Somerset, South Gloucestershire",43
"Bath, Swindon and Wiltshire",432
Dorset,432
Hampshire and the Isle of Wight,432
Gloucestershire,3
"Berkshire, Oxfordshire and Buckinghamshire",34
,43
,432
,432
,432
,3
,34
,43
,432
,432
,432
,3
,34
,43
,432
,432
,432
,3
,34
,43
,432
,432
,432
,3
,34
,43
,432
,432
,432
