Node,DF 1
Aberdeen Central,12
Aberdeen Donside,2
Aberdeen South and North Kincardine,21
Aberdeenshire East,21
Aberdeenshire West,21
Airdrie and Shotts,21
Almond Valley,21
Angus North and Mearns,321
Angus South,21
Argyll and Bute,12
Ayr,2
Banffshire and Buchan Coast,21
"Caithness, Sutherland and Ross",21
"Carrick, Cumnock and Doon Valley",21
Clackmannanshire and Dunblane,21
Clydebank and Milngavie,21
Clydesdale,321
Coatbridge and Chryston,21
Cowdenbeath,12
Cumbernauld and Kilsyth,2
Cunninghame North,21
Cunninghame South,21
Dumbarton,21
Dumfriesshire,21
Dundee City East,21
Dundee City West,321
Dunfermline,21
East Kilbride,12
East Lothian,2
Eastwood,21
Edinburgh Central,21
Edinburgh Eastern,21
Edinburgh Northern and Leith,21
Edinburgh Pentlands,21
Edinburgh Southern,321
Edinburgh Western,21
"Ettrick, Roxburgh and Berwickshire",12
Falkirk East,2
Falkirk West,21
Galloway and West Dumfries,21
Glasgow Anniesland,21
Glasgow Cathcart,21
Glasgow Kelvin,21
Glasgow Maryhill and Springburn,321
Glasgow Pollok,21
Glasgow Provan,12
Glasgow Shettleston,2
Glasgow Southside,21
Greenock and Inverclyde,21
"Hamilton, Larkhall and Stonehouse",21
Inverness and Nairn,21
Kilmarnock and Irvine Valley,21
Kirkcaldy,321
Linlithgow,21
Mid Fife and Glenrothes,12
Midlothian North and Musselburgh,2
"Midlothian South, Tweeddale and Lauderdale",21
Moray,21
Motherwell and Wishaw,21
Na h-Eileanan an Iar,21
North East Fife,21
Orkney Islands,321
Paisley,21
Perthshire North,12
Perthshire South and Kinrossshire,2
Renfrewshire North and West,21
Renfrewshire South,21
Rutherglen,21
Shetland Islands,21
"Skye, Lochaber and Badenoch",21
Stirling,321
Strathkelvin and Bearsden,21
Uddingston and Bellshill,12
,2
,21
,21
,21
,21
,21
,321
,21
,12
,2
,21
,21
,21
,21
,21
,321
,21
