Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
AB15,,448,3,0,0,0,28,0,25,48,84
AB16,,0,1,0,0,0,0,0,0,0,0
AL1,,138,1,0,164,0,8,0,38,12,99
AL2,,32,0,0,112,0,4,0,25,0,31
AL3,,145,2,0,273,12,19,0,21,0,75
AL4,,164,1,54,80,36,10,0,20,0,140
AL5,YES,299,4,37,340,117,14,0,7,0,0
AL6,,151,0,15,122,0,12,0,50,0,56
AL7,,168,0,0,159,24,24,19,17,31,112
AL8,,94,2,0,110,0,14,0,21,0,80
AL9,YES,43,0,0,42,0,6,0,33,0,0
AL10,YES,128,1,0,87,0,6,0,33,0,0
B1,YES,64,0,0,33,0,8,0,13,0,0
B4,,0,0,0,0,0,1,0,0,0,0
B5,,0,2,0,0,0,2,0,0,0,0
B6,,40,0,0,0,0,15,18,13,12,95
B7,,411,1,0,170,0,17,0,41,0,62
B8,,265,0,0,279,0,24,0,17,0,93
B9,YES,77,1,0,103,0,22,0,9,0,0
B10,YES,93,2,0,239,0,15,0,20,0,0
B11,,103,2,0,181,0,14,0,0,0,0
B12,,117,0,0,75,0,6,0,17,0,16
B13,,767,1,0,684,0,21,0,29,92,60
B14,,282,5,0,430,41,15,0,13,0,32
B15,,153,4,0,191,0,10,0,20,72,73
B16,,112,4,33,45,36,17,48,18,98,314
B17,YES,32,2,0,45,0,6,0,50,0,0
B18,,0,0,0,0,0,10,0,0,0,0
B19,,151,0,0,0,0,11,0,18,0,30
B20,,129,1,22,142,18,13,0,38,0,97
B21,,52,0,0,0,0,15,0,33,0,107
B23,,267,3,0,170,0,15,0,47,0,80
B24,,80,1,0,70,0,7,0,71,0,34
B25,,77,0,0,0,0,5,18,20,0,18
B26,,146,1,0,24,0,13,0,31,0,138
B27,,49,1,0,77,0,7,0,43,0,70
B28,,91,0,17,93,47,5,0,20,0,9
B29,,157,2,0,167,0,19,0,47,0,46
B30,,132,1,0,120,0,10,0,40,0,63
B31,,200,2,12,229,12,20,0,30,5,61
B32,,178,1,11,326,59,23,0,22,0,77
B33,,380,0,48,279,48,13,0,46,6,255
B34,,66,0,0,90,0,8,0,63,0,36
B35,,71,0,0,35,0,6,0,17,0,36
B36,,208,0,0,245,0,10,0,40,48,102
B37,,309,3,4,594,25,19,0,26,0,198
