Node,A1,A2
Aberdeen Central,1,2
Aberdeen Donside,1,2
Aberdeen South and North Kincardine,1,2
Aberdeenshire East,1,2
Aberdeenshire West,1,2
Airdrie and Shotts,1,2
Almond Valley,1,2
Angus North and Mearns,1,2
Angus South,1,2
Argyll and Bute,1,2
Ayr,1,2
Banffshire and Buchan Coast,1,2
"Caithness, Sutherland and Ross",1,2
"Carrick, Cumnock and Doon Valley",1,2
Clackmannanshire and Dunblane,1,2
Clydebank and Milngavie,1,2
Clydesdale,1,2
Coatbridge and Chryston,1,2
Cowdenbeath,1,2
Cumbernauld and Kilsyth,1,2
Cunninghame North,1,2
Cunninghame South,1,2
Dumbarton,1,2
Dumfriesshire,1,2
Dundee City East,1,2
Dundee City West,1,2
Dunfermline,1,2
East Kilbride,1,2
East Lothian,1,2
Eastwood,1,2
Edinburgh Central,1,2
Edinburgh Eastern,1,2
Edinburgh Northern and Leith,1,2
Edinburgh Pentlands,1,2
Edinburgh Southern,1,2
Edinburgh Western,1,2
"Ettrick, Roxburgh and Berwickshire",1,2
Falkirk East,1,2
Falkirk West,1,2
Galloway and West Dumfries,1,2
Glasgow Anniesland,1,2
Glasgow Cathcart,1,2
Glasgow Kelvin,1,2
Glasgow Maryhill and Springburn,1,2
Glasgow Pollok,1,2
Glasgow Provan,1,2
Glasgow Shettleston,1,2
Glasgow Southside,1,2
Greenock and Inverclyde,1,2
"Hamilton, Larkhall and Stonehouse",1,2
Inverness and Nairn,1,2
Kilmarnock and Irvine Valley,1,2
Kirkcaldy,1,2
Linlithgow,1,2
Mid Fife and Glenrothes,1,2
Midlothian North and Musselburgh,1,2
"Midlothian South, Tweeddale and Lauderdale",1,2
x,1,2
Motherwell and Wishaw,1,2
Na h-Eileanan an Iar,1,2
North East Fife,1,2
Orkney Islands,1,2
Paisley,1,2
Perthshire North,1,2
Perthshire South and Kinrossshire,1,2
Renfrewshire North and West,1,2
Renfrewshire South,1,2
Rutherglen,1,2
Shetland Islands,1,2
"Skye, Lochaber and Badenoch",1,2
Stirling,1,2
ee,1,2
Uddingston and Bellshill,1,2
