Node,MSP,Number of sites,"Local Sites (Supercentre SC, Superstore SS, Supermarket SM, Asda Living AL, Depots)",AOTM(s),PFS(s),Kids Eat for £1 meals sold (since July 2022),Winter Warmer meals sold (since November 2022)
Clackmannanshire and Dunblane,Keith Brown,1,Alloa SS,,Alloa SS,3145,1842
Angus North and Mearns,Mairi Gougeon,2,Arbroath SS; Forfar SS,,Arbroath SS; Forfar SS,,
Cunninghame North,Kenneth Gibson,1,Ardrossan SS,,Ardrossan SS,5311,1994
Linlithgow,Fiona Hyslop,1,Armadale SS,,Armadale SS,,
Ayr,Siobhian Brown,1,Ayr SS,,Ayr SS,5768,1436
Eastwood,Jackson Carlaw,2,Barrhead SS; Newton Mearns SS,,Barrhead SS,,
Strathkelvin and Bearsden,Rona MacKay,2,Bearsden SS; Bishopbriggs SS,,Bishopbriggs SS; Bearsden SS,,
Rutherglen,Clare Haughey,1,Blantyre SS,,Blantyre SS,27001,787
Aberdeen South and North Kincardine,Audrey Nicoll,1,Bridge of Dee SC,,Bridge of Dee SC,4463,1770
Edinburgh Southern,Daniel Johnson,1,Chesser SS,,Chesser SS,,
Coatbridge and Chryston,Fulton MacGregor,2,Coatbridge SS,,Coatbridge PFS,,
Cumbernauld and Kilsyth,Jamie Hepburn,1,Cumbernauld SS,,Cumbernauld SS,,
East Lothian,Paul McLennan,2,Dunbar SS; Tranent SM,,Dunbar SS,,
Dundee City West,Joe FitzPatrick,2,Dundee Kirkton SS; West Dundee SS,,Dundee Kirkton SS; West Dundee SS,,
Dundee City East,Shona Robison,1,Dundee Milton SS,,Dundee Milton SS,,
Dunfermline,Shirley-Anne Somerville,2,Dunfermline SS; St Leonards SS,,Dunfermline SS,,
Aberdeen Donside,Jackie Dunbar,2,Dyce SS; Middleton Park SS,,Dyce SS; Middleton Park SS,,
Edinburgh Eastern,Ash Regan,1,Edinburgh SC,,Edinburgh SC,3775,1044
Moray,Richard Lochhead,1,Elgin SS,,Elgin SS,,N/a
Banffshire and Buchan Coast,Karen Adam,2,Fraserburgh SS; Peterhead SS,,Fraserburgh SS; Peterhead SS,,N/a
"Midlothian South, Tweeddale and Lauderdale",Christine Grahame,1,Galashiels SS,,Galashiels SS,3612,1640
Mid Fife and Glenrothes,Jenny Gilruth,1,Glenrothes SS,,Glenrothes SS,3845,1790
Glasgow Pollok,Humza Yousaf,1,Govan SS,,Govan SS,8976,1992
Aberdeenshire West,Alexander Burnett,2,Huntly SS; Portlethen SS,,Huntly SS; Portlethen SS,3607,2026
Inverness and Nairn,Fergus Ewing,1,Inverness SS,,Inverness SS,3960,1216
Kilmarnock and Irvine Valley,Willie Coffey,1,Kilmarnock SS,,Kilmarnock SS,,
Kirkcaldy,David Torrance,1,Kirkcaldy SS,,Kirkcaldy SS,,
"Hamilton, Larkhall and Stonehouse",Christina McKelvie,2,Hamilton SS; Larkhall SS,,Larkhall SS,,
Edinburgh Northern and Leith,Ben Macpherson,1,Leith SS,,Leith SS,,
Paisley,George Adam,1,Linwood SS,,Linwood SS,,
Almond Valley,Angela Constance,1,Livingston SC,Livingston,,7130,2955
Aberdeen Central,Kevin Stewart,1,Aberdeen Beach SS,,,5392,1211
"Carrick, Cumnock and Doon Valley",Elena Whitham,2,Girvan SS; Cumnock SM,,,,
Clydebank and Milngavie,Marie McNair,1,Clydebank SS,,,,
Cowdenbeath,Annabelle Ewing,1,Dalgety Bay SS,,,,
Cunninghame South,Ruth Maguire,1,Irvine SS,,,7705,2823
Dumbarton,Jackie Baillie,1,Dumbarton SS,,,,
Falkirk East,Michelle Thomson,3,Stenhousemuir SS; Grangemouth SS; Grangemouth Depot,,,,
Falkirk West,Michael Matheson,2,Falkirk SS; Falkirk Depot,,,,
Glasgow Maryhill and Springburn,Bob Doris,1,Maryhill SS,,,,
Glasgow Provan,Ivan McKee,2,Glasgow Fort Living; Robroyston SS,,,,
Motherwell and Wishaw,Clare Adamson,2,Newmains SS; Motherwell SS,,Newmains SS,,
Glasgow Shettleston,John Mason,1,Parkhead SS,,Parkhead SS,6802,2116
Perthshire North,John Swinney,1,Perth SS,,Perth SS,,
Midlothian North and Musselburgh,Colin Beattie,1,Straiton SS,,Straiton SS,2235,976
"Caithness, Sutherland and Ross",Maree Todd,1,Tain SS,,Tain SS,4790,1310
Glasgow Southside,Nicola Sturgeon,1,Toryglen SS,,Toryglen SS,,
