Node,"Local/Community/Wet Led",Restaurant,"Circuit Bar","Dry Led","Wine Bar","Proprietary Club","Bar group","LED group"
"Aberdeen City",69,131,50,17,28,24,,
Aberdeenshire,115,75,20,25,12,4,,
Adur,15,20,2,7,8,1,,
Allerdale,87,35,16,27,19,2,,
"Amber Valley",106,43,20,12,5,6,,
Angus,70,28,34,8,10,3,,
"Argyll and Bute",104,78,17,13,14,,,
Arun,38,75,11,26,9,4,,
Ashfield,39,27,12,2,3,,,
Ashford,44,45,9,34,10,1,,
"Aylesbury Vale",86,67,11,40,10,3,,
Babergh,61,38,7,24,5,2,,
"Barking & Dagenham",12,31,6,,5,1,,
Barnet,36,212,21,12,17,3,,
Barnsley,109,45,30,32,5,4,,
Barrow-in-Furness,31,18,28,5,6,5,,
Basildon,22,59,8,4,2,3,,
"Basingstoke & Deane",52,51,11,29,5,2,,
Bassetlaw,70,32,20,20,5,,,
"Bath & North East Somerset",92,125,26,36,36,9,,
Bedford,68,68,10,17,5,10,,
Bexley,41,99,20,10,8,1,,
Birmingham,184,395,96,28,78,49,,
Blaby,34,30,,9,1,,,
"Blackburn with Darwen",78,35,14,11,7,3,,
Blackpool,38,91,53,1,16,21,,
"Blaenau Gwent",40,5,13,7,5,1,,
Bolsover,39,13,3,11,1,1,,
Bolton,109,82,44,23,12,10,,
Boston,42,31,7,7,5,4,,
Bournemouth,20,160,30,3,41,17,,
"Bracknell Forest",31,30,3,9,3,2,,
Bradford,232,130,46,35,26,20,,
Braintree,69,60,18,24,11,2,,
Breckland,63,39,9,17,3,2,,
Brent,34,119,30,14,30,6,,
Brentwood,33,42,10,7,9,2,,
Bridgend,69,37,21,18,9,3,,
"Brighton & Hove",114,247,100,32,78,24,,
Bristol,180,278,104,16,94,35,,
Broadland,45,27,5,22,,,,
Bromley,57,188,22,16,16,7,,
Bromsgrove,28,47,5,18,3,2,,
Broxbourne,25,24,6,5,2,,,
Broxtowe,41,43,10,5,3,,,
Burnley,48,26,31,5,7,5,,
Bury,79,70,21,14,24,2,,
Caerphilly,95,24,12,22,3,3,,
Calderdale,140,76,45,33,22,9,,
Cambridge,44,123,20,11,18,5,,
