Node,12 Local/Community/Wet Led,,,,,,
Aberdeen City,69,,,,,,
Aberdeenshire,115,,,,,,
Adur,15,,,,,,
Allerdale,87,,,,,,
Amber Valley,106,,,,,,
Angus,70,,,,,,
Argyll and Bute,104,,,,,,
Arun,38,,,,,,
Ashfield,39,,,,,,
Ashford,44,,,,,,number of colors in backend - 8
Aylesbury Vale,86,,,,,,
Babergh,61,,,,,,number of nodes -      380
Barking & Dagenham,12,,,,,,
Barnet,36,,,,,,380/8 = 48 (in round)
Barnsley,109,,,,,,
Barrow-in-Furness,31,,,,,,mean 48 node each key range
Basildon,22,,,,,,
Basingstoke & Deane,52,,,,,,
Bassetlaw,70,,,,,,
Bath & North East Somerset,92,,,,,,
Bedford,68,,,,,,
Bexley,41,,min-12,,,,
Birmingham,184,,max - 232,,,,
Blaby,34,,,,,,
Blackburn with Darwen,78,,,,,,
Blackpool,38,,,,,,
Blaenau Gwent,40,,,,,,
Bolsover,39,,,,,,
Bolton,109,,,,,,
Boston,42,,,,,,
Bournemouth,20,,,,,,
Bracknell Forest,31,,,,,,
Bradford,232,,,,,,
Braintree,69,,,,,,
Breckland,63,,,,,,
Brent,34,,,,,,
Brentwood,33,,,,,,
Bridgend,69,,,,,,
Brighton & Hove,114,,,,,,
Bristol,180,,,,,,
Broadland,45,,,,,,
Bromley,57,,,,,,
Bromsgrove,28,,,,,,
Broxbourne,25,,,,,,
Broxtowe,41,,,,,,
Burnley,48,,,,,,
Bury,79,,,,,,
Caerphilly,95,,,,,,
Calderdale,140,,,,,,
Cambridge,44,,,,,,
Camden,88,,,,,,
Cannock Chase,39,,,,,,
Canterbury,57,,,,,,
Cardiff,69,,,,,,
Carlisle,64,,,,,,
Carmarthenshire,188,,,,,,
Castle Point,8,,,,,,
Central Bedfordshire,133,,,,,,
Ceredigion,67,,,,,,
Charnwood,76,,,,,,
Chelmsford,73,,,,,,
Cheltenham,37,,,,,,
Cherwell,73,,,,,,
Cheshire East,222,,,,,,
Cheshire West & Chester,154,,,,,,
Chesterfield,71,,,,,,
Chichester,69,,,,,,
Chiltern,31,,,,,,
Chorley,64,,,,,,
Christchurch,7,,min- 7,,,,
City of Edinburgh,181,,max - 349,,,,
City of London,19,,,,,,
Clackmannanshire,25,,,,,,
Colchester,56,,,,,,
Conwy,74,,,,,,
Copeland,59,,,,,,
Corby,20,,,,,,
Cornwall,349,,,,,,
Cotswold,57,,,,,,
County Durham,297,,,,,,
Coventry,62,,,,,,
Craven,54,,,,,,
Crawley,20,,,,,,
Croydon,53,,,,,,
Dacorum,47,,,,,,
Darlington,34,,,,,,
Dartford,41,,,,,,
Daventry,43,,,,,,
Denbighshire,85,,,,,,
Derby,84,,,,,,
Derbyshire Dales,107,,,,,,
Doncaster,107,,,,,,
Dover,79,,,,,,
Dudley,147,,,,,,
Dumfries and Galloway,139,,,,,,
Dundee City,67,,,,,,
Ealing,53,,,,,,
East Ayrshire,82,,,,,,
East Cambridgeshire,36,,,,,,
East Devon,71,,,,,,
East Dorset,22,,,,,,
East Dunbartonshire,20,,,,,,
East Hampshire,55,,,,,,
East Hertfordshire,88,,,,,,
East Lindsey,123,,,,,,
East Lothian,48,,,,,,
East Northamptonshire,44,,,,,,
East Renfrewshire,16,,,,,,
East Riding of Yorkshire,215,,,,,,
East Staffordshire,77,,,,,,
Eastbourne,22,,,,,,
Eastleigh,23,,,,,,
Eden,55,,,,,,
Comhairle nan Eilean Siar,15,,min- 15,,,,
Elmbridge,30,,max - 236,,,,
Enfield,46,,,,,,
Epping Forest,54,,,,,,
Epsom & Ewell,15,,,,,,
Erewash,63,,,,,,
Exeter,34,,,,,,
Falkirk,64,,,,,,
Fareham,19,,,,,,
Fenland,54,,,,,,
Fife,190,,,,,,
Flintshire,103,,,,,,
Forest Heath,25,,,,,,
Forest of Dean,67,,,,,,
Fylde,21,,,,,,
Gateshead,97,,,,,,
Gedling,35,,,,,,
Glasgow City,236,,,,,,
Gloucester,22,,,,,,
Gosport,26,,,,,,
Gravesham,52,,,,,,
Great Yarmouth,57,,,,,,
Greenwich,68,,,,,,
Guildford,42,,,,,,
Gwynedd,100,,,,,,
Hackney,76,,,,,,
