Node,"Number of Community Pharmacist Consultation Service (CPCS) Fees May 21","Number of Community Pharmacist Consultation Service (CPCS) Fees May 2022"
"Cheshire and Merseyside",6393,4926
"Staffordshire and Stoke-on-Trent",1710,834
"Shropshire, Telford and Wrekin",651,428
Lincolnshire,1063,801
"Leicester, Leicestershire and Rutland",2044,1266
"Coventry and Warwickshire",1000,1053
"Herefordshire and Worcestershire",948,971
"Norfolk and Waveney",814,711
"Suffolk and North East Essex",1269,1142
"Bedfordshire, Luton and Milton Keynes",1369,770
"Hertfordshire and West Essex",1832,1177
"Mid and South Essex",1638,1374
"North West London",1510,1162
"North Central London",1271,487
"North East London",4907,1635
"South East London",1932,1548
"South West London",1444,684
"Kent and Medway",3732,2507
Frimley,1041,495
"Cornwall and the Isles of Scilly",487,218
Devon,1030,994
Somerset,1097,410
"Bristol, North Somerset and South Gloucestershire",3702,2331
"Bath and North East Somerset, Swindon and Wiltshire",2028,644
Dorset,668,631
"Hampshire and Isle of Wight",1625,1310
Gloucestershire,377,401
"Buckinghamshire, Oxfordshire and Berkshire West",1211,1353
"Lancashire and South Cumbria",3567,2636
"North East and North Cumbria",3784,4329
"Humber and North Yorkshire",2385,1712
"Surrey Heartlands",767,575
Sussex,2078,1610
"West Yorkshire",3859,2913
"Birmingham and Solihull",1516,1181
"Cambridgeshire and Peterborough",1474,931
"Greater Manchester",6836,3729
"Derby and Derbyshire",1593,1004
Northamptonshire,1203,874
"Nottingham and Nottinghamshire",1096,814
"South Yorkshire",2611,1774
"Black Country",1962,1458
