Node,eer
Hartlepool,2
Middlesbrough,4
Redcar and Cleveland,4
Stockton-on-Tees,2
Darlington,4
Halton,4
Warrington,2
Blackburn with Darwen,4
Blackpool,4
"Kingston upon Hull, City of",2
East Riding of Yorkshire,4
North East Lincolnshire,4
North Lincolnshire,2
York,4
Derby,4
Leicester,2
Rutland,4
Nottingham,4
"Herefordshire, County of",2
Telford and Wrekin,4
Stoke-on-Trent,4
Bath and North East Somerset,2
"Bristol, City of",4
North Somerset,4
South Gloucestershire,2
Plymouth,4
Torbay,4
Swindon,2
Peterborough,4
Luton,4
Southend-on-Sea,2
Thurrock,4
Medway,4
Bracknell Forest,2
West Berkshire,4
Reading,4
Slough,2
Windsor and Maidenhead,4
Wokingham,4
Milton Keynes,2
Brighton and Hove,4
Portsmouth,4
Southampton,2
Isle of Wight,4
County Durham,4
Cheshire East,2
Cheshire West and Chester,4
Shropshire,4
Cornwall,2
Isles of Scilly,4
Wiltshire,4
Bedford,2
Central Bedfordshire,4
Northumberland,4
"Bournemouth, Christchurch and Poole",2
Dorset,4
Buckinghamshire,4
North Northamptonshire,2
West Northamptonshire,4
Bolton,4
Bury,2
Manchester,4
Oldham,4
Rochdale,2
Salford,4
Stockport,4
Tameside,2
Trafford,4
Wigan,4
Knowsley,2
Liverpool,4
St. Helens,4
Sefton,2
Wirral,4
Barnsley,4
Doncaster,2
Rotherham,4
Sheffield,4
Newcastle upon Tyne,2
North Tyneside,4
South Tyneside,4
Sunderland,2
Birmingham,4
Coventry,4
Dudley,2
Sandwell,4
Solihull,4
Walsall,2
Wolverhampton,4
Bradford,4
Calderdale,2
Kirklees,4
Leeds,4
Wakefield,2
Gateshead,4
City of London,4
Barking and Dagenham,2
Barnet,4
Bexley,4
Brent,2
Bromley,4
Camden,4
Croydon,2
Ealing,4
Enfield,4
Greenwich,2
Hackney,4
Hammersmith and Fulham,4
Haringey,2
Harrow,4
Havering,4
Hillingdon,2
Hounslow,4
Islington,4
Kensington and Chelsea,2
Kingston upon Thames,4
Lambeth,4
Lewisham,2
Merton,4
Newham,4
Redbridge,2
Richmond upon Thames,4
Southwark,4
Sutton,2
Tower Hamlets,4
Waltham Forest,4
Wandsworth,2
Westminster,4
Cambridgeshire,4
Cumbria,2
Derbyshire,4
Devon,4
East Sussex,2
Essex,4
Gloucestershire,4
Hampshire,2
Hertfordshire,4
Kent,4
Lancashire,2
Leicestershire,4
Lincolnshire,4
Norfolk,2
North Yorkshire,4
Nottinghamshire,4
Oxfordshire,2
Somerset,4
Staffordshire,4
Suffolk,2
Surrey,4
Warwickshire,4
West Sussex,2
Worcestershire,4
Antrim and Newtownabbey,4
"Armagh City, Banbridge and Craigavon",2
Belfast,4
Causeway Coast and Glens,4
Derry City and Strabane,2
Fermanagh and Omagh,4
Lisburn and Castlereagh,4
Mid and East Antrim,2
Mid Ulster,4
"Newry, Mourne and Down",4
Ards and North Down,2
Clackmannanshire,4
Dumfries and Galloway,4
East Ayrshire,2
East Lothian,4
East Renfrewshire,4
Na h-Eileanan Siar,2
Falkirk,4
Highland,4
Inverclyde,2
Midlothian,4
Moray,4
North Ayrshire,2
Orkney Islands,4
Scottish Borders,4
Shetland Islands,2
South Ayrshire,4
South Lanarkshire,4
Stirling,2
Aberdeen City,4
Aberdeenshire,4
Argyll and Bute,2
City of Edinburgh,4
Renfrewshire,4
West Dunbartonshire,2
West Lothian,4
Angus,4
Dundee City,2
East Dunbartonshire,4
Fife,4
Perth and Kinross,2
Glasgow City,4
North Lanarkshire,4
Isle of Anglesey,2
Gwynedd,4
Conwy,4
Denbighshire,2
Flintshire,4
Wrexham,4
Ceredigion,2
Pembrokeshire,4
Carmarthenshire,4
Swansea,2
Neath Port Talbot,4
Bridgend,4
Vale of Glamorgan,2
Cardiff,4
Rhondda Cynon Taf,4
Caerphilly,2
Blaenau Gwent,4
Torfaen,4
Monmouthshire,2
Newport,4
Powys,4
Merthyr Tydfil,4
