Node,test
Hartlepool,1
Middlesbrough,5
Redcar and Cleveland,7
Stockton-on-Tees,10
Darlington,20
Halton,30
Warrington,1
Blackburn with Darwen,5
Blackpool,7
"Kingston upon Hull, City of",10
East Riding of Yorkshire,20
North East Lincolnshire,30
North Lincolnshire,1
York,5
Derby,7
Leicester,10
Rutland,20
Nottingham,30
"Herefordshire, County of",1
Telford and Wrekin,5
Stoke-on-Trent,7
Bath and North East Somerset,10
"Bristol, City of",20
North Somerset,30
South Gloucestershire,1
Plymouth,5
Torbay,7
Swindon,10
Peterborough,20
Luton,30
Southend-on-Sea,1
Thurrock,5
Medway,7
Bracknell Forest,10
West Berkshire,20
Reading,30
Slough,1
Windsor and Maidenhead,5
Wokingham,7
Milton Keynes,10
Brighton and Hove,20
Portsmouth,30
Southampton,1
Isle of Wight,5
County Durham,7
Cheshire East,10
Cheshire West and Chester,20
Shropshire,30
Cornwall,1
Isles of Scilly,5
Wiltshire,7
Bedford,10
Central Bedfordshire,20
Northumberland,30
"Bournemouth, Christchurch and Poole",1
Dorset,5
Buckinghamshire,7
Bolton,10
Bury,20
Manchester,30
Oldham,1
Rochdale,5
Salford,7
Stockport,10
Tameside,20
Trafford,30
Wigan,1
Knowsley,5
Liverpool,7
St. Helens,10
Sefton,20
Wirral,30
Barnsley,1
Doncaster,5
Rotherham,7
Sheffield,10
Newcastle upon Tyne,20
North Tyneside,30
South Tyneside,1
Sunderland,5
Birmingham,7
Coventry,10
Dudley,20
Sandwell,30
Solihull,1
Walsall,5
Wolverhampton,7
Bradford,10
Calderdale,20
Kirklees,30
Leeds,1
Wakefield,5
Gateshead,7
City of London,10
Barking and Dagenham,20
Barnet,30
Bexley,1
Brent,5
Bromley,7
Camden,10
Croydon,20
Ealing,30
Enfield,1
Greenwich,5
Hackney,7
Hammersmith and Fulham,10
Haringey,20
Harrow,30
Havering,1
Hillingdon,5
Hounslow,7
Islington,10
Kensington and Chelsea,20
Kingston upon Thames,30
Lambeth,1
Lewisham,5
Merton,7
Newham,10
Redbridge,20
Richmond upon Thames,30
Southwark,1
Sutton,5
Tower Hamlets,7
Waltham Forest,10
Wandsworth,20
Westminster,30
Cambridgeshire,1
Cumbria,5
Derbyshire,7
Devon,10
East Sussex,20
Essex,30
Gloucestershire,1
Hampshire,5
Hertfordshire,7
Kent,10
Lancashire,20
Leicestershire,30
Lincolnshire,1
Norfolk,5
North Yorkshire,7
Nottinghamshire,10
Oxfordshire,20
Somerset,30
Staffordshire,1
Suffolk,5
Surrey,7
Warwickshire,10
West Sussex,20
Worcestershire,30
Isle of Anglesey,1
Gwynedd,5
Conwy,7
Denbighshire,10
Flintshire,20
Wrexham,30
Ceredigion,1
Pembrokeshire,5
Carmarthenshire,7
Swansea,10
Neath Port Talbot,20
Bridgend,30
Vale of Glamorgan,1
Cardiff,5
Rhondda Cynon Taf,7
Caerphilly,10
Blaenau Gwent,20
Torfaen,30
Monmouthshire,1
Newport,5
Powys,7
Merthyr Tydfil,10
North Northamptonshire,20
West Northamptonshire,30
