Node,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"Percentage change 2011-2021"
Albania,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,-3.22
Andorra,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354,-7.63
Armenia,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128,3.18
Austria,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8956279,6.73
Azerbaijan,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10145212,10.6
Belarus,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314,-1.28
Belgium,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,11587882,4.98
"Bosnia and Herzegovina",3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263459,-10.86
Bulgaria,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6899125,-6.11
Croatia,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000,-8.92
Cyprus,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,1215588,8.07
"Czech Republic",10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10703446,1.98
Denmark,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5.14
Estonia,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326855,1329479,1329254,0.14
"Faroe Islands",47815,47843,47901,47965,48055,48173,48326,48497,48677,48865,49053,2.59
Finland,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541696,2.85
France,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67379908,67499343,3.3
Georgia,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,-1.27
Germany,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83129285,3.56
Greece,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10700556,10664568,-3.97
Hungary,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709886,-2.63
Iceland,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372295,16.7
Ireland,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985674,5028230,9.78
Italy,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59449527,59066225,-0.53
Kazakhstan,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19002586,14.77
Kosovo,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1806279,0.85
Latvia,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1883162,-8.57
Liechtenstein,36299,36615,36940,37219,37465,37655,37805,37918,38020,38137,38254,5.39
Lithuania,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2795321,-7.69
Luxembourg,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,639070,23.29
Macedonia,2058539,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,0.32
Malta,416268,420028,425967,434558,445053,455356,467999,484630,504062,515332,516869,24.17
Moldova,2859833,2859458,2858692,2856950,2834530,2802170,2755158,2708214,2664974,2620495,2573928,-10
Monaco,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244,39520,9.7
Montenegro,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,620173,0.02
Netherlands,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533405,5.03
Norway,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,9.19
Poland,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37781024,-0.74
Portugal,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10299423,-2.45
Romania,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19257520,19115146,-5.12
Russia,142960908,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143446060,0.34
"San Marino",31655,32103,32554,32941,33270,33503,33671,33784,33864,33938,34010,7.44
Serbia,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6844078,-5.39
Slovakia,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,0.91
Slovenia,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2107007,2.64
Spain,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47363419,47326687,1.25
Sweden,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10.23
Switzerland,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8636561,8697723,9.93
Turkey,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067,85042736,15.79
Ukraine,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43814581,-4.14
"United Kingdom",63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569,6.43
