Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Hartlepool,1349.57,,17.45,17.45,,,,18.73,3.66,3.81,3.87,1.7,6.43,4.34,4.42,4.91,1.7,6.75,N/a,N/a,N/a,N/a,N/a,4.34,4.42,4.91,1.75,7.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Redcar and Cleveland",1411.11,,16.92,16.92,,58.24,58.24,18.37,"Individual basis","Individual basis","Individual basis","Individual basis",8.4,"Individual basis","Individual basis","Individual basis","Individual basis",7.5,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",8.8,5.7,6,2.1,7.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Halton,1441.96,,16.45,16.45,207.43,,207.43,17.83,3.5,12.46,3.5,3,6,3.5,4.8,4.7,2.1,6,14.2,3.3,3.1,5.4,6,3.5,7.73,13.5,2.1,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Warrington,2800,,17,17,,,,19.32,"Individual basis","Individual basis","Individual basis","Individual basis",6,"Individual basis","Individual basis",4.5,4.5,6,0,9,6.2,0,0,3,15,8,7,13,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Blackburn with Darwen",1352.98,,17.62,17.62,,,,17.17,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",2.9,4,4.69,7.85,0,"Individual basis","Individual basis","Individual basis","Individual basis",0,4.85,5.6,8.09,9.85,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Blackpool,606.4,1538.5,,1538.5,164.61,,164.61,20.7,3.5,4,2.9,2.5,7.4,3.5,4.2,4.2,2.8,8.9,3.5,4.4,5.3,2.1,9.6,3.5,4.2,4.2,2.8,7.9,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"North Lincolnshire",1043.26,,17.35,17.35,,103.96,103.96,18.25,"Information not held",0.37,5.49,2.04,6.76,"Information not held",4.55,5.15,3,6.82,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Information not held",4.55,5.15,3,6.82,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
York,2116.01,,20.27,20.27,,,,20.61,3,4,2,3,3,3,4,2,3,3,3,4,2,3,3,3,4,2,3,3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Leicester,1560,,18.12,18.12,,35.3,35.3,17.94,4.72,5.25,5.82,3.41,6.7,2.04,3.7,4.63,2.34,6.73,N/a,3.99,3.62,1.26,4.28,3.71,2.81,6.82,2.31,7,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Nottingham,1724.12,,16.81,16.81,,,,18.29,3.2,2,0,2.1,4.6,N/a,2,2.66,3.37,6.32,0,0,0,2.2,6.2,0,2,2.72,3.7,6.27,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Herefordshire, County of",1579.93,,17.07,17.07,,,,21.5,1.8,3.12,4.42,1.56,6,2.5,0,11.25,1.91,3,2.5,0,5,1.91,0,2.53,15.4,11.93,2.12,6.23,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Telford and Wrekin",1990,,18.62,18.62,,76,76,18.87,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Stoke-on-Trent,,,16,16,,,,20,4.4,2.9,3.6,1.4,5.5,"Information not held","Information not held",3.5,2.8,2.8,N/a,N/a,N/a,N/a,N/a,N/a ,4.9,2.5,0,3.2,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Bath and North East Somerset",1477.07,,19.44,19.44,,46.69,46.69,,1,1,1,"Fair Price of Care Introduced","Fair Price of Care Introduced",1,1,1,"Fair Price of Care Introduced",6.7,1,1,1,"Fair Price of Care Introduced","Fair Price of Care Introduced",N/a,N/a,N/a,N/a,N/a,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"North Somerset",1718.51,,18.75,18.75,,,,19.67,4.6.,4.7,3,6.6,0,0,2.6,2,6,0,3,2,2,5,0,0,2.9,2,6.2,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"South Gloucestershire",1859.98,,21,21,,120.18,120.18,19.81,1.9,2.4,2,2.3,6,1.9,2.4,2,2.3,6,1.9,2.4,2,2.3,6,1.9,2.4,2,2.3,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Plymouth,665,,18.25,18.25,,,,19.87,3.88,3.73,6.44,2.14,7.49,24.69,3.84,7.4,2.07,7.29,0,0,3.29,0,7.67,7.48,6.63,10.1,2.09,10.02,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Torbay,1296,802,,802,181,,181,22.48,1.6,2,3,2,6,3.8,3.8,3,2,6,3.8,3.8,3,2,6,3.8,3.8,4.7,2,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Swindon,1608,,17.76,17.76,,,,20.68,0,2.5,1.8,1.8,4.5,0,0,4,3.4,4.5,2.11,2,2.8,4.9,5,2.07,2.86,3.9,3.58,5.08,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Peterborough,1690.9,,16.64,16.64,,94.8,94.8,17.05,"Information not held","Information not held",2.43,2.3,2.2,"Newly awarded contract","Information not held",2.9,2.04,5.3,"Information not held","Information not held",2,"Information not held",2.2,"Newly awarded contract",0,5,"Information not held",5.3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Southend-on-Sea,576.45,,,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Medway,1566,1171,,1171,230,,230,17.72,1.6,1.6,1.6,1,3.8,1.6,1.6,1.6,1,3.6,N/a,2,1.6,1,3,3.1,4.9,1.6,1,5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Bracknell Forest",1927,,17,17,,,,17.35,2,1.8,0,2,2.5,2,1.8,0,2,3,2,1.8,0,2,3,2,1.8,0,2,3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"West Berkshire",1832,,17.41,17.41,,,,18.82,"Information not held","Information not held",1.5,1,5.6,"Information not held","Information not held",1.5,1,5.6,"Information not held","Information not held",1.5,1,5.6,"Information not held","Information not held",1.5,1,5.6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
