Node,tr,ee,tre
Avon,1,1,1
Bedfordshire,2,2,2
Royal Berkshire,4,4,4
Buckinghamshire & Milton Keynes,,,
Cambridgeshire,5,5,5
Cheshire,6,6,6
Cleveland,7,7,7
Cornwall,8,8,8
Cumbria,9,9,9
Derbyshire,97,97,97
Devon & Somerset,64,64,64
County Durham and Darlington,435,435,435
East Sussex,234,234,234
Essex,5643,5643,5643
Gloucestershire,23,23,23
Hereford & Worcester,53,53,53
Hertfordshire,25,25,25
Humberside,75,75,75
Kent,1,1,1
Lancashire,2,2,2
Leicestershire,4,4,4
Lincolnshire,,,
Norfolk,5,5,5
North Yorkshire,6,6,6
Northamptonshire,7,7,7
Northumberland,8,8,8
Nottinghamshire and City of Nottingham,9,9,9
Oxfordshire,97,97,97
Shropshire,64,64,64
Stoke-on-Trent and Staffordshire,435,435,435
Suffolk,234,234,234
Surrey,5643,5643,5643
Warwickshire,23,23,23
West Sussex,53,53,53
Isles of Scilly,25,25,25
Greater Manchester,75,75,75
Merseyside,1,1,1
South Yorkshire,2,2,2
Tyne and Wear,4,4,4
West Midlands,,,
West Yorkshire,5,5,5
London Fire and Emergency Planning Authority,6,6,6
Dorset & Wiltshire,7,7,7
Hampshire and Isle of Wight,8,8,8
North Wales,9,9,9
Mid and West Wales,97,97,97
South Wales,64,64,64
