Node,fd
Avon,2
Bedfordshire,23
Royal Berkshire,4
Buckinghamshire and Milton Keynes,1
Cambridgeshire,3
Cheshire,4
Cleveland,5
Cornwall,6
Cumbria,2
Derbyshire,23
Devon and Somerset,4
County Durham and Darlington,1
East Sussex,3
Essex,4
Gloucestershire,5
Hereford and Worcester,6
Hertfordshire,2
Humberside,23
Kent,4
Lancashire,1
Leicestershire,3
Lincolnshire,4
Norfolk,5
North Yorkshire,6
Northamptonshire,2
Northumberland,23
Nottinghamshire and City of Nottingham,4
Oxfordshire,1
Shropshire,3
Stoke-on-Trent and Staffordshire,4
Suffolk,5
Surrey,6
Warwickshire,2
West Sussex,23
Isles of Scilly,4
Greater Manchester,1
Merseyside,3
South Yorkshire,4
Tyne and Wear,5
West Midlands,6
West Yorkshire,2
London Fire and Emergency Planning Authority,23
Dorset and Wiltshire,4
Hampshire and Isle of Wight,1
North Wales,3
Mid and West Wales,4
South Wales,5
