Node,"Local Authority","EV strategy","Fleet Engagement","Fleet Resources",Email,"Percentage Yes","Percentage No","Percentage in draft","Clear engagement","No evidence of engagement","Some/limited engagement","Clear contact and no support materials/process","Clear contact and support materials/process","No clear contact and no support materials/process","No clear contact and support materials/process"
"Scarborough and Whitby","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
Guildford,Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"Preseli Pembrokeshire",Pembrokeshire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Kingston upon Hull East","Kingston upon Hull City of",No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leeds Central",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leicester East",Leicester,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Cardiff North",Cardiff,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Nottingham South",Nottingham,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bolton West",Bolton,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Antrim","Antrim and Newtownabbey",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Reading West",Reading,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Hove,"Brighton and Hove",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Electric.Vehicles@brighton-hove.gov.uk,37,31,32,3,40,57,17,21,33,29
"Harrogate and Knaresborough","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
"Brighton, Pavilion","Brighton and Hove",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Electric.Vehicles@brighton-hove.gov.uk,37,31,32,3,40,57,17,21,33,29
"Boston and Skegness",Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Truro and Falmouth",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
Totnes,Torbay,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hayes and Harlington",Hillingdon,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
