Node,Highway Incidents,Footpath / Bridleway Incidents,Back Alleyway Incidents,Railway Incidents,Council Land Incidents,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Hartlepool,1165,2029,5742,8,3617,969,893,1296,1423,1730,2291,1835,1586,2590
Middlesbrough,3337,4918,2980,17,8623,2198,2765,3024,2088,2687,2265,2477,2113,2588
Redcar and Cleveland,4524,7792,20281,69,5610,2424,2724,2676,2094,2825,5785,6772,9001,8686
Stockton-on-Tees,4484,1690,4538,10,8924,2081,2030,2431,2858,2698,2064,2135,1920,2618
Darlington,4179,2348,12728,7,4313,2340,2914,3282,2982,2886,3052,3006,2838,3411
Halton,699,1053,2543,37,1058,600,586,702,871,932,795,580,458,559
Warrington,1107,973,2907,10,812,378,539,530,1200,975,1087,989,838,1419
Blackburn with Darwen,3468,1728,27588,14,1442,2887,3467,3034,3817,3883,3857,3494,3763,6509
Blackpool,6269,3,27572,0,307,3979,4656,4328,4190,3920,3424,3568,3319,3907
"Kingston upon Hull, City of",12540,9997,1441,1,10573,4457,3858,3462,4368,5276,4476,3936,5945,6044
East Riding of Yorkshire,5112,1250,3023,5,1132,586,990,980,1296,1525,1356,1346,1442,1287
North East Lincolnshire,2250,10574,1429,8,1075,1033,1603,1351,1630,1779,1652,1934,2343,2470
North Lincolnshire,3750,1138,11849,19,2032,1001,2702,5291,2532,2459,1709,1488,1119,1262
York,4937,497,2733,10,2574,1034,1117,1138,1223,1518,1539,1483,1540,1808
Derby,44726,2060,78,0,1098,3865,4845,5236,4283,5316,5640,6004,5728,7207
Leicester,59442,359,11,0,1887,7896,6592,8416,9442,8716,8512,7997,7633,9999
Rutland,1855,107,11,0,437,163,175,284,266,461,329,340,219,284
Nottingham,31224,3863,448,0,624,0,0,0,0,0,7374,7864,10859,11148
"Herefordshire, County of",1796,394,121,4,2102,636,572,886,1031,912,1117,492,685,392
Telford and Wrekin,2464,3495,1461,14,24084,2819,4033,4165,3405,3254,2911,2594,3330,5380
Stoke-on-Trent,5429,6359,32629,1,3802,3586,4270,6889,7111,8374,5846,4818,3960,4515
Bath and North East Somerset,5666,1510,233,3,2749,636,413,530,1035,860,1160,1809,2169,2966
"Bristol, City of",62254,2713,715,15,2634,6358,10472,9709,0,9356,8206,7772,8655,9286
North Somerset,11909,821,306,0,665,1580,2111,2343,0,2064,2215,1484,1547,1377
South Gloucestershire,12645,472,106,0,448,1027,1258,1359,1360,1495,1617,1719,1536,2481
Plymouth,433,2132,91121,26,2067,10970,13004,13503,6316,718,13953,19622,10933,7016
Torbay,4698,84,138,2,90,720,1081,1022,1051,822,790,738,741,775
Swindon,237,6283,1697,0,4707,1118,1480,2940,0,2341,1578,1435,1504,739
Peterborough,2929,2962,796,42,57528,4236,7604,6891,6765,8186,7198,7282,6820,9744
Luton,7529,556,320,10,33015,2650,3262,4273,4632,4946,5683,5405,6190,4602
Southend-on-Sea,4223,523,166,1,502,453,255,209,293,405,775,898,886,1429
Thurrock,2997,4246,1403,8,2131,999,1113,1810,2231,0,3140,2174,1204,1114
Medway,5894,16341,5925,4,10462,4576,5200,5083,3559,3637,3525,5141,5713,5998
Bracknell Forest,1372,497,20,3,1189,548,546,424,310,310,354,545,604,629
West Berkshire,6087,1260,54,4,1028,911,1108,1084,972,1073,817,884,886,1151
Reading,15011,278,931,2,2410,2139,2244,2596,2570,3066,2509,1569,1835,1628
Slough,5619,489,64,5,2099,630,700,781,674,534,485,1020,1567,2821
Windsor and Maidenhead,3908,1976,123,5,844,597,462,416,584,675,720,626,944,2034
Wokingham,6304,1181,4,1,861,589,593,566,663,857,747,1117,1155,2284
Milton Keynes,713,3020,972,21,37784,3531,4571,6032,4282,4120,3751,5754,4899,5819
Brighton and Hove,10391,5945,516,3,350,2076,2082,4187,0,2520,2348,1955,2100,1527
Portsmouth,2009,76,161,5,5686,646,1029,923,1099,1048,1285,1234,974,724
Southampton,38394,23942,2746,0,16361,7819,6203,5569,8100,10046,11107,11400,11824,9980
Isle of Wight,5618,113,33,2,302,189,707,786,739,870,827,727,575,749
County Durham,11046,6595,11243,35,31317,6421,9004,8779,7321,7768,7629,7269,6125,8559
Cheshire East,12193,1325,9386,20,1158,1377,2077,2116,2879,3037,2810,2830,2746,4321
Cheshire West and Chester,16094,3397,8189,135,4676,2692,3389,3932,3638,4160,3997,4068,3722,5731
Shropshire,8807,706,156,49,967,1320,1660,1474,1314,1260,1073,1035,888,1004
Cornwall,18741,4300,2773,42,7748,4019,3509,4440,4893,4731,4698,4549,3657,3734
Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wiltshire,11231,4818,462,37,3508,1567,1756,2218,2647,3019,3167,2822,2823,3742
Bedford,21035,3510,1591,6,1893,4943,4503,3648,3151,2906,3010,2338,2137,3063
Central Bedfordshire,4400,865,234,10,3449,1306,1319,1376,1428,1153,947,1049,786,670
