Node,test
"NHS Cheshire and Merseyside Integrated Care Board",23
"NHS Staffordshire and Stoke-on-Trent Integrated Care Board",43
"NHS Shropshire, Telford and Wrekin Integrated Care Board",563
"NHS Lincolnshire Integrated Care Board",23
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",5453
"NHS Coventry and Warwickshire Integrated Care Board",123
"NHS Herefordshire and Worcestershire Integrated Care Board",3
"NHS Norfolk and Waveney Integrated Care Board",45
"NHS Suffolk and North East Essex Integrated Care Board",32
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",654
"NHS Hertfordshire and West Essex Integrated Care Board",32
"NHS Mid and South Essex Integrated Care Board",4
"NHS North West London Integrated Care Board",674
"NHS North Central London Integrated Care Board",321
"NHS North East London Integrated Care Board",9876
"NHS South East London Integrated Care Board",5
"NHS South West London Integrated Care Board",3
"NHS Kent and Medway Integrated Care Board",2
"NHS Frimley Integrated Care Board",1
"NHS Cornwall and the Isles of Scilly Integrated Care Board",5.7
"NHS Devon Integrated Care Board",453
"NHS Somerset Integrated Care Board",45
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",3
"NHS Dorset Integrated Care Board",4
"NHS Hampshire and Isle of Wight Integrated Care Board",3
"NHS Gloucestershire Integrated Care Board",2
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",4
"NHS Lancashire and South Cumbria Integrated Care Board",5
"NHS North East and North Cumbria Integrated Care Board",6
"NHS Humber and North Yorkshire Integrated Care Board",5
"NHS Surrey Heartlands Integrated Care Board",78
"NHS Sussex Integrated Care Board",3
"NHS West Yorkshire Integrated Care Board",65
"NHS Birmingham and Solihull Integrated Care Board",34
"NHS Cambridgeshire and Peterborough Integrated Care Board",34
"NHS Greater Manchester Integrated Care Board",54
"NHS Derby and Derbyshire Integrated Care Board",654
"NHS Northamptonshire Integrated Care Board",53
"NHS Nottingham and Nottinghamshire Integrated Care Board",34
"NHS South Yorkshire Integrated Care Board",566
"NHS Black Country Integrated Care Board",54
