Node,fd,d
Cheshire and Merseyside,1,
Staffordshire and Stoke-on-Trent,2,
"Shropshire, Telford and Wrekin",3,
Lincolnshire,4,
"Leicester, Leicestershire and Rutland",5,
Coventry and Warwickshire,6,
Herefordshire and Worcestershire,7,
Norfolk and Waveney,1,
Suffolk and North East Essex,2,
"Bedfordshire, Luton and Milton Keynes",3,
Hertfordshire and West Essex,4,
Mid and South Essex,5,
North West London,6,
North Central London,7,
North East London,1,
South East London,2,
South West London,3,
Kent and Medway,4,
Frimley,5,
Cornwall and the Isles of Scilly,6,
Devon,7,
Somerset,1,
"Bristol, North Somerset and South Gloucestershire",2,
"Bath and North East Somerset, Swindon and Wiltshire",3,
Dorset,4,
Hampshire and Isle of Wight,5,
Gloucestershire,6,
"Buckinghamshire, Oxfordshire and Berkshire West",7,
Lancashire and South Cumbria,1,
North East and North Cumbria,2,
Humber and North Yorkshire,3,
Surrey Heartlands,4,
Sussex,5,
West Yorkshire,6,
Birmingham and Solihull,7,
Cambridgeshire and Peterborough,1,
Greater Manchester,2,
Derby and Derbyshire,3,
Northamptonshire,4,
Nottingham and Nottinghamshire,5,
South Yorkshire,6,
Black Country,7,
