Node,fdf,rewre
Barking and Dagenham,1,1
Barnet,2,2
Bexley,4,4
Brent,5,5
Bromley,4,4
Camden,t,t
Croydon,3,3
Ealing,7,7
Enfield,5,5
Greenwich,5,5
Hackney,7,7
Hammersmith and Fulham,1,1
Haringey,2,2
Harrow,4,4
Havering,5,5
Hillingdon,4,4
Hounslow,t,t
Islington,3,3
Kensington and Chelsea,7,7
Kingston upon Thames,5,5
Lambeth,5,5
Lewisham,7,7
Merton,1,1
Newham,2,2
Redbridge,4,4
Richmond upon Thames,5,5
Southwark,4,4
Sutton,t,t
Tower Hamlets,3,3
Waltham Forest,7,7
Wandsworth,5,5
Westminster,5,5
City of London,7,7
