Node,tr,ee,tre
Metropolitan Police,1,1,1
Cumbria,2,2,2
Lancashire,4,4,4
Merseyside,,,
Greater Manchester,5,5,5
Cheshire,6,6,6
Northumbria,7,7,7
Durham,8,8,8
North Yorkshire,9,9,9
West Yorkshire,97,97,97
South Yorkshire,64,64,64
Humberside,435,435,435
Cleveland,234,234,234
West Midlands,5643,5643,5643
Staffordshire,23,23,23
West Mercia,53,53,53
Warwickshire,25,25,25
Derbyshire,75,75,75
Nottinghamshire,1,1,1
Lincolnshire,2,2,2
Leicestershire,4,4,4
Northamptonshire,,,
Cambridgeshire,5,5,5
Norfolk,6,6,6
Suffolk,7,7,7
Bedfordshire,8,8,8
Hertfordshire,9,9,9
Essex,97,97,97
Thames Valley,64,64,64
Hampshire,435,435,435
Surrey,234,234,234
Kent,5643,5643,5643
Sussex,23,23,23
"London, City of",53,53,53
Devon & Cornwall,25,25,25
Avon and Somerset,75,75,75
Gloucestershire,1,1,1
Wiltshire,2,2,2
Dorset,4,4,4
North Wales,,,
Gwent,5,5,5
South Wales,6,6,6
Dyfed-Powys,7,7,7
