Node,sd
Metropolitan Police,2
Cumbria,1
Lancashire,3
Merseyside,4
Greater Manchester,5
Cheshire,6
Northumbria,7
Durham,8
North Yorkshire,2
West Yorkshire,1
South Yorkshire,3
Humberside,4
Cleveland,5
West Midlands,6
Staffordshire,7
West Mercia,8
Warwickshire,2
Derbyshire,1
Nottinghamshire,3
Lincolnshire,4
Leicestershire,5
Northamptonshire,6
Cambridgeshire,7
Norfolk,8
Suffolk,2
Bedfordshire,1
Hertfordshire,3
Essex,4
Thames Valley,5
Hampshire,6
Surrey,7
Kent,8
Sussex,2
"London, City of",1
Devon and Cornwall,3
Avon and Somerset,4
Gloucestershire,5
Wiltshire,6
Dorset,7
North Wales,8
Gwent,2
South Wales,1
Dyfed-Powys,3
