Node,re
AB10,1
AB11,2
AB12,3
AB13,4
AB14,5
AB15,6
AB16,1
AB21,2
AB22,3
AB23,4
AB24,5
AB25,6
AB30,1
AB31,2
AB32,3
AB33,4
AB34,5
AB35,6
AB36,1
AB37,2
AB38,3
AB39,4
AB41,5
AB42,6
AB43,1
AB44,2
AB45,3
AB51,4
AB52,5
AB53,6
AB54,1
AB55,2
AB56,3
AL1,4
AL2,5
AL3,6
AL4,1
AL5,2
AL6,3
AL7,4
AL8,5
AL9,6
AL10,1
B1,2
B2,3
B3,4
B4,5
B5,6
B6,1
B7,2
B8,3
B9,4
B10,5
B11,6
B12,1
B13,2
B14,3
B15,4
B16,5
B17,6
B18,1
B19,2
B20,3
B21,4
B23,5
B24,6
B25,1
B26,2
B27,3
B28,4
B29,5
B30,6
B31,1
B32,2
B33,3
B34,4
B35,5
B36,6
B37,1
B38,2
B40,3
B42,4
B43,5
B44,6
B45,1
B46,2
B47,3
B48,4
B49,5
B50,6
B60,1
B61,2
B62,3
B63,4
B64,5
B65,6
B66,1
B67,2
B68,3
B69,4
B70,5
B71,6
B72,1
B73,2
B74,3
B75,4
B76,5
B77,6
B78,1
B79,2
B80,3
B90,4
B91,5
B92,6
B93,1
B94,2
B95,3
B96,4
B97,5
B98,6
BA1,1
BA2,2
BA3,3
BA4,4
BA5,5
BA6,6
BA7,1
BA8,2
BA9,3
BA10,4
BA11,5
BA12,6
BA13,1
BA14,2
BA15,3
BA16,4
BA20,5
BA21,6
BA22,1
BB1,2
BB2,3
BB3,4
BB4,5
BB5,6
BB6,1
BB7,2
BB8,3
BB9,4
BB10,5
BB11,6
BB12,1
BB18,2
BD1,3
BD2,4
BD3,5
BD4,6
BD5,1
BD6,2
BD7,3
BD8,4
BD9,5
BD10,6
BD11,1
BD12,2
BD13,3
BD14,4
BD15,5
BD16,6
BD17,1
BD18,2
BD19,3
BD20,4
BD21,5
BD22,6
BD23,1
BD24,2
BH1,3
BH2,4
BH3,5
BH4,6
BH5,1
BH6,2
BH7,3
BH8,4
BH9,5
BH10,6
BH11,1
BH12,2
BH13,3
BH14,4
BH15,5
BH16,6
BH17,1
BH18,2
BH19,3
BH20,4
BH21,5
BH22,6
BH23,1
BH24,2
BH25,3
BH31,4
BL0,5
BL1,6
BL2,1
BL3,2
BL4,3
BL5,4
BL6,5
BL7,6
BL8,1
BL9,2
BN1,3
BN2,4
BN3,5
BN5,6
BN6,1
BN7,2
BN8,3
BN9,4
BN10,5
BN11,6
BN12,1
BN13,2
BN14,3
BN15,4
BN16,5
BN17,6
BN18,1
BN20,2
BN21,3
BN22,4
BN23,5
BN24,6
BN25,1
BN26,2
BN27,3
BN41,4
BN42,5
BN43,6
BN44,1
BN45,2
BR1,3
BR2,4
BR3,5
BR4,6
BR5,1
BR6,2
BR7,3
BR8,4
BS1,5
BS2,6
BS3,1
BS4,2
BS5,3
BS6,4
BS7,5
BS8,6
BS9,1
BS10,2
BS11,3
BS13,4
BS14,5
BS15,6
BS16,1
BS20,2
BS21,3
BS22,4
BS23,5
BS24,6
BS25,1
BS26,2
BS27,3
BS28,4
BS29,5
BS30,6
BS31,1
BS32,2
BS34,3
BS35,4
BS36,5
BS37,6
BS39,1
BS40,2
BS41,3
BS48,4
BS49,5
BT1,6
BT2,1
BT3,2
BT4,3
BT5,4
BT6,5
BT7,6
BT8,1
BT9,2
BT10,3
BT11,4
BT12,5
BT13,6
BT14,1
BT15,2
BT16,3
BT17,4
BT18,5
BT19,6
BT20,1
BT21,2
BT22,3
BT23,4
BT24,5
BT25,6
BT26,1
BT27,2
BT28,3
BT29,4
BT30,5
BT31,6
BT32,1
BT33,2
BT34,3
BT35,4
BT36,5
BT37,6
BT38,1
BT39,2
BT40,3
BT41,4
BT42,5
BT43,6
BT44,1
BT46,2
BT47,3
BT48,4
BT49,5
BT51,6
BT52,1
BT53,2
BT54,3
BT55,4
BT56,5
BT57,6
BT60,1
BT61,2
BT62,3
BT63,4
BT64,5
BT65,6
BT66,1
BT67,2
BT68,3
BT69,4
BT70,5
BT71,6
BT74,1
BT75,2
BT76,3
BT77,4
BT78,5
BT80,6
BT81,1
BT92,2
BT93,3
BT94,4
CA1,5
CA2,6
CA3,1
CA4,2
CA5,3
CA6,4
CA7,5
CA8,6
CA9,1
CA10,2
CA11,3
CA12,4
CA13,5
CA14,6
CA15,1
CA16,2
CA17,3
CA18,4
CA19,5
CA20,6
CA21,1
CA22,2
CA23,3
CA24,4
CA25,5
CA26,6
CA27,1
CA28,2
CB1,3
CB2,4
CB3,5
CB4,6
CB5,1
CB6,2
CB7,3
CB8,4
CB9,5
CB10,6
CB11,1
CB21,2
CB22,3
CB23,4
CB24,5
CB25,6
CF3,1
CF5,2
CF10,3
CF11,4
CF14,5
CF15,6
CF23,1
CF24,2
CF31,3
CF32,4
CF33,5
CF34,6
CF35,1
CF36,2
CF37,3
CF38,4
CF39,5
CF40,6
CF41,1
CF42,2
CF43,3
CF44,4
CF45,5
CF46,6
CF47,1
CF48,2
CF61,3
CF62,4
CF63,5
CF64,6
CF71,1
CF72,2
CF81,3
CF82,4
CF83,5
CH1,6
CH2,1
CH3,2
CH4,3
CH5,4
CH6,5
CH7,6
CH8,1
CH41,2
CH42,3
CH43,4
CH44,5
CH45,6
CH46,1
CH47,2
CH48,3
CH49,4
CH60,5
CH61,6
CH62,1
CH63,2
CH64,3
CH65,4
CH66,5
CM0,6
CM1,1
CM2,2
CM3,3
CM4,4
CM5,5
CM6,6
CM7,1
CM8,2
CM9,3
CM11,4
CM12,5
CM13,6
CM14,1
CM15,2
CM16,3
CM17,4
CM18,5
CM19,6
CM20,1
CM21,2
CM22,3
CM23,4
CM24,5
CM77,6
CO1,1
CO2,2
CO3,3
CO4,4
CO5,5
CO6,6
CO7,1
CO8,2
CO9,3
CO10,4
CO11,5
CO12,6
CO13,1
CO14,2
CO15,3
CO16,4
CR0,5
CR2,6
CR3,1
CR4,2
CR5,3
CR6,4
CR7,5
CR8,6
CT1,1
CT2,2
CT3,3
CT4,4
CT5,5
CT6,6
CT7,1
CT8,2
CT9,3
CT10,4
CT11,5
CT12,6
CT13,1
CT14,2
CT15,3
CT16,4
CT17,5
CT18,6
CT19,1
CT20,2
CT21,3
CV1,4
CV2,5
CV3,6
CV4,1
CV5,2
CV6,3
CV7,4
CV8,5
CV9,6
CV10,1
CV11,2
CV12,3
CV13,4
CV21,5
CV22,6
CV23,1
CV31,2
CV32,3
CV33,4
CV34,5
CV35,6
CV36,1
CV37,2
CV47,3
CW1,4
CW2,5
CW3,6
CW4,1
CW5,2
CW6,3
CW7,4
CW8,5
CW9,6
CW10,1
CW11,2
