Node,A,B,C
NHS Barnsley CCG,1,2,3
NHS Basildon and Brentwood CCG,1,2,3
NHS Bassetlaw CCG,1,2,3
NHS Blackburn with Darwen CCG,1,2,3
NHS Blackpool CCG,1,2,3
NHS Bolton CCG,1,2,3
NHS Brighton and Hove CCG,1,2,3
NHS Bury CCG,1,2,3
NHS Calderdale CCG,1,2,3
NHS Cambridgeshire and Peterborough CCG,1,2,3
NHS Cannock Chase CCG,1,2,3
NHS Castle Point and Rochford CCG,1,2,3
NHS Chorley and South Ribble CCG,1,2,3
NHS Doncaster CCG,1,2,3
NHS Dorset CCG,1,2,3
NHS East and North Hertfordshire CCG,1,2,3
NHS East Lancashire CCG,1,2,3
NHS East Leicestershire and Rutland CCG,1,2,3
NHS East Riding of Yorkshire CCG,1,2,3
NHS East Staffordshire CCG,1,2,3
NHS Gloucestershire CCG,1,2,3
NHS Halton CCG,1,2,3
NHS Herts Valleys CCG,1,2,3
NHS Heywood Middleton and Rochdale CCG,1,2,3
NHS Hull CCG,1,2,3
NHS Ipswich and East Suffolk CCG,1,2,3
NHS Kernow CCG,1,2,3
NHS Knowsley CCG,1,2,3
NHS Leicester City CCG,1,2,3
NHS Liverpool CCG,1,2,3
NHS Mid Essex CCG,1,2,3
NHS North East Essex CCG,1,2,3
NHS North East Lincolnshire CCG,1,2,3
NHS North Lincolnshire CCG,1,2,3
NHS North Staffordshire CCG,1,2,3
NHS North Tyneside CCG,1,2,3
NHS Northumberland CCG,1,2,3
NHS Oldham CCG,1,2,3
NHS Oxfordshire CCG,1,2,3
NHS Portsmouth CCG,1,2,3
NHS Rotherham CCG,1,2,3
NHS Salford CCG,1,2,3
NHS Sheffield CCG,1,2,3
NHS Somerset CCG,1,2,3
NHS South East Staffordshire and Seisdon Peninsula CCG,1,2,3
NHS South Sefton CCG,1,2,3
NHS South Tyneside CCG,1,2,3
NHS Southend CCG,1,2,3
NHS Southport and Formby CCG,1,2,3
NHS St Helens CCG,1,2,3
NHS Stafford and Surrounds CCG,1,2,3
NHS Stockport CCG,1,2,3
NHS Stoke on Trent CCG,1,2,3
NHS Sunderland CCG,1,2,3
NHS Tameside and Glossop CCG,1,2,3
NHS Thurrock CCG,1,2,3
NHS Trafford CCG,1,2,3
NHS Vale of York CCG,1,2,3
NHS Wakefield CCG,1,2,3
NHS Warrington CCG,1,2,3
NHS West Essex CCG,1,2,3
NHS West Lancashire CCG,1,2,3
NHS West Leicestershire CCG,1,2,3
NHS West Suffolk CCG,1,2,3
NHS Wigan Borough CCG,1,2,3
NHS Wirral CCG,1,2,3
NHS Newcastle Gateshead CCG,1,2,3
NHS North Cumbria CCG,1,2,3
NHS Manchester CCG,1,2,3
NHS Birmingham and Solihull CCG,1,2,3
NHS Berkshire West CCG,1,2,3
NHS Bristol North Somerset and South Gloucestershire CCG,1,2,3
NHS Buckinghamshire CCG,1,2,3
NHS Leeds CCG,1,2,3
NHS Fylde and Wyre CCG,1,2,3
NHS Greater Preston CCG,1,2,3
NHS Morecambe Bay CCG,1,2,3
NHS Derby and Derbyshire CCG,1,2,3
NHS Devon CCG,1,2,3
NHS Bath and North East Somerset Swindon and Wiltshire CCG,1,2,3
NHS Bradford District and Craven CCG,1,2,3
NHS Cheshire CCG,1,2,3
NHS County Durham CCG,1,2,3
NHS East Sussex CCG,1,2,3
NHS Herefordshire and Worcestershire CCG,1,2,3
NHS Kent and Medway CCG,1,2,3
NHS Lincolnshire CCG,1,2,3
NHS Norfolk and Waveney CCG,1,2,3
NHS North Central London CCG,1,2,3
NHS North Yorkshire CCG,1,2,3
NHS Northamptonshire CCG,1,2,3
NHS Nottingham and Nottinghamshire CCG,1,2,3
NHS South East London CCG,1,2,3
NHS South West London CCG,1,2,3
NHS Surrey Heartlands CCG,1,2,3
NHS Tees Valley CCG,1,2,3
NHS West Sussex CCG,1,2,3
NHS Bedfordshire Luton and Milton Keynes CCG,11,22,33
NHS Black Country and West Birmingham CCG,33,44,55
NHS Coventry and Warwickshire CCG,55,66,77
NHS Hampshire Southampton and Isle of Wight CCG,77,88,99
NHS Kirklees CCG 1,1,2,3
NHS North East London CCG,2,4,5
NHS North West London CCG,6,7,8
