Node,,FDS,FDS
Alyn and Deeside,,23,23
Arfon,,3,3
Clwyd South,,2,2
Clwyd West,,1,1
Delyn,,23,23
Vale of Clwyd,,3,3
Wrexham,,2,2
Ynys Mon,,1,1
Aberconwy,,23,23
Carmarthen West and South Pembrokeshire,,3,3
Carmarthen East and Dinefwr,,2,2
Brecon And Radnorshire,,1,1
Ceredigion,,23,23
Dwyfor Meirionnydd,,3,3
Montgomeryshire,,2,2
Preseli Pembrokeshire,,1,1
Llanelli,,23,23
Blaenau Gwent,,3,3
Caerphilly,,2,2
Islwyn,,1,1
Monmouth,,23,23
Newport East,,3,3
Newport West,,2,2
Merthyr Tydfil and Rhymney,,1,1
Torfaen,,23,23
Aberavon,,3,3
Bridgend,,2,2
Gower,,1,1
Neath,,23,23
Ogmore,,3,3
Swansea East,,2,2
Swansea West,,1,1
Cardiff Central,,23,23
Cardiff North,,3,3
Cardiff South and Penarth,,2,2
Cardiff West,,1,1
Cynon Valley,,23,23
Pontypridd,,3,3
Rhondda,,2,2
Vale of Glamorgan,,1,1
