Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
"Scarborough and Whitby",34.2,40.2,12.3,0,0,5.4,4.8,3.3,Lab,55.5,34.8,6.1,0,0,0,0,3.6,Con
Guildford,28.4,23.2,32.6,0,0,5.1,6.8,4,Lib,44.9,7.7,39.2,0,0,0,0,8.3,Con
"Preseli Pembrokeshire",26.7,46.5,7.1,0,7,4.9,7.6,0.6,Lab,50.4,38.5,4.6,0,6.5,0,0,0,Con
"Kingston upon Hull East",25.8,42.3,10.7,0,0,6.4,11,4.1,Lab,35.4,39.2,5.3,0,0,2.4,17.8,0,Lab
"Leeds Central",15.6,55.1,9.7,0,0,8.8,7.5,3.4,Lab,22.6,61.7,4.8,0,0,4.3,6.1,0.6,Lab
Solihull,35.9,27.6,18,0,0,8.2,6,4.5,Con,58.4,19.9,18,0,0,3.7,0,0,Con
"Leicester East",22.4,49.4,12.4,0,0,7.7,6.1,2.2,Lab,38.6,50.8,5.7,0,0,1.8,2.5,0.7,Lab
"Cardiff North",19.5,50.8,11.6,0,5,6.5,6.4,0.8,Lab,36.2,49.5,6.8,0,3,1.6,2.5,0.4,Lab
"Nottingham South",18.2,49.4,13.1,0,0,11.1,7,1.5,Lab,29.1,55.2,8.2,0,0,3.3,4.2,0,Lab
"Rother Valley",30.3,38.3,12,0,0,6.2,9.3,4,Lab,45.1,32.1,5.2,0,0,2.5,12.9,2.1,Con
"Bolton West",30.5,43.7,10.4,0,0,5.3,7.3,2.9,Lab,55.3,37.3,5.5,0,0,1.9,0,0,Con
"Sutton and Cheam",32,23.3,24,0,0,8.2,8.8,3.8,Con,50,14.3,33.4,0,0,2.3,0,0,Con
"Reading West",29.4,43.1,10.2,0,0,6.7,6.4,4.4,Lab,48.4,40.2,8.9,0,0,2.5,0,0,Con
