Node,fdf
NHS Barnsley CCG,1
NHS Basildon and Brentwood CCG,2
NHS Bassetlaw CCG,3
NHS Blackburn with Darwen CCG,4
NHS Blackpool CCG,6
NHS Bolton CCG,6
NHS Brighton and Hove CCG,7
NHS Bury CCG,8
NHS Calderdale CCG,1
NHS Cambridgeshire and Peterborough CCG,2
NHS Cannock Chase CCG,3
NHS Castle Point and Rochford CCG,4
NHS Chorley and South Ribble CCG,6
NHS Doncaster CCG,6
NHS Dorset CCG,7
NHS East and North Hertfordshire CCG,8
NHS East Lancashire CCG,1
NHS East Leicestershire and Rutland CCG,2
NHS East Riding of Yorkshire CCG,3
NHS East Staffordshire CCG,4
NHS Gloucestershire CCG,6
NHS Halton CCG,6
NHS Herts Valleys CCG,7
NHS Heywood Middleton and Rochdale CCG,8
NHS Hull CCG,1
NHS Ipswich and East Suffolk CCG,2
NHS Kernow CCG,3
NHS Knowsley CCG,4
NHS Leicester City CCG,6
NHS Liverpool CCG,6
NHS Mid Essex CCG,7
NHS North East Essex CCG,8
NHS North East Lincolnshire CCG,1
NHS North Lincolnshire CCG,2
NHS North Staffordshire CCG,3
NHS North Tyneside CCG,4
NHS Northumberland CCG,6
NHS Oldham CCG,6
NHS Oxfordshire CCG,7
NHS Portsmouth CCG,8
NHS Rotherham CCG,1
NHS Salford CCG,2
NHS Sheffield CCG,3
NHS Somerset CCG,4
NHS South East Staffordshire and Seisdon Peninsula CCG,6
NHS South Sefton CCG,6
NHS South Tyneside CCG,7
NHS Southend CCG,8
NHS Southport and Formby CCG,1
NHS St Helens CCG,2
NHS Stafford and Surrounds CCG,3
NHS Stockport CCG,4
NHS Stoke on Trent CCG,6
NHS Sunderland CCG,6
NHS Tameside and Glossop CCG,7
NHS Thurrock CCG,8
NHS Trafford CCG,1
NHS Vale of York CCG,2
NHS Wakefield CCG,3
NHS Warrington CCG,4
NHS West Essex CCG,6
NHS West Lancashire CCG,6
NHS West Leicestershire CCG,7
NHS West Suffolk CCG,8
NHS Wigan Borough CCG,1
NHS Wirral CCG,2
NHS Newcastle Gateshead CCG,3
NHS North Cumbria CCG,4
NHS Manchester CCG,6
NHS Birmingham and Solihull CCG,6
NHS Berkshire West CCG,7
NHS Bristol North Somerset and South Gloucestershire CCG,8
NHS Buckinghamshire CCG,1
NHS Leeds CCG,2
NHS Fylde and Wyre CCG,3
NHS Greater Preston CCG,4
NHS Morecambe Bay CCG,6
NHS Derby and Derbyshire CCG,6
NHS Devon CCG,7
NHS Bath and North East Somerset Swindon and Wiltshire CCG,8
NHS Bradford District and Craven CCG,1
NHS Cheshire CCG,2
NHS County Durham CCG,3
NHS East Sussex CCG,4
NHS Herefordshire and Worcestershire CCG,6
NHS Kent and Medway CCG,6
NHS Lincolnshire CCG,7
NHS Norfolk and Waveney CCG,8
NHS North Central London CCG,1
NHS North Yorkshire CCG,2
NHS Northamptonshire CCG,3
NHS Nottingham and Nottinghamshire CCG,4
NHS South East London CCG,6
NHS South West London CCG,6
NHS Surrey Heartlands CCG,7
NHS Tees Valley CCG,8
NHS West Sussex CCG,1
NHS Bedfordshire Luton and Milton Keynes CCG,2
NHS Black Country and West Birmingham CCG,3
NHS Coventry and Warwickshire CCG,4
NHS Frimley CCG,6
NHS Hampshire Southampton and Isle of Wight CCG,6
NHS Kirklees CCG,7
NHS North East London CCG,8
NHS North West London CCG,1
NHS Shropshire Telford and Wrekin CCG,2
