Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
AB10,,0,0,0,0,0,1,0,0,0,0
AB11,,0,1,0,0,0,0,0,0,0,0
AB12,,0,1,0,0,0,0,0,0,0,0
AB13,,0,1,0,0,0,0,0,0,0,0
AB14,,0,1,0,0,0,0,0,0,0,0
AB15,,0,1,0,0,0,0,0,0,0,0
AB16,,0,1,0,0,0,0,0,0,0,0
AB21,,0,1,0,0,0,0,0,0,0,0
AB23,,0,0,0,0,0,6,0,0,0,0
AL1,,335,1,0,166,0,22,0,18,0,23
AL2,,117,1,16,112,0,7,0,43,0,28
AL3,,313,3,16,275,33,18,0,50,0,260
AL4,,123,2,0,81,0,13,0,23,0,156
AL5,,404,3,0,348,0,21,0,33,0,222
AL6,,96,0,0,123,0,6,19,33,0,45
AL7,,98,3,0,161,23,13,0,15,0,35
AL8,,153,1,0,110,0,9,0,33,0,92
AL9,YES,69,0,0,42,0,7,0,29,0,0
AL10,,106,2,8,87,10,13,18,15,0,88
B1,,129,0,0,33,0,3,0,0,0,0
B4,,0,0,0,0,0,1,0,0,0,0
B5,,0,2,0,0,0,2,0,0,0,0
B6,,40,0,0,0,0,15,18,13,12,95
B7,,245,0,0,172,0,10,0,20,0,12
B8,YES,417,1,0,283,0,18,0,11,0,0
B9,YES,439,3,0,104,0,11,0,18,0,0
B10,,295,1,0,240,0,14,0,0,0,0
B11,YES,216,1,0,181,0,19,0,5,0,0
B12,,352,2,0,75,0,17,0,12,32,98
B13,YES,705,1,124,812,122,22,0,5,0,0
B14,,358,5,0,447,0,20,16,25,12,103
B15,YES,85,1,25,193,12,18,0,6,0,0
B16,,24,1,0,46,0,7,0,0,0,0
B17,YES,48,1,0,45,0,10,0,10,0,0
B18,,0,0,0,0,0,10,0,0,0,0
B19,,152,1,0,0,0,16,0,0,0,0
B20,YES,161,1,0,143,0,13,0,8,0,0
B21,YES,53,1,0,0,0,16,0,6,0,0
B23,YES,199,1,0,172,0,22,0,9,0,0
B24,,98,2,0,70,0,10,0,30,23,96
B25,YES,78,0,0,0,0,3,0,33,0,0
B26,,148,3,0,24,0,12,0,0,0,0
B27,,96,0,0,77,31,9,0,0,0,0
B28,,130,1,0,94,0,10,0,30,4,29
B29,,111,2,0,170,0,20,8,20,42,333
B30,,195,6,0,121,0,13,0,15,0,146
B31,,268,2,0,230,0,21,0,14,0,88
B32,YES,131,0,0,330,0,15,0,20,0,0
B33,YES,655,1,42,283,0,16,0,6,0,0
B34,YES,276,3,0,90,0,7,0,14,0,0
B35,,0,0,0,36,0,7,0,0,0,0
B36,,168,2,0,248,0,19,0,16,0,28
B37,,576,0,0,623,0,14,0,43,0,180
B38,YES,53,0,0,100,0,8,0,13,0,0
B42,YES,0,0,0,30,0,9,0,11,0,0
B43,,154,0,0,129,0,10,0,0,0,0
B44,YES,129,6,0,92,0,18,0,11,0,0
B45,,305,1,0,247,0,17,0,29,10,171
B46,,53,1,0,0,0,7,0,14,0,93
B47,YES,47,0,0,30,0,3,0,33,0,0
B48,,0,0,0,0,0,2,0,0,0,0
B49,,38,0,0,67,0,10,0,30,0,18
B50,,36,0,0,35,0,1,0,100,0,30
B60,,144,2,0,156,0,12,0,25,0,26
B61,YES,381,1,0,308,0,12,0,17,0,0
B62,YES,145,0,0,109,0,7,0,43,0,0
B63,YES,366,1,0,155,77,13,0,15,0,0
B64,YES,54,0,0,32,0,6,0,33,0,0
B65,,57,0,0,44,0,8,0,13,0,24
