Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
AB10,,0,0,0,0,0,1,0,0,0,0
AB13,,0,1,0,0,0,0,0,0,0,0
AB30,,0,1,0,0,0,0,0,0,0,0
AB31,,0,1,0,0,0,0,0,0,0,0
AB34,,0,1,0,0,0,0,0,0,0,0
AB35,,0,1,0,0,0,0,0,0,0,0
AB36,,0,1,0,0,0,0,0,0,0,0
AL1,,195,3,0,166,0,18,0,6,4,48
AL2,,117,2,11,112,0,10,0,60,0,66
AL3,,74,3,9,275,9,17,0,35,24,97
AL4,,69,0,0,81,0,11,0,0,0,0
AL5,,380,1,0,348,0,19,0,21,0,143
AL6,,94,6,0,123,0,9,0,22,1,61
AL7,,116,2,6,160,59,13,0,38,0,44
AL8,,107,0,0,110,0,3,0,0,0,0
AL9,,56,1,0,42,0,11,0,45,0,12
AL10,,220,3,0,87,0,15,0,27,0,53
B1,YES,67,0,0,33,0,10,0,20,0,0
B4,,0,0,0,0,0,1,0,0,0,0
B5,,0,2,0,0,0,2,0,0,0,0
B6,,40,0,0,0,0,15,18,13,12,95
B7,,216,1,0,172,0,5,0,20,0,28
B8,,373,3,0,283,0,21,0,19,0,118
B9,,200,0,0,104,0,10,0,50,9,60
B10,,284,0,0,240,24,8,0,38,0,86
B11,,192,1,0,181,0,19,0,47,0,60
B12,,120,1,0,75,0,9,0,44,0,9
B13,,904,2,0,797,0,19,0,42,0,190
B14,,416,0,106,437,27,22,41,59,77,671
B15,YES,103,1,0,193,0,4,0,75,0,0
B16,,16,1,0,46,0,25,0,8,0,15
B17,,32,0,0,45,0,6,0,100,0,23
B18,,0,0,0,0,0,10,0,0,0,0
B19,,152,1,0,0,0,16,0,0,0,0
B20,YES,140,0,0,143,0,6,0,17,0,0
B21,YES,53,1,0,0,0,16,0,6,0,0
B23,,254,1,0,171,0,19,0,16,0,38
B24,,80,0,0,70,0,8,0,38,0,45
B25,YES,78,0,0,0,0,3,0,33,0,0
B26,,148,3,0,24,0,12,0,0,0,0
